Year,Park,agency,Entrance,totalsum,samclass,daytype,totalall,Biker,Pedskat,Vehicle,Bus,Horse,Boat,orgstart,gooddate,half,expfact,new2008ppv,newppb,day#s,carpeop,buspeop
2014,1,1,1,3871.56,2,1,8.38,0,2,2,0,0,0,800,727,2,14,3.19,26.3,33,6.38,0
2014,1,1,3,3960,1,1,12,12,0,0,0,0,0,1600,802,2,10,3.19,26.3,33,0,0
2014,1,1,3,6270,1,1,19,14,5,0,0,0,0,1400,524,1,10,3.19,26.3,33,0,0
2014,1,1,3,7260,1,1,22,16,6,0,0,0,0,1800,704,1,10,3.19,26.3,33,0,0
2014,1,1,3,7480,1,2,11,11,0,0,0,0,0,800,709,1,10,3.19,26.3,68,0,0
2014,1,1,3,7480,1,2,11,9,2,0,0,0,0,1200,808,2,10,3.19,26.3,68,0,0
2014,1,1,4,8568,2,2,9,3,6,0,0,0,0,800,624,1,14,3.19,26.3,68,0,0
2014,1,1,3,8840,1,2,13,10,3,0,0,0,0,1800,606,1,10,3.19,26.3,68,0,0
2014,1,1,3,8840,1,2,13,12,1,0,0,0,0,1400,723,2,10,3.19,26.3,68,0,0
2014,1,1,4,12012,2,1,26,12,14,0,0,0,0,800,726,2,14,3.19,26.3,33,0,0
2014,1,1,4,15232,2,2,16,8,8,0,0,0,0,1200,724,2,14,3.19,26.3,68,0,0
2014,1,1,2,16170,1,1,49,26,23,0,0,0,0,1000,719,2,10,3.19,26.3,33,0,0
2014,1,1,1,16696.68,2,1,36.14,5,12,6,0,0,0,1800,629,1,14,3.19,26.3,33,19.14,0
2014,1,1,1,24114.16,2,2,25.33,2,1,7,0,0,0,1400,822,2,14,3.19,26.3,68,22.33,0
2014,1,1,3,28560,1,2,42,16,26,0,0,0,0,1200,613,1,10,3.19,26.3,68,0,0
2015,1,1,1,0,2,2,0,0,0,0,0,0,0,800,501,1,14,3.19,26.3,68,0,0
2015,1,1,1,0,2,2,0,0,0,0,0,0,0,800,502,1,14,3.19,26.3,68,0,0
2015,1,1,4,0,2,2,0,0,0,0,0,0,0,1200,819,2,14,3.19,26.3,68,0,0
2015,1,1,4,3920,2,1,8,6,2,0,0,0,0,1000,906,2,14,3.19,26.3,35,0,0
2015,1,1,3,5440,1,2,8,6,2,0,0,0,0,1400,713,1,10,3.19,26.3,68,0,0
2015,1,1,1,7722.4,2,1,15.76,3,0,4,0,0,0,1000,704,1,14,3.19,26.3,35,12.76,0
2015,1,1,3,8160,1,2,12,7,5,0,0,0,0,800,831,2,10,3.19,26.3,68,0,0
2015,1,1,3,8840,1,2,13,9,4,0,0,0,0,1200,810,2,10,3.19,26.3,68,0,0
2015,1,1,3,9100,1,1,26,26,0,0,0,0,0,1200,809,2,10,3.19,26.3,35,0,0
2015,1,1,4,9310,2,1,19,19,0,0,0,0,0,1400,719,2,14,3.19,26.3,35,0,0
2015,1,1,4,9520,2,2,10,7,3,0,0,0,0,800,528,1,14,3.19,26.3,68,0,0
2015,1,1,3,15640,1,2,23,17,6,0,0,0,0,1600,729,2,10,3.19,26.3,68,0,0
