Park or Trail,Total by class and day type
1 = Anoka Co Riverfront RP,73095.94
2 = Bunker Hills RP,180126.94
3 = Coon Rapids Dam RP Anoka,215052.25
4 = Lake George RP,108696.35
5 = Martin-Island-Linwood RP,59979.78
6 = Mississippi River RT Anoka,60522.61
7 = Rice Creek West RT Anoka,113978.30
8 = Rice Creek Chain PR,199181.72
9 = Rice Creek North Anoka,61500.16
10 = Rum River Central RP,42890.68
11 = Bush Lake PR,282270.67
12 = Baylor RP,18844.53
13 = Lake Minnewashta RP,67604.45
14 = Lake Waconia RP,47417.14
15 = Big Rivers RT,53357.36
16 = Lake Byllesby RP,44914.02
17 = Lebanon Hills RP,293390.74
18 = Meisville Ravine PR,11044.06
19 = Mississippi River RT Dakota,72834.93
20 = Spring Lake PR Dakota,35082.72
21 = Baker PR,137424.29
22 = Bryant RP,200370.66
23 = Carver PR,121516.80
24 = Clifton French RP,207475.59
25 = Cleary Lake RP,130491.07
26 = Coon Rapids Dam RP Three Rivers,124925.54
27 = Crow Hassan PR,33839.23
28 = Elm Creek PR,445865.90
29 = Medicine Lake RT (East Medicine Lake RT),218807.10
30 = Fish Lake RP,129327.24
31 = Hyland PR,273521.47
32 = Lake Rebecca PR,75828.25
33 = Lake Minnetonka RP,100885.52
34 = Murphy Hanrehan PR,39126.51
35 = Rush Creek RT,94298.86
36 = N Mississippi RP Three Rivers,26879.86
37 = Noerenberg Gardens SRF,22625.90
38 = Scott County RT,73802.30
39 = Lake Minnetonka LRT (SW LRT N RT),197052.66
40 = Minnesota River Bluffs LRT (SW LRT South RT),92314.11
41 = Cedar Lake RT,176277.44
42 = Central Miss Riverfront RP,861148.74
43 = Mpls Chain of Lakes RP,2466458.56
44 = Mississippi Gorge RP MPRB,417336.45
45 = Minnehaha Park RP,724222.02
46 = Minnehaha Parkway RT,488571.28
47 = North Mississippi RP MPRB,155647.10
48 = Nokomis-Hiawatha RP,626138.25
49 = Theodore Wirth RP,232654.73
50 = Wirth Memorial Parkway RT,182316.55
51 = Battle Creek RP,224593.85
52 = Bald Eagle RP,117733.28
53 = Birch Lake RT,24565.08
54 = Bruce Vento RT Ramsey,134386.81
55 = Grass-Vadnais RP,215102.81
56 = Hwy 96 RT - all segments,117795.40
58 = Keller RP,224641.85
59 = Long Lake RP,125006.45
60 = Rice Creek West RT Ramsey,43225.86
61 = Rice Creek North RT Ramsey,45306.71
62 = Bruce Vento RT St Paul,92792.81
63 = Cherokee Heights RP,162835.07
64 = Como RP and SRF,1720028.05
65 = Harriet Island RP,340202.88
66 = Hidden Falls-Crosby RP,179715.39
67 = Indian Mounds RP,157715.82
68 = Mississippi Gorge RP St Paul,540731.79
69 = Sam Morgan RT,176769.92
70 = Phalen RP,435559.90
71 = Cottage Grove Ravine RP,32795.24
72 = Lake Elmo PR,211248.21
73 = St Croix Bluffs RP,44650.89
74 = Square Lake SRF,61926.28
75 = Central Anoka RT,31980.96
76 = Cedar Lake RT (E Hennepin Corridor RT),219784.07
77 = Lake Independence RT (NW Hennepin RT),27843.64
78 = Eagle Lake RP,28006.58
79 = North Cedar Lake RT (Hutchinson Spur RT),176610.62
80 = Gale Woods SRF,35652.96
81 = Hardwood Creek RT,46097.30
82 = Big Marine PR,97543.90
83 = Pine Point RP,43790.93
84 = Silverwood SRF,133715.93
88 = Shingle Creek RT (Three Rivers),104465.51
89 = Luce Line RT,183986.20
90 = St. Anthony Pkwy RT,73944.70
91 = Columbia Pkwy RT,27463.28
92 = Ridgeway Pkwy RT,9484.32
93 = Kenilworth RT,263470.08
94 = Luce Line RT (MPRB),44135.57
95 = River to River Greenway (Formerly North Urban RT),39116.92
96 = Dakota Rail RT (Three Rivers),185940.55
97 = Bassett Creek RT,41239.86
98 = Trout Brook RT,16048.18
99 = Tony Schmidt RP,90588.25
100 = NE Diagonal RT (MPRB),55296.51
101 = NE Diagonal Trail (Three Rivers),22072.82
102 = Cedar Lake Farm RP,16596.89
103 = Shingle Creek RT (MPRB),51762.48
104 = Dakota Rail RT (Carver Co),56771.51
105 = The Landing,1130.00
107 = Coon Creek RT,68475.50
108 = East Anoka County RT,42893.17
109 = Rum River RT,29707.75
110 = Bunker-Chain of Lakes RT,47783.64
111 = Twin Lakes RT,71753.19
112 = Mississippi West RP,12516.98
113 = Minnesota River Bluffs RT,14337.23
114=Spring Lake Park RP (Scott County),34399.28
115=Nine Mile Creek,49868.96
117=Kingsood SRF,610.25
118=Whitetail Woods RP,27121.40
121=Southwest RT,26874.38
124=Minnesota River Greenway RT,23679.99
130=Trout Brook RT,58473.73
131=Crystal Lake RT,68924.35
132=Nokomis MN River RT (TRPD),72037.98
135=Above the Falls RP,113448.77
137=Lake Links RT (Ramsey),111785.20
