Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Anoka County Riverfront Regional Park,1,Islands of Peace Visitor Center,1,08:00 AM,Medium
Anoka County Riverfront Regional Park,1,Islands of Peace Visitor Center,1,10:00 AM,Medium
Anoka County Riverfront Regional Park,1,Islands of Peace Visitor Center,1,12:00 PM,Medium
Anoka County Riverfront Regional Park,1,Islands of Peace Visitor Center,1,02:00 PM,Medium
Anoka County Riverfront Regional Park,1,Islands of Peace Visitor Center,1,04:00 PM,Medium
Anoka County Riverfront Regional Park,1,Islands of Peace Visitor Center,1,06:00 PM,Medium
Anoka County Riverfront Regional Park,1,Main Entrance,2,08:00 AM,Medium
Anoka County Riverfront Regional Park,1,Main Entrance,2,10:00 AM,High
Anoka County Riverfront Regional Park,1,Main Entrance,2,12:00 PM,High
Anoka County Riverfront Regional Park,1,Main Entrance,2,02:00 PM,High
Anoka County Riverfront Regional Park,1,Main Entrance,2,04:00 PM,High
Anoka County Riverfront Regional Park,1,Main Entrance,2,06:00 PM,Medium
Anoka County Riverfront Regional Park,1,Bike/hike trail at south end of park,3,08:00 AM,High
Anoka County Riverfront Regional Park,1,Bike/hike trail at south end of park,3,10:00 AM,High
Anoka County Riverfront Regional Park,1,Bike/hike trail at south end of park,3,12:00 PM,High
Anoka County Riverfront Regional Park,1,Bike/hike trail at south end of park,3,02:00 PM,High
Anoka County Riverfront Regional Park,1,Bike/hike trail at south end of park,3,04:00 PM,High
Anoka County Riverfront Regional Park,1,Bike/hike trail at south end of park,3,06:00 PM,High
Anoka County Riverfront Regional Park,1,Bike/hike trail at north end of park,4,08:00 AM,Medium
Anoka County Riverfront Regional Park,1,Bike/hike trail at north end of park,4,10:00 AM,Medium
Anoka County Riverfront Regional Park,1,Bike/hike trail at north end of park,4,12:00 PM,Medium
Anoka County Riverfront Regional Park,1,Bike/hike trail at north end of park,4,02:00 PM,Medium
Anoka County Riverfront Regional Park,1,Bike/hike trail at north end of park,4,04:00 PM,Medium
Anoka County Riverfront Regional Park,1,Bike/hike trail at north end of park,4,06:00 PM,Medium
Bunker Hills Regional Park,2,Activity Center Lot,1,08:00 AM,Low
Bunker Hills Regional Park,2,Activity Center Lot,1,10:00 AM,Low
Bunker Hills Regional Park,2,Activity Center Lot,1,12:00 PM,Low
Bunker Hills Regional Park,2,Activity Center Lot,1,02:00 PM,Low
Bunker Hills Regional Park,2,Activity Center Lot,1,04:00 PM,Low
Bunker Hills Regional Park,2,Activity Center Lot,1,06:00 PM,Low
Bunker Hills Regional Park,2,Parking lot at junction of Parkway A and campground road,2,08:00 AM,Low
Bunker Hills Regional Park,2,Parking lot at junction of Parkway A and campground road,2,10:00 AM,Low
Bunker Hills Regional Park,2,Parking lot at junction of Parkway A and campground road,2,12:00 PM,Low
Bunker Hills Regional Park,2,Parking lot at junction of Parkway A and campground road,2,02:00 PM,Low
Bunker Hills Regional Park,2,Parking lot at junction of Parkway A and campground road,2,04:00 PM,Low
Bunker Hills Regional Park,2,Parking lot at junction of Parkway A and campground road,2,06:00 PM,Low
Bunker Hills Regional Park,2,South gatehouse,3,08:00 AM,Medium
Bunker Hills Regional Park,2,South gatehouse,3,10:00 AM,Medium
Bunker Hills Regional Park,2,South gatehouse,3,12:00 PM,Medium
Bunker Hills Regional Park,2,South gatehouse,3,02:00 PM,Medium
Bunker Hills Regional Park,2,South gatehouse,3,04:00 PM,Medium
Bunker Hills Regional Park,2,South gatehouse,3,06:00 PM,Medium
Bunker Hills Regional Park,2,North gatehouse,4,08:00 AM,Medium
Bunker Hills Regional Park,2,North gatehouse,4,10:00 AM,Medium
Bunker Hills Regional Park,2,North gatehouse,4,12:00 PM,Medium
Bunker Hills Regional Park,2,North gatehouse,4,02:00 PM,Medium
Bunker Hills Regional Park,2,North gatehouse,4,04:00 PM,Medium
Bunker Hills Regional Park,2,North gatehouse,4,06:00 PM,Medium
Bunker Hills Regional Park,2,Trail access off Prairie Road,5,08:00 AM,Low
Bunker Hills Regional Park,2,Trail access off Prairie Road,5,10:00 AM,Low
Bunker Hills Regional Park,2,Trail access off Prairie Road,5,12:00 PM,Low
Bunker Hills Regional Park,2,Trail access off Prairie Road,5,02:00 PM,Low
