Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Baylor Regional Park,12,Main Entrance,1,08:00 AM,Medium
Baylor Regional Park,12,Main Entrance,1,10:00 AM,High
Baylor Regional Park,12,Main Entrance,1,12:00 PM,High
Baylor Regional Park,12,Main Entrance,1,02:00 PM,High
Baylor Regional Park,12,Main Entrance,1,04:00 PM,High
Baylor Regional Park,12,Main Entrance,1,06:00 PM,Medium
Lake Minnewashta Regional Park,13,Main Entrance,1,08:00 AM,High
Lake Minnewashta Regional Park,13,Main Entrance,1,10:00 AM,Medium
Lake Minnewashta Regional Park,13,Main Entrance,1,12:00 PM,Medium
Lake Minnewashta Regional Park,13,Main Entrance,1,02:00 PM,High
Lake Minnewashta Regional Park,13,Main Entrance,1,04:00 PM,High
Lake Minnewashta Regional Park,13,Main Entrance,1,06:00 PM,High
Lake Minnewashta Regional Park,13,Paved Multi-Use Trail,2,08:00 AM,Low
Lake Minnewashta Regional Park,13,Paved Multi-Use Trail,2,10:00 AM,Low
Lake Minnewashta Regional Park,13,Paved Multi-Use Trail,2,12:00 PM,Low
Lake Minnewashta Regional Park,13,Paved Multi-Use Trail,2,02:00 PM,Low
Lake Minnewashta Regional Park,13,Paved Multi-Use Trail,2,04:00 PM,Low
Lake Minnewashta Regional Park,13,Paved Multi-Use Trail,2,06:00 PM,Low
Lake Minnewashta Regional Park,13,Multi-use trail - access to regional park from Herman Field Park on northwest side of property,3,08:00 AM,Low
Lake Minnewashta Regional Park,13,Multi-use trail - access to regional park from Herman Field Park on northwest side of property,3,10:00 AM,Low
Lake Minnewashta Regional Park,13,Multi-use trail - access to regional park from Herman Field Park on northwest side of property,3,12:00 PM,Low
Lake Minnewashta Regional Park,13,Multi-use trail - access to regional park from Herman Field Park on northwest side of property,3,02:00 PM,Low
Lake Minnewashta Regional Park,13,Multi-use trail - access to regional park from Herman Field Park on northwest side of property,3,04:00 PM,Low
Lake Minnewashta Regional Park,13,Multi-use trail - access to regional park from Herman Field Park on northwest side of property,3,06:00 PM,Low
Lake Waconia Regional Park,14,Main Entrance,1,08:00 AM,Medium
Lake Waconia Regional Park,14,Main Entrance,1,10:00 AM,Medium
Lake Waconia Regional Park,14,Main Entrance,1,12:00 PM,High
Lake Waconia Regional Park,14,Main Entrance,1,02:00 PM,High
Lake Waconia Regional Park,14,Main Entrance,1,04:00 PM,High
Lake Waconia Regional Park,14,Main Entrance,1,06:00 PM,High
Lake Waconia Regional Park,14,Old Beach Road Lane Entrance,2,08:00 AM,Medium
Lake Waconia Regional Park,14,Old Beach Road Lane Entrance,2,10:00 AM,Medium
Lake Waconia Regional Park,14,Old Beach Road Lane Entrance,2,12:00 PM,Medium
Lake Waconia Regional Park,14,Old Beach Road Lane Entrance,2,02:00 PM,Medium
Lake Waconia Regional Park,14,Old Beach Road Lane Entrance,2,04:00 PM,Medium
Lake Waconia Regional Park,14,Old Beach Road Lane Entrance,2,06:00 PM,Medium
Lake Waconia Regional Park,14,Informal Use Area Entrance,3,08:00 AM,Low
Lake Waconia Regional Park,14,Informal Use Area Entrance,3,10:00 AM,Low
Lake Waconia Regional Park,14,Informal Use Area Entrance,3,12:00 PM,Low
Lake Waconia Regional Park,14,Informal Use Area Entrance,3,02:00 PM,Low
Lake Waconia Regional Park,14,Informal Use Area Entrance,3,04:00 PM,Low
Lake Waconia Regional Park,14,Informal Use Area Entrance,3,06:00 PM,Low
Dakota Rail Regional Trail,104,Hidden Crossing Road Intersection,1,08:00 AM,Medium
Dakota Rail Regional Trail,104,Hidden Crossing Road Intersection,1,10:00 AM,Medium
Dakota Rail Regional Trail,104,Hidden Crossing Road Intersection,1,12:00 PM,Medium
Dakota Rail Regional Trail,104,Hidden Crossing Road Intersection,1,02:00 PM,Medium
Dakota Rail Regional Trail,104,Hidden Crossing Road Intersection,1,04:00 PM,Medium
Dakota Rail Regional Trail,104,Hidden Crossing Road Intersection,1,06:00 PM,Medium
Dakota Rail Regional Trail,104,Mayer Trailhead at Trunk Highway 25 and County Road 30,2,08:00 AM,High
Dakota Rail Regional Trail,104,Mayer Trailhead at Trunk Highway 25 and County Road 30,2,10:00 AM,High
Dakota Rail Regional Trail,104,Mayer Trailhead at Trunk Highway 25 and County Road 30,2,12:00 PM,High
Dakota Rail Regional Trail,104,Mayer Trailhead at Trunk Highway 25 and County Road 30,2,02:00 PM,High
Dakota Rail Regional Trail,104,Mayer Trailhead at Trunk Highway 25 and County Road 30,2,04:00 PM,High
Dakota Rail Regional Trail,104,Mayer Trailhead at Trunk Highway 25 and County Road 30,2,06:00 PM,High
Dakota Rail Regional Trail,104,Quartz Avenue Intersectoin,3,08:00 AM,Low
Dakota Rail Regional Trail,104,Quartz Avenue Intersectoin,3,10:00 AM,Low
Dakota Rail Regional Trail,104,Quartz Avenue Intersectoin,3,12:00 PM,Low
Dakota Rail Regional Trail,104,Quartz Avenue Intersectoin,3,02:00 PM,Low
Dakota Rail Regional Trail,104,Quartz Avenue Intersectoin,3,04:00 PM,Low
Dakota Rail Regional Trail,104,Quartz Avenue Intersectoin,3,06:00 PM,Low
Dakota Rail Regional Trail,104,Goose Lake Drive Intersection,4,08:00 AM,Low
Dakota Rail Regional Trail,104,Goose Lake Drive Intersection,4,10:00 AM,Low
Dakota Rail Regional Trail,104,Goose Lake Drive Intersection,4,12:00 PM,Low
Dakota Rail Regional Trail,104,Goose Lake Drive Intersection,4,02:00 PM,Low
