Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Big Rivers Regional Trail,15,WPA Overlook,1,08:00 AM,Medium
Big Rivers Regional Trail,15,WPA Overlook,1,10:00 AM,Medium
Big Rivers Regional Trail,15,WPA Overlook,1,12:00 PM,High
Big Rivers Regional Trail,15,WPA Overlook,1,02:00 PM,High
Big Rivers Regional Trail,15,WPA Overlook,1,04:00 PM,High
Big Rivers Regional Trail,15,WPA Overlook,1,06:00 PM,High
Big Rivers Regional Trail,15,D Street in Mendota Heights and BRRT Intersection,2,08:00 AM,Low
Big Rivers Regional Trail,15,D Street in Mendota Heights and BRRT Intersection,2,10:00 AM,Low
Big Rivers Regional Trail,15,D Street in Mendota Heights and BRRT Intersection,2,12:00 PM,Medium
Big Rivers Regional Trail,15,D Street in Mendota Heights and BRRT Intersection,2,02:00 PM,High
Big Rivers Regional Trail,15,D Street in Mendota Heights and BRRT Intersection,2,04:00 PM,High
Big Rivers Regional Trail,15,D Street in Mendota Heights and BRRT Intersection,2,06:00 PM,High
Big Rivers Regional Trail,15,Lilydale Yacht Club/BRRT Trailhead,3,08:00 AM,Low
Big Rivers Regional Trail,15,Lilydale Yacht Club/BRRT Trailhead,3,10:00 AM,Low
Big Rivers Regional Trail,15,Lilydale Yacht Club/BRRT Trailhead,3,12:00 PM,Medium
Big Rivers Regional Trail,15,Lilydale Yacht Club/BRRT Trailhead,3,02:00 PM,High
Big Rivers Regional Trail,15,Lilydale Yacht Club/BRRT Trailhead,3,04:00 PM,High
Big Rivers Regional Trail,15,Lilydale Yacht Club/BRRT Trailhead,3,06:00 PM,High
Big Rivers Regional Trail,15,Highway 13 and 494,4,08:00 AM,Medium
Big Rivers Regional Trail,15,Highway 13 and 494,4,10:00 AM,Medium
Big Rivers Regional Trail,15,Highway 13 and 494,4,12:00 PM,High
Big Rivers Regional Trail,15,Highway 13 and 494,4,02:00 PM,High
Big Rivers Regional Trail,15,Highway 13 and 494,4,04:00 PM,High
Big Rivers Regional Trail,15,Highway 13 and 494,4,06:00 PM,High
Big Rivers Regional Trail,15,Pilot Knob Entrance,5,08:00 AM,Low
Big Rivers Regional Trail,15,Pilot Knob Entrance,5,10:00 AM,Low
Big Rivers Regional Trail,15,Pilot Knob Entrance,5,12:00 PM,Medium
Big Rivers Regional Trail,15,Pilot Knob Entrance,5,02:00 PM,Medium
Big Rivers Regional Trail,15,Pilot Knob Entrance,5,04:00 PM,High
Big Rivers Regional Trail,15,Pilot Knob Entrance,5,06:00 PM,Medium
Big Rivers Regional Trail,15,Highway 55 Underpass,6,08:00 AM,Low
Big Rivers Regional Trail,15,Highway 55 Underpass,6,10:00 AM,Low
Big Rivers Regional Trail,15,Highway 55 Underpass,6,12:00 PM,Medium
Big Rivers Regional Trail,15,Highway 55 Underpass,6,02:00 PM,Medium
Big Rivers Regional Trail,15,Highway 55 Underpass,6,04:00 PM,High
Lake Byllesby Regional Park,16,Beach/Non-Motorized Boat Launch,1,08:00 AM,Medium
Lake Byllesby Regional Park,16,Beach/Non-Motorized Boat Launch,1,10:00 AM,High
Lake Byllesby Regional Park,16,Beach/Non-Motorized Boat Launch,1,12:00 PM,High
Lake Byllesby Regional Park,16,Beach/Non-Motorized Boat Launch,1,02:00 PM,High
Lake Byllesby Regional Park,16,Beach/Non-Motorized Boat Launch,1,04:00 PM,High
Lake Byllesby Regional Park,16,Beach/Non-Motorized Boat Launch,1,06:00 PM,Medium
Lake Byllesby Regional Park,16,General Park Use Lot/Motorized Boat Launch Parking Lot,2,08:00 AM,Medium
Lake Byllesby Regional Park,16,General Park Use Lot/Motorized Boat Launch Parking Lot,2,10:00 AM,Medium
Lake Byllesby Regional Park,16,General Park Use Lot/Motorized Boat Launch Parking Lot,2,12:00 PM,Medium
Lake Byllesby Regional Park,16,General Park Use Lot/Motorized Boat Launch Parking Lot,2,02:00 PM,Medium
Lake Byllesby Regional Park,16,General Park Use Lot/Motorized Boat Launch Parking Lot,2,04:00 PM,Medium
Lake Byllesby Regional Park,16,General Park Use Lot/Motorized Boat Launch Parking Lot,2,06:00 PM,Medium
Lebanon Hills Regional Park,17,Visitor Center/Beach,1,08:00 AM,Medium
Lebanon Hills Regional Park,17,Visitor Center/Beach,1,10:00 AM,High
Lebanon Hills Regional Park,17,Visitor Center/Beach,1,12:00 PM,High
Lebanon Hills Regional Park,17,Visitor Center/Beach,1,02:00 PM,High
Lebanon Hills Regional Park,17,Visitor Center/Beach,1,04:00 PM,High
Lebanon Hills Regional Park,17,Visitor Center/Beach,1,06:00 PM,Medium
Lebanon Hills Regional Park,17,Holland Lake,2,08:00 AM,Medium
Lebanon Hills Regional Park,17,Holland Lake,2,10:00 AM,Medium
Lebanon Hills Regional Park,17,Holland Lake,2,12:00 PM,Medium
Lebanon Hills Regional Park,17,Holland Lake,2,02:00 PM,Medium
Lebanon Hills Regional Park,17,Holland Lake,2,04:00 PM,Medium
Lebanon Hills Regional Park,17,Holland Lake,2,06:00 PM,Medium
Lebanon Hills Regional Park,17,Jensen Lake,3,08:00 AM,Medium
Lebanon Hills Regional Park,17,Jensen Lake,3,10:00 AM,Medium
Lebanon Hills Regional Park,17,Jensen Lake,3,12:00 PM,Medium
Lebanon Hills Regional Park,17,Jensen Lake,3,02:00 PM,Medium
Lebanon Hills Regional Park,17,Jensen Lake,3,04:00 PM,Medium
Lebanon Hills Regional Park,17,Jensen Lake,3,06:00 PM,Medium
Lebanon Hills Regional Park,17,Horse Trailer Lot,5,08:00 AM,Medium
Lebanon Hills Regional Park,17,Horse Trailer Lot,5,10:00 AM,Medium
Lebanon Hills Regional Park,17,Horse Trailer Lot,5,12:00 PM,Medium
Lebanon Hills Regional Park,17,Horse Trailer Lot,5,02:00 PM,Medium
Lebanon Hills Regional Park,17,Horse Trailer Lot,5,04:00 PM,Medium
Lebanon Hills Regional Park,17,Horse Trailer Lot,5,06:00 PM,Medium
Lebanon Hills Regional Park,17,West Trailhead,6,08:00 AM,Medium
Lebanon Hills Regional Park,17,West Trailhead,6,10:00 AM,Medium
Lebanon Hills Regional Park,17,West Trailhead,6,12:00 PM,Medium
Lebanon Hills Regional Park,17,West Trailhead,6,02:00 PM,High
Lebanon Hills Regional Park,17,West Trailhead,6,04:00 PM,High
Lebanon Hills Regional Park,17,West Trailhead,6,06:00 PM,High
Lebanon Hills Regional Park,17,Galaxie Avenue,7,08:00 AM,Medium
Lebanon Hills Regional Park,17,Galaxie Avenue,7,10:00 AM,Low
Lebanon Hills Regional Park,17,Galaxie Avenue,7,12:00 PM,Low
Lebanon Hills Regional Park,17,Galaxie Avenue,7,02:00 PM,Medium
Lebanon Hills Regional Park,17,Galaxie Avenue,7,04:00 PM,High
Lebanon Hills Regional Park,17,Galaxie Avenue,7,06:00 PM,Medium
Lebanon Hills Regional Park,17,Sherwood Way,8,08:00 AM,Medium
Lebanon Hills Regional Park,17,Sherwood Way,8,10:00 AM,Low
Lebanon Hills Regional Park,17,Sherwood Way,8,12:00 PM,Low
Lebanon Hills Regional Park,17,Sherwood Way,8,02:00 PM,Low
Lebanon Hills Regional Park,17,Sherwood Way,8,04:00 PM,Medium
Lebanon Hills Regional Park,17,Sherwood Way,8,06:00 PM,Medium
Lebanon Hills Regional Park,17,Parkridge Drive West,9,08:00 AM,Low
Lebanon Hills Regional Park,17,Parkridge Drive West,9,10:00 AM,Low
Lebanon Hills Regional Park,17,Parkridge Drive West,9,12:00 PM,Low
Lebanon Hills Regional Park,17,Parkridge Drive West,9,02:00 PM,Low
Lebanon Hills Regional Park,17,Parkridge Drive West,9,04:00 PM,Low
Lebanon Hills Regional Park,17,Parkridge Drive West,9,06:00 PM,Medium
Lebanon Hills Regional Park,17,Parkridge Drive East,10,08:00 AM,Low
Lebanon Hills Regional Park,17,Parkridge Drive East,10,10:00 AM,Low
Lebanon Hills Regional Park,17,Parkridge Drive East,10,12:00 PM,Low
Lebanon Hills Regional Park,17,Parkridge Drive East,10,02:00 PM,Low
Lebanon Hills Regional Park,17,Parkridge Drive East,10,04:00 PM,Low
Lebanon Hills Regional Park,17,Parkridge Drive East,10,06:00 PM,Medium
Lebanon Hills Regional Park,17,Dodd Road,11,08:00 AM,Low
Lebanon Hills Regional Park,17,Dodd Road,11,10:00 AM,Low
Lebanon Hills Regional Park,17,Dodd Road,11,12:00 PM,Low
Lebanon Hills Regional Park,17,Dodd Road,11,02:00 PM,Low
Lebanon Hills Regional Park,17,Dodd Road,11,04:00 PM,Low
Lebanon Hills Regional Park,17,Dodd Road,11,06:00 PM,Medium
Miesville Ravine Park Reserve,18,Picnic/Canoe Launch,1,08:00 AM,Medium
Miesville Ravine Park Reserve,18,Picnic/Canoe Launch,1,10:00 AM,High
Miesville Ravine Park Reserve,18,Picnic/Canoe Launch,1,12:00 PM,High
Miesville Ravine Park Reserve,18,Picnic/Canoe Launch,1,02:00 PM,High
Miesville Ravine Park Reserve,18,Picnic/Canoe Launch,1,04:00 PM,Medium
Miesville Ravine Park Reserve,18,Picnic/Canoe Launch,1,06:00 PM,Medium
Mississippi River Regional Trail,19,"Kaposia Landing, MRRT Trail Entrance",1,08:00 AM,Medium
Mississippi River Regional Trail,19,"Kaposia Landing, MRRT Trail Entrance",1,10:00 AM,Medium
Mississippi River Regional Trail,19,"Kaposia Landing, MRRT Trail Entrance",1,12:00 PM,Medium
Mississippi River Regional Trail,19,"Kaposia Landing, MRRT Trail Entrance",1,02:00 PM,Medium
Mississippi River Regional Trail,19,"Kaposia Landing, MRRT Trail Entrance",1,04:00 PM,Medium
Mississippi River Regional Trail,19,"Kaposia Landing, MRRT Trail Entrance",1,06:00 PM,Medium
Mississippi River Regional Trail,19,DNR Boat Landing/Trail Access Parking Lot,2,08:00 AM,Medium
Mississippi River Regional Trail,19,DNR Boat Landing/Trail Access Parking Lot,2,10:00 AM,Medium
Mississippi River Regional Trail,19,DNR Boat Landing/Trail Access Parking Lot,2,12:00 PM,Medium
Mississippi River Regional Trail,19,DNR Boat Landing/Trail Access Parking Lot,2,02:00 PM,High
Mississippi River Regional Trail,19,DNR Boat Landing/Trail Access Parking Lot,2,04:00 PM,High
Mississippi River Regional Trail,19,DNR Boat Landing/Trail Access Parking Lot,2,06:00 PM,High
Mississippi River Regional Trail,19,Heritage Village Park - Inver Grove Heights,3,08:00 AM,Medium
Mississippi River Regional Trail,19,Heritage Village Park - Inver Grove Heights,3,10:00 AM,Medium
Mississippi River Regional Trail,19,Heritage Village Park - Inver Grove Heights,3,12:00 PM,Medium
Mississippi River Regional Trail,19,Heritage Village Park - Inver Grove Heights,3,02:00 PM,High
Mississippi River Regional Trail,19,Heritage Village Park - Inver Grove Heights,3,04:00 PM,High
Mississippi River Regional Trail,19,Heritage Village Park - Inver Grove Heights,3,06:00 PM,High
