Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Cedar Lake Regional Trail,41,Highway 100 Entrance,1,08:00 AM,Medium
Cedar Lake Regional Trail,41,Highway 100 Entrance,1,10:00 AM,Medium
Cedar Lake Regional Trail,41,Highway 100 Entrance,1,12:00 PM,Medium
Cedar Lake Regional Trail,41,Highway 100 Entrance,1,02:00 PM,Medium
Cedar Lake Regional Trail,41,Highway 100 Entrance,1,04:00 PM,Medium
Cedar Lake Regional Trail,41,Highway 100 Entrance,1,06:00 PM,Medium
Cedar Lake Regional Trail,41,Cedar Lake Road Bridge,2,08:00 AM,Low
Cedar Lake Regional Trail,41,Cedar Lake Road Bridge,2,10:00 AM,Low
Cedar Lake Regional Trail,41,Cedar Lake Road Bridge,2,12:00 PM,Low
Cedar Lake Regional Trail,41,Cedar Lake Road Bridge,2,02:00 PM,Low
Cedar Lake Regional Trail,41,Cedar Lake Road Bridge,2,04:00 PM,Low
Cedar Lake Regional Trail,41,Cedar Lake Road Bridge,2,06:00 PM,Low
Cedar Lake Regional Trail,41,Ewing Avenue Entrance,3,08:00 AM,High
Cedar Lake Regional Trail,41,Ewing Avenue Entrance,3,10:00 AM,Medium
Cedar Lake Regional Trail,41,Ewing Avenue Entrance,3,12:00 PM,Medium
Cedar Lake Regional Trail,41,Ewing Avenue Entrance,3,02:00 PM,Medium
Cedar Lake Regional Trail,41,Ewing Avenue Entrance,3,04:00 PM,Medium
Cedar Lake Regional Trail,41,Ewing Avenue Entrance,3,06:00 PM,High
Cedar Lake Regional Trail,41,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway),4,08:00 AM,Low
Cedar Lake Regional Trail,41,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway),4,10:00 AM,Low
Cedar Lake Regional Trail,41,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway),4,12:00 PM,Low
Cedar Lake Regional Trail,41,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway),4,02:00 PM,Low
Cedar Lake Regional Trail,41,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway),4,04:00 PM,Low
Cedar Lake Regional Trail,41,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway),4,06:00 PM,Low
Cedar Lake Regional Trail,41,Kenwood and Penn Avenue Trail Access,5,08:00 AM,High
Cedar Lake Regional Trail,41,Kenwood and Penn Avenue Trail Access,5,10:00 AM,Medium
Cedar Lake Regional Trail,41,Kenwood and Penn Avenue Trail Access,5,12:00 PM,Medium
Cedar Lake Regional Trail,41,Kenwood and Penn Avenue Trail Access,5,02:00 PM,Medium
Cedar Lake Regional Trail,41,Kenwood and Penn Avenue Trail Access,5,04:00 PM,High
