Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Day_type,Usage_class
Battle Creek Regional Park,51,Picnic Pavilion,1,08:00 AM,Weekday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,08:00 AM,Weekend_holiday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,10:00 AM,Weekday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,10:00 AM,Weekend_holiday,High
Battle Creek Regional Park,51,Picnic Pavilion,1,12:00 PM,Weekday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,12:00 PM,Weekend_holiday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,02:00 PM,Weekday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,02:00 PM,Weekend_holiday,Medium
Battle Creek Regional Park,51,Picnic Pavilion,1,04:00 PM,Weekday,High
Battle Creek Regional Park,51,Picnic Pavilion,1,04:00 PM,Weekend_holiday,High
Battle Creek Regional Park,51,Picnic Pavilion,1,06:00 PM,Weekday,High
Battle Creek Regional Park,51,Picnic Pavilion,1,06:00 PM,Weekend_holiday,High
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Upper Afton/McKnight Corner,2,04:00 PM,Weekend_holiday,Low
