Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Bruce Vento Regional Trail,62,Johnson Parkway - Maryland Avenue entranc,1,08:00 AM,High
Bruce Vento Regional Trail,62,Johnson Parkway - Maryland Avenue entranc,1,10:00 AM,High
Bruce Vento Regional Trail,62,Johnson Parkway - Maryland Avenue entranc,1,12:00 PM,High
Bruce Vento Regional Trail,62,Johnson Parkway - Maryland Avenue entranc,1,02:00 PM,High
Bruce Vento Regional Trail,62,Johnson Parkway - Maryland Avenue entranc,1,04:00 PM,High
Bruce Vento Regional Trail,62,Johnson Parkway - Maryland Avenue entranc,1,06:00 PM,High
Bruce Vento Regional Trail,62,Drewry Lane and Beaumont Street access,3,08:00 AM,Low
Bruce Vento Regional Trail,62,Drewry Lane and Beaumont Street access,3,10:00 AM,Low
Bruce Vento Regional Trail,62,Drewry Lane and Beaumont Street access,3,12:00 PM,Low
Bruce Vento Regional Trail,62,Drewry Lane and Beaumont Street access,3,02:00 PM,Low
Bruce Vento Regional Trail,62,Drewry Lane and Beaumont Street access,3,04:00 PM,Low
Bruce Vento Regional Trail,62,Drewry Lane and Beaumont Street access,3,06:00 PM,Low
Bruce Vento Regional Trail,62,Payne Avenue Access,5,08:00 AM,Medium
Bruce Vento Regional Trail,62,Payne Avenue Access,5,10:00 AM,High
Bruce Vento Regional Trail,62,Payne Avenue Access,5,12:00 PM,High
Bruce Vento Regional Trail,62,Payne Avenue Access,5,02:00 PM,High
Bruce Vento Regional Trail,62,Payne Avenue Access,5,04:00 PM,High
Bruce Vento Regional Trail,62,Payne Avenue Access,5,06:00 PM,High
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Johnson Parkway,6,08:00 AM,Medium
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Johnson Parkway,6,10:00 AM,High
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Johnson Parkway,6,12:00 PM,High
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Johnson Parkway,6,02:00 PM,High
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Johnson Parkway,6,04:00 PM,High
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Johnson Parkway,6,06:00 PM,High
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Frank Street,7,08:00 AM,Medium
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Frank Street,7,10:00 AM,Low
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Frank Street,7,12:00 PM,Low
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Frank Street,7,02:00 PM,Low
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Frank Street,7,04:00 PM,Medium
Bruce Vento Regional Trail,62,Intersection of Phalen Boulevard and Frank Street,7,06:00 PM,Medium
Bruce Vento Regional Trail,62,Parking lot at entrance to Bruce Vento Nature Sanctuary,8,08:00 AM,Medium
Bruce Vento Regional Trail,62,Parking lot at entrance to Bruce Vento Nature Sanctuary,8,10:00 AM,High
Bruce Vento Regional Trail,62,Parking lot at entrance to Bruce Vento Nature Sanctuary,8,12:00 PM,High
Bruce Vento Regional Trail,62,Parking lot at entrance to Bruce Vento Nature Sanctuary,8,02:00 PM,High
Bruce Vento Regional Trail,62,Parking lot at entrance to Bruce Vento Nature Sanctuary,8,04:00 PM,High
Bruce Vento Regional Trail,62,Parking lot at entrance to Bruce Vento Nature Sanctuary,8,06:00 PM,High
Cherokee Heights Regional Park,63,Chippewa - Curtice,1,08:00 AM,Medium
Cherokee Heights Regional Park,63,Chippewa - Curtice,1,10:00 AM,Medium
Cherokee Heights Regional Park,63,Chippewa - Curtice,1,12:00 PM,High
