Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Baker Park Reserve,21,Baker Main Gate,1,08:00 AM,High
Baker Park Reserve,21,Baker Main Gate,1,10:00 AM,High
Baker Park Reserve,21,Baker Main Gate,1,12:00 PM,High
Baker Park Reserve,21,Baker Main Gate,1,02:00 PM,High
Baker Park Reserve,21,Baker Main Gate,1,04:00 PM,High
Baker Park Reserve,21,Baker Main Gate,1,06:00 PM,High
Baker Park Reserve,21,Campground Turf Spur,2,08:00 AM,Low
Baker Park Reserve,21,Campground Turf Spur,2,10:00 AM,Low
Baker Park Reserve,21,Campground Turf Spur,2,12:00 PM,Low
Baker Park Reserve,21,Campground Turf Spur,2,02:00 PM,Low
Baker Park Reserve,21,Campground Turf Spur,2,04:00 PM,Low
Baker Park Reserve,21,Campground Turf Spur,2,06:00 PM,Low
Baker Park Reserve,21,Marshview Turf Trails,3,08:00 AM,Low
Baker Park Reserve,21,Marshview Turf Trails,3,10:00 AM,Low
Baker Park Reserve,21,Marshview Turf Trails,3,12:00 PM,Low
Baker Park Reserve,21,Marshview Turf Trails,3,02:00 PM,Low
Baker Park Reserve,21,Marshview Turf Trails,3,04:00 PM,Low
Baker Park Reserve,21,Marshview Turf Trails,3,06:00 PM,Low
Baker Park Reserve,21,Baker Horse Trailhead,4,08:00 AM,Medium
Baker Park Reserve,21,Baker Horse Trailhead,4,10:00 AM,Medium
Baker Park Reserve,21,Baker Horse Trailhead,4,12:00 PM,Medium
Baker Park Reserve,21,Baker Horse Trailhead,4,02:00 PM,Medium
Baker Park Reserve,21,Baker Horse Trailhead,4,04:00 PM,Medium
Baker Park Reserve,21,Baker Horse Trailhead,4,06:00 PM,Medium
Baker Park Reserve,21,Southern Lake Independence Regional Trail Connection,5,08:00 AM,Low
Baker Park Reserve,21,Southern Lake Independence Regional Trail Connection,5,10:00 AM,Low
Baker Park Reserve,21,Southern Lake Independence Regional Trail Connection,5,12:00 PM,Low
Baker Park Reserve,21,Southern Lake Independence Regional Trail Connection,5,02:00 PM,Low
Baker Park Reserve,21,Southern Lake Independence Regional Trail Connection,5,04:00 PM,Low
Baker Park Reserve,21,Southern Lake Independence Regional Trail Connection,5,06:00 PM,Low
Baker Park Reserve,21,Maple Plain Trailhead,6,08:00 AM,Medium
Baker Park Reserve,21,Maple Plain Trailhead,6,10:00 AM,Medium
Baker Park Reserve,21,Maple Plain Trailhead,6,12:00 PM,Medium
Baker Park Reserve,21,Maple Plain Trailhead,6,02:00 PM,Medium
Baker Park Reserve,21,Maple Plain Trailhead,6,04:00 PM,Medium
Baker Park Reserve,21,Maple Plain Trailhead,6,06:00 PM,Medium
Baker Park Reserve,21,Spurzem Fishing Access,7,08:00 AM,Medium
Baker Park Reserve,21,Spurzem Fishing Access,7,10:00 AM,Medium
Baker Park Reserve,21,Spurzem Fishing Access,7,12:00 PM,Medium
Baker Park Reserve,21,Spurzem Fishing Access,7,02:00 PM,Medium
Baker Park Reserve,21,Spurzem Fishing Access,7,04:00 PM,Medium
Baker Park Reserve,21,Spurzem Fishing Access,7,06:00 PM,Medium
Baker Park Reserve,21,Half Moon Fishing Access,8,08:00 AM,Low
Baker Park Reserve,21,Half Moon Fishing Access,8,10:00 AM,Low
Baker Park Reserve,21,Half Moon Fishing Access,8,12:00 PM,Low
Baker Park Reserve,21,Half Moon Fishing Access,8,02:00 PM,Low
Baker Park Reserve,21,Half Moon Fishing Access,8,04:00 PM,Low
Baker Park Reserve,21,Half Moon Fishing Access,8,06:00 PM,Low
Baker Park Reserve,21,Sycamore Trail Turf Spur,9,08:00 AM,Low
Baker Park Reserve,21,Sycamore Trail Turf Spur,9,10:00 AM,Low
Baker Park Reserve,21,Sycamore Trail Turf Spur,9,12:00 PM,Low
Baker Park Reserve,21,Sycamore Trail Turf Spur,9,02:00 PM,Low
Baker Park Reserve,21,Sycamore Trail Turf Spur,9,04:00 PM,Low
Baker Park Reserve,21,Sycamore Trail Turf Spur,9,06:00 PM,Low
Baker Park Reserve,21,County Road 24 Trail Intersection,10,08:00 AM,Low
Baker Park Reserve,21,County Road 24 Trail Intersection,10,10:00 AM,Low
Baker Park Reserve,21,County Road 24 Trail Intersection,10,12:00 PM,Low
Baker Park Reserve,21,County Road 24 Trail Intersection,10,02:00 PM,Low
Baker Park Reserve,21,County Road 24 Trail Intersection,10,04:00 PM,Low
Baker Park Reserve,21,County Road 24 Trail Intersection,10,06:00 PM,Low
Baker Park Reserve,21,Northern LIT Connection,11,08:00 AM,Low
Baker Park Reserve,21,Northern LIT Connection,11,10:00 AM,Low
Baker Park Reserve,21,Northern LIT Connection,11,12:00 PM,Low
