Park_name,Park_id,Entrance,Start_time,Usage_class
Anoka County Riverfront Regional Park,1,1,08:00 AM,Medium
Anoka County Riverfront Regional Park,1,1,10:00 AM,Medium
Anoka County Riverfront Regional Park,1,1,12:00 PM,Medium
Anoka County Riverfront Regional Park,1,1,02:00 PM,Medium
Anoka County Riverfront Regional Park,1,1,04:00 PM,Medium
Anoka County Riverfront Regional Park,1,1,06:00 PM,Medium
Anoka County Riverfront Regional Park,1,2,08:00 AM,Medium
Anoka County Riverfront Regional Park,1,2,10:00 AM,High
Anoka County Riverfront Regional Park,1,2,12:00 PM,High
Anoka County Riverfront Regional Park,1,2,02:00 PM,High
Anoka County Riverfront Regional Park,1,2,04:00 PM,High
Anoka County Riverfront Regional Park,1,2,06:00 PM,Medium
Anoka County Riverfront Regional Park,1,3,08:00 AM,High
Anoka County Riverfront Regional Park,1,3,10:00 AM,High
Anoka County Riverfront Regional Park,1,3,12:00 PM,High
Anoka County Riverfront Regional Park,1,3,02:00 PM,High
Anoka County Riverfront Regional Park,1,3,04:00 PM,High
Anoka County Riverfront Regional Park,1,3,06:00 PM,High
Anoka County Riverfront Regional Park,1,4,08:00 AM,Medium
Anoka County Riverfront Regional Park,1,4,10:00 AM,Medium
Anoka County Riverfront Regional Park,1,4,12:00 PM,Medium
Anoka County Riverfront Regional Park,1,4,02:00 PM,Medium
Anoka County Riverfront Regional Park,1,4,04:00 PM,Medium
Anoka County Riverfront Regional Park,1,4,06:00 PM,Medium
Bunker Hills Regional Park,2,1,08:00 AM,Low
Bunker Hills Regional Park,2,1,10:00 AM,Low
Bunker Hills Regional Park,2,1,12:00 PM,Low
Bunker Hills Regional Park,2,1,02:00 PM,Low
Bunker Hills Regional Park,2,1,04:00 PM,Low
Bunker Hills Regional Park,2,1,06:00 PM,Low
Bunker Hills Regional Park,2,2,08:00 AM,Low
Bunker Hills Regional Park,2,2,10:00 AM,Low
Bunker Hills Regional Park,2,2,12:00 PM,Low
Bunker Hills Regional Park,2,2,02:00 PM,Low
Bunker Hills Regional Park,2,2,04:00 PM,Low
Bunker Hills Regional Park,2,2,06:00 PM,Low
Bunker Hills Regional Park,2,3,08:00 AM,Medium
Bunker Hills Regional Park,2,3,10:00 AM,Medium
Bunker Hills Regional Park,2,3,12:00 PM,Medium
Bunker Hills Regional Park,2,3,02:00 PM,Medium
Bunker Hills Regional Park,2,3,04:00 PM,Medium
Bunker Hills Regional Park,2,3,06:00 PM,Medium
Bunker Hills Regional Park,2,4,08:00 AM,Medium
Bunker Hills Regional Park,2,4,10:00 AM,Medium
Bunker Hills Regional Park,2,4,12:00 PM,Medium
Bunker Hills Regional Park,2,4,02:00 PM,Medium
Bunker Hills Regional Park,2,4,04:00 PM,Medium
Bunker Hills Regional Park,2,4,06:00 PM,Medium
Bunker Hills Regional Park,2,5,08:00 AM,Low
Bunker Hills Regional Park,2,5,10:00 AM,Low
Bunker Hills Regional Park,2,5,12:00 PM,Low
Bunker Hills Regional Park,2,5,02:00 PM,Low
Bunker Hills Regional Park,2,5,04:00 PM,Low
Bunker Hills Regional Park,2,5,06:00 PM,Low
Bunker Hills Regional Park,2,6,08:00 AM,High
Bunker Hills Regional Park,2,6,10:00 AM,High
Bunker Hills Regional Park,2,6,12:00 PM,High
Bunker Hills Regional Park,2,6,02:00 PM,High
Bunker Hills Regional Park,2,6,04:00 PM,High
Bunker Hills Regional Park,2,6,06:00 PM,High
Bunker Hills Regional Park,2,7,08:00 AM,Low
Bunker Hills Regional Park,2,7,10:00 AM,Low
Bunker Hills Regional Park,2,7,12:00 PM,Low
Bunker Hills Regional Park,2,7,02:00 PM,Low
Bunker Hills Regional Park,2,7,04:00 PM,Low
Bunker Hills Regional Park,2,7,06:00 PM,Low
Bunker Hills Regional Park,2,8,08:00 AM,Low
Bunker Hills Regional Park,2,8,10:00 AM,Low
Bunker Hills Regional Park,2,8,12:00 PM,Low
Bunker Hills Regional Park,2,8,02:00 PM,Low
Bunker Hills Regional Park,2,8,04:00 PM,Low
Bunker Hills Regional Park,2,8,06:00 PM,Low
Bunker Hills Regional Park,2,9,08:00 AM,Medium
