Park_name,Park_id,Entrance,Start_time,Usage_class
Baylor Regional Park,12,1,08:00 AM,Medium
Baylor Regional Park,12,1,10:00 AM,High
Baylor Regional Park,12,1,12:00 PM,High
Baylor Regional Park,12,1,02:00 PM,High
Baylor Regional Park,12,1,04:00 PM,High
Baylor Regional Park,12,1,06:00 PM,Medium
Lake Minnewashta Regional Park,13,1,08:00 AM,High
Lake Minnewashta Regional Park,13,1,10:00 AM,Medium
Lake Minnewashta Regional Park,13,1,12:00 PM,Medium
Lake Minnewashta Regional Park,13,1,02:00 PM,High
Lake Minnewashta Regional Park,13,1,04:00 PM,High
Lake Minnewashta Regional Park,13,1,06:00 PM,High
Lake Minnewashta Regional Park,13,2,08:00 AM,Low
Lake Minnewashta Regional Park,13,2,10:00 AM,Low
Lake Minnewashta Regional Park,13,2,12:00 PM,Low
Lake Minnewashta Regional Park,13,2,02:00 PM,Low
Lake Minnewashta Regional Park,13,2,04:00 PM,Low
Lake Minnewashta Regional Park,13,2,06:00 PM,Low
Lake Minnewashta Regional Park,13,3,08:00 AM,Low
Lake Minnewashta Regional Park,13,3,10:00 AM,Low
Lake Minnewashta Regional Park,13,3,12:00 PM,Low
Lake Minnewashta Regional Park,13,3,02:00 PM,Low
Lake Minnewashta Regional Park,13,3,04:00 PM,Low
Lake Minnewashta Regional Park,13,3,06:00 PM,Low
Lake Waconia Regional Park,14,1,08:00 AM,Medium
Lake Waconia Regional Park,14,1,10:00 AM,Medium
Lake Waconia Regional Park,14,1,12:00 PM,High
Lake Waconia Regional Park,14,1,02:00 PM,High
Lake Waconia Regional Park,14,1,04:00 PM,High
Lake Waconia Regional Park,14,1,06:00 PM,High
Lake Waconia Regional Park,14,2,08:00 AM,Medium
Lake Waconia Regional Park,14,2,10:00 AM,Medium
Lake Waconia Regional Park,14,2,12:00 PM,Medium
Lake Waconia Regional Park,14,2,02:00 PM,Medium
Lake Waconia Regional Park,14,2,04:00 PM,Medium
Lake Waconia Regional Park,14,2,06:00 PM,Medium
Lake Waconia Regional Park,14,3,08:00 AM,Low
Lake Waconia Regional Park,14,3,10:00 AM,Low
Lake Waconia Regional Park,14,3,12:00 PM,Low
Lake Waconia Regional Park,14,3,02:00 PM,Low
Lake Waconia Regional Park,14,3,04:00 PM,Low
Lake Waconia Regional Park,14,3,06:00 PM,Low
Dakota Rail Regional Trail,104,1,08:00 AM,Medium
Dakota Rail Regional Trail,104,1,10:00 AM,Medium
Dakota Rail Regional Trail,104,1,12:00 PM,Medium
Dakota Rail Regional Trail,104,1,02:00 PM,Medium
Dakota Rail Regional Trail,104,1,04:00 PM,Medium
Dakota Rail Regional Trail,104,1,06:00 PM,Medium
Dakota Rail Regional Trail,104,2,08:00 AM,High
Dakota Rail Regional Trail,104,2,10:00 AM,High
Dakota Rail Regional Trail,104,2,12:00 PM,High
Dakota Rail Regional Trail,104,2,02:00 PM,High
Dakota Rail Regional Trail,104,2,04:00 PM,High
Dakota Rail Regional Trail,104,2,06:00 PM,High
Dakota Rail Regional Trail,104,3,08:00 AM,Low
Dakota Rail Regional Trail,104,3,10:00 AM,Low
Dakota Rail Regional Trail,104,3,12:00 PM,Low
Dakota Rail Regional Trail,104,3,02:00 PM,Low
Dakota Rail Regional Trail,104,3,04:00 PM,Low
Dakota Rail Regional Trail,104,3,06:00 PM,Low
Dakota Rail Regional Trail,104,4,08:00 AM,Low
Dakota Rail Regional Trail,104,4,10:00 AM,Low
Dakota Rail Regional Trail,104,4,12:00 PM,Low
Dakota Rail Regional Trail,104,4,02:00 PM,Low
Dakota Rail Regional Trail,104,4,04:00 PM,Low
Dakota Rail Regional Trail,104,4,06:00 PM,Low
Dakota Rail Regional Trail,104,5,08:00 AM,High
Dakota Rail Regional Trail,104,5,10:00 AM,High
Dakota Rail Regional Trail,104,5,12:00 PM,High
Dakota Rail Regional Trail,104,5,02:00 PM,High
Dakota Rail Regional Trail,104,5,04:00 PM,High
Dakota Rail Regional Trail,104,5,06:00 PM,High
Dakota Rail Regional Trail,104,6,08:00 AM,Medium
Dakota Rail Regional Trail,104,6,10:00 AM,Medium
Dakota Rail Regional Trail,104,6,12:00 PM,Medium
Dakota Rail Regional Trail,104,6,02:00 PM,Medium
Dakota Rail Regional Trail,104,6,04:00 PM,Medium
Dakota Rail Regional Trail,104,6,06:00 PM,Medium
Dakota Rail Regional Trail,104,7,08:00 AM,High
Dakota Rail Regional Trail,104,7,10:00 AM,High
Dakota Rail Regional Trail,104,7,12:00 PM,High
Dakota Rail Regional Trail,104,7,02:00 PM,High
Dakota Rail Regional Trail,104,7,04:00 PM,High
Dakota Rail Regional Trail,104,7,06:00 PM,High
Dakota Rail Regional Trail,104,8,08:00 AM,High
Dakota Rail Regional Trail,104,8,10:00 AM,High
Dakota Rail Regional Trail,104,8,12:00 PM,High
Dakota Rail Regional Trail,104,8,02:00 PM,High
Dakota Rail Regional Trail,104,8,04:00 PM,High
Dakota Rail Regional Trail,104,8,06:00 PM,High
Dakota Rail Regional Trail,104,9,08:00 AM,Medium
Dakota Rail Regional Trail,104,9,10:00 AM,Medium
Dakota Rail Regional Trail,104,9,12:00 PM,Medium
Dakota Rail Regional Trail,104,9,02:00 PM,Medium
Dakota Rail Regional Trail,104,9,04:00 PM,Medium
Dakota Rail Regional Trail,104,9,06:00 PM,Medium
Dakota Rail Regional Trail,104,10,08:00 AM,High
Dakota Rail Regional Trail,104,10,10:00 AM,High
Dakota Rail Regional Trail,104,10,12:00 PM,High
Dakota Rail Regional Trail,104,10,02:00 PM,High
Dakota Rail Regional Trail,104,10,04:00 PM,High
Dakota Rail Regional Trail,104,10,06:00 PM,High
Dakota Rail Regional Trail,104,11,08:00 AM,Low
Dakota Rail Regional Trail,104,11,10:00 AM,Low
Dakota Rail Regional Trail,104,11,12:00 PM,Low
Dakota Rail Regional Trail,104,11,02:00 PM,Low
Dakota Rail Regional Trail,104,11,04:00 PM,Low
Dakota Rail Regional Trail,104,11,06:00 PM,Low
Dakota Rail Regional Trail,104,12,08:00 AM,Medium
Dakota Rail Regional Trail,104,12,10:00 AM,Medium
Dakota Rail Regional Trail,104,12,12:00 PM,Medium
Dakota Rail Regional Trail,104,12,02:00 PM,Medium
Dakota Rail Regional Trail,104,12,04:00 PM,Medium
Dakota Rail Regional Trail,104,12,06:00 PM,Medium
Dakota Rail Regional Trail,104,13,08:00 AM,Low
Dakota Rail Regional Trail,104,13,10:00 AM,Low
Dakota Rail Regional Trail,104,13,12:00 PM,Low
Dakota Rail Regional Trail,104,13,02:00 PM,Low
Dakota Rail Regional Trail,104,13,04:00 PM,Low
Dakota Rail Regional Trail,104,13,06:00 PM,Low
Minnesota River Bluffs Regional Trail,113,1,08:00 AM,High
Minnesota River Bluffs Regional Trail,113,1,10:00 AM,Medium
Minnesota River Bluffs Regional Trail,113,1,12:00 PM,Medium
Minnesota River Bluffs Regional Trail,113,1,02:00 PM,Medium
Minnesota River Bluffs Regional Trail,113,1,04:00 PM,High
Minnesota River Bluffs Regional Trail,113,1,06:00 PM,High
Minnesota River Bluffs Regional Trail,113,2,08:00 AM,High
Minnesota River Bluffs Regional Trail,113,2,10:00 AM,Medium
Minnesota River Bluffs Regional Trail,113,2,12:00 PM,Medium
Minnesota River Bluffs Regional Trail,113,2,02:00 PM,Medium
Minnesota River Bluffs Regional Trail,113,2,04:00 PM,High
Minnesota River Bluffs Regional Trail,113,2,06:00 PM,High
Minnesota River Bluffs Regional Trail,113,3,08:00 AM,Medium
Minnesota River Bluffs Regional Trail,113,3,10:00 AM,Medium
