Park_name,Park_id,Entrance,Start_time,Usage_class
Big Rivers Regional Trail,15,1,08:00 AM,Medium
Big Rivers Regional Trail,15,1,10:00 AM,Medium
Big Rivers Regional Trail,15,1,12:00 PM,High
Big Rivers Regional Trail,15,1,02:00 PM,High
Big Rivers Regional Trail,15,1,04:00 PM,High
Big Rivers Regional Trail,15,1,06:00 PM,High
Big Rivers Regional Trail,15,2,08:00 AM,Low
Big Rivers Regional Trail,15,2,10:00 AM,Low
Big Rivers Regional Trail,15,2,12:00 PM,Medium
Big Rivers Regional Trail,15,2,02:00 PM,High
Big Rivers Regional Trail,15,2,04:00 PM,High
Big Rivers Regional Trail,15,2,06:00 PM,High
Big Rivers Regional Trail,15,3,08:00 AM,Low
Big Rivers Regional Trail,15,3,10:00 AM,Low
Big Rivers Regional Trail,15,3,12:00 PM,Medium
Big Rivers Regional Trail,15,3,02:00 PM,High
Big Rivers Regional Trail,15,3,04:00 PM,High
Big Rivers Regional Trail,15,3,06:00 PM,High
Big Rivers Regional Trail,15,4,08:00 AM,Medium
Big Rivers Regional Trail,15,4,10:00 AM,Medium
Big Rivers Regional Trail,15,4,12:00 PM,High
Big Rivers Regional Trail,15,4,02:00 PM,High
Big Rivers Regional Trail,15,4,04:00 PM,High
Big Rivers Regional Trail,15,4,06:00 PM,High
Big Rivers Regional Trail,15,5,08:00 AM,Low
Big Rivers Regional Trail,15,5,10:00 AM,Low
Big Rivers Regional Trail,15,5,12:00 PM,Medium
Big Rivers Regional Trail,15,5,02:00 PM,Medium
Big Rivers Regional Trail,15,5,04:00 PM,High
Big Rivers Regional Trail,15,5,06:00 PM,Medium
Big Rivers Regional Trail,15,6,08:00 AM,Low
Big Rivers Regional Trail,15,6,10:00 AM,Low
Big Rivers Regional Trail,15,6,12:00 PM,Medium
Big Rivers Regional Trail,15,6,02:00 PM,Medium
Big Rivers Regional Trail,15,6,04:00 PM,High
Lake Byllesby Regional Park,16,1,08:00 AM,Medium
Lake Byllesby Regional Park,16,1,10:00 AM,High
Lake Byllesby Regional Park,16,1,12:00 PM,High
Lake Byllesby Regional Park,16,1,02:00 PM,High
Lake Byllesby Regional Park,16,1,04:00 PM,High
Lake Byllesby Regional Park,16,1,06:00 PM,Medium
Lake Byllesby Regional Park,16,2,08:00 AM,Medium
Lake Byllesby Regional Park,16,2,10:00 AM,Medium
Lake Byllesby Regional Park,16,2,12:00 PM,Medium
Lake Byllesby Regional Park,16,2,02:00 PM,Medium
Lake Byllesby Regional Park,16,2,04:00 PM,Medium
Lake Byllesby Regional Park,16,2,06:00 PM,Medium
Lebanon Hills Regional Park,17,1,08:00 AM,Medium
Lebanon Hills Regional Park,17,1,10:00 AM,High
Lebanon Hills Regional Park,17,1,12:00 PM,High
Lebanon Hills Regional Park,17,1,02:00 PM,High
Lebanon Hills Regional Park,17,1,04:00 PM,High
Lebanon Hills Regional Park,17,1,06:00 PM,Medium
Lebanon Hills Regional Park,17,2,08:00 AM,Medium
Lebanon Hills Regional Park,17,2,10:00 AM,Medium
Lebanon Hills Regional Park,17,2,12:00 PM,Medium
Lebanon Hills Regional Park,17,2,02:00 PM,Medium
Lebanon Hills Regional Park,17,2,04:00 PM,Medium
Lebanon Hills Regional Park,17,2,06:00 PM,Medium
Lebanon Hills Regional Park,17,3,08:00 AM,Medium
Lebanon Hills Regional Park,17,3,10:00 AM,Medium
Lebanon Hills Regional Park,17,3,12:00 PM,Medium
Lebanon Hills Regional Park,17,3,02:00 PM,Medium
Lebanon Hills Regional Park,17,3,04:00 PM,Medium
Lebanon Hills Regional Park,17,3,06:00 PM,Medium
Lebanon Hills Regional Park,17,5,08:00 AM,Medium
Lebanon Hills Regional Park,17,5,10:00 AM,Medium
Lebanon Hills Regional Park,17,5,12:00 PM,Medium
Lebanon Hills Regional Park,17,5,02:00 PM,Medium
Lebanon Hills Regional Park,17,5,04:00 PM,Medium
Lebanon Hills Regional Park,17,5,06:00 PM,Medium
Lebanon Hills Regional Park,17,6,08:00 AM,Medium
Lebanon Hills Regional Park,17,6,10:00 AM,Medium
Lebanon Hills Regional Park,17,6,12:00 PM,Medium
Lebanon Hills Regional Park,17,6,02:00 PM,High
Lebanon Hills Regional Park,17,6,04:00 PM,High
Lebanon Hills Regional Park,17,6,06:00 PM,High
Lebanon Hills Regional Park,17,7,08:00 AM,Medium
Lebanon Hills Regional Park,17,7,10:00 AM,Low
Lebanon Hills Regional Park,17,7,12:00 PM,Low
Lebanon Hills Regional Park,17,7,02:00 PM,Medium
Lebanon Hills Regional Park,17,7,04:00 PM,High
Lebanon Hills Regional Park,17,7,06:00 PM,Medium
Lebanon Hills Regional Park,17,8,08:00 AM,Medium
Lebanon Hills Regional Park,17,8,10:00 AM,Low
Lebanon Hills Regional Park,17,8,12:00 PM,Low
Lebanon Hills Regional Park,17,8,02:00 PM,Low
Lebanon Hills Regional Park,17,8,04:00 PM,Medium
Lebanon Hills Regional Park,17,8,06:00 PM,Medium
Lebanon Hills Regional Park,17,9,08:00 AM,Low
Lebanon Hills Regional Park,17,9,10:00 AM,Low
Lebanon Hills Regional Park,17,9,12:00 PM,Low
Lebanon Hills Regional Park,17,9,02:00 PM,Low
Lebanon Hills Regional Park,17,9,04:00 PM,Low
Lebanon Hills Regional Park,17,9,06:00 PM,Medium
Lebanon Hills Regional Park,17,10,08:00 AM,Low
Lebanon Hills Regional Park,17,10,10:00 AM,Low
Lebanon Hills Regional Park,17,10,12:00 PM,Low
Lebanon Hills Regional Park,17,10,02:00 PM,Low
Lebanon Hills Regional Park,17,10,04:00 PM,Low
Lebanon Hills Regional Park,17,10,06:00 PM,Medium
Lebanon Hills Regional Park,17,11,08:00 AM,Low
