Park_name,Park_id,Entrance,Start_time,Usage_class
Cedar Lake Regional Trail,41,1,08:00 AM,Medium
Cedar Lake Regional Trail,41,1,10:00 AM,Medium
Cedar Lake Regional Trail,41,1,12:00 PM,Medium
Cedar Lake Regional Trail,41,1,02:00 PM,Medium
Cedar Lake Regional Trail,41,1,04:00 PM,Medium
Cedar Lake Regional Trail,41,1,06:00 PM,Medium
Cedar Lake Regional Trail,41,2,08:00 AM,Low
Cedar Lake Regional Trail,41,2,10:00 AM,Low
Cedar Lake Regional Trail,41,2,12:00 PM,Low
Cedar Lake Regional Trail,41,2,02:00 PM,Low
Cedar Lake Regional Trail,41,2,04:00 PM,Low
Cedar Lake Regional Trail,41,2,06:00 PM,Low
Cedar Lake Regional Trail,41,3,08:00 AM,High
Cedar Lake Regional Trail,41,3,10:00 AM,Medium
Cedar Lake Regional Trail,41,3,12:00 PM,Medium
Cedar Lake Regional Trail,41,3,02:00 PM,Medium
Cedar Lake Regional Trail,41,3,04:00 PM,Medium
Cedar Lake Regional Trail,41,3,06:00 PM,High
Cedar Lake Regional Trail,41,4,08:00 AM,Low
Cedar Lake Regional Trail,41,4,10:00 AM,Low
Cedar Lake Regional Trail,41,4,12:00 PM,Low
Cedar Lake Regional Trail,41,4,02:00 PM,Low
Cedar Lake Regional Trail,41,4,04:00 PM,Low
Cedar Lake Regional Trail,41,4,06:00 PM,Low
Cedar Lake Regional Trail,41,5,08:00 AM,High
Cedar Lake Regional Trail,41,5,10:00 AM,Medium
Cedar Lake Regional Trail,41,5,12:00 PM,Medium
Cedar Lake Regional Trail,41,5,02:00 PM,Medium
Cedar Lake Regional Trail,41,5,04:00 PM,High
Cedar Lake Regional Trail,41,5,06:00 PM,High
Cedar Lake Regional Trail,41,6,08:00 AM,High
Cedar Lake Regional Trail,41,6,10:00 AM,Medium
Cedar Lake Regional Trail,41,6,12:00 PM,Medium
Cedar Lake Regional Trail,41,6,02:00 PM,Medium
Cedar Lake Regional Trail,41,6,04:00 PM,High
Cedar Lake Regional Trail,41,6,06:00 PM,High
Cedar Lake Regional Trail,41,7,08:00 AM,High
Cedar Lake Regional Trail,41,7,10:00 AM,Medium
Cedar Lake Regional Trail,41,7,12:00 PM,Medium
Cedar Lake Regional Trail,41,7,02:00 PM,Medium
Cedar Lake Regional Trail,41,7,04:00 PM,High
Cedar Lake Regional Trail,41,7,06:00 PM,High
Cedar Lake Regional Trail,41,8,08:00 AM,Medium
Cedar Lake Regional Trail,41,8,10:00 AM,Medium
Cedar Lake Regional Trail,41,8,12:00 PM,Medium
Cedar Lake Regional Trail,41,8,02:00 PM,Medium
Cedar Lake Regional Trail,41,8,04:00 PM,Medium
Cedar Lake Regional Trail,41,8,06:00 PM,Medium
Cedar Lake Regional Trail,41,10,08:00 AM,Medium
Cedar Lake Regional Trail,41,10,10:00 AM,Medium
Cedar Lake Regional Trail,41,10,12:00 PM,Medium
Cedar Lake Regional Trail,41,10,02:00 PM,Medium
Cedar Lake Regional Trail,41,10,04:00 PM,Medium
Cedar Lake Regional Trail,41,10,06:00 PM,Medium
Cedar Lake Regional Trail,41,11,08:00 AM,Low
Cedar Lake Regional Trail,41,11,10:00 AM,Low
Cedar Lake Regional Trail,41,11,12:00 PM,Low
Cedar Lake Regional Trail,41,11,02:00 PM,Low
Cedar Lake Regional Trail,41,11,04:00 PM,Low
Cedar Lake Regional Trail,41,11,06:00 PM,Low
Cedar Lake Regional Trail,41,13,08:00 AM,High
Cedar Lake Regional Trail,41,13,10:00 AM,High
Cedar Lake Regional Trail,41,13,12:00 PM,Medium
Cedar Lake Regional Trail,41,13,02:00 PM,Medium
Cedar Lake Regional Trail,41,13,04:00 PM,High
Cedar Lake Regional Trail,41,13,06:00 PM,High
Cedar Lake Regional Trail,41,14,08:00 AM,High
Cedar Lake Regional Trail,41,14,10:00 AM,High
Cedar Lake Regional Trail,41,14,12:00 PM,Medium
Cedar Lake Regional Trail,41,14,02:00 PM,Medium
Cedar Lake Regional Trail,41,14,04:00 PM,High
Cedar Lake Regional Trail,41,14,06:00 PM,High
Central Mississippi Riverfront Regional Park,42,1,08:00 AM,Medium
Central Mississippi Riverfront Regional Park,42,1,10:00 AM,Medium
Central Mississippi Riverfront Regional Park,42,1,12:00 PM,High
Central Mississippi Riverfront Regional Park,42,1,02:00 PM,Medium
Central Mississippi Riverfront Regional Park,42,1,04:00 PM,High
Central Mississippi Riverfront Regional Park,42,1,06:00 PM,High
Central Mississippi Riverfront Regional Park,42,3,08:00 AM,Medium
Central Mississippi Riverfront Regional Park,42,3,10:00 AM,Medium
Central Mississippi Riverfront Regional Park,42,3,12:00 PM,High
Central Mississippi Riverfront Regional Park,42,3,02:00 PM,Medium
Central Mississippi Riverfront Regional Park,42,3,04:00 PM,Medium
Central Mississippi Riverfront Regional Park,42,3,06:00 PM,High
Central Mississippi Riverfront Regional Park,42,4,08:00 AM,Medium
Central Mississippi Riverfront Regional Park,42,4,10:00 AM,Medium
Central Mississippi Riverfront Regional Park,42,4,12:00 PM,High
Central Mississippi Riverfront Regional Park,42,4,02:00 PM,Medium
Central Mississippi Riverfront Regional Park,42,4,04:00 PM,High
Central Mississippi Riverfront Regional Park,42,4,06:00 PM,High
