Park_name,Park_id,Entrance,Start_time,Usage_class,Day_type
Battle Creek Regional Park,51,1,08:00 AM,Medium,Weekday
Battle Creek Regional Park,51,1,08:00 AM,Medium,Weekend_holiday
Battle Creek Regional Park,51,1,10:00 AM,Medium,Weekday
Battle Creek Regional Park,51,1,10:00 AM,High,Weekend_holiday
Battle Creek Regional Park,51,1,12:00 PM,Medium,Weekday
Battle Creek Regional Park,51,1,12:00 PM,Medium,Weekend_holiday
Battle Creek Regional Park,51,1,02:00 PM,Medium,Weekday
Battle Creek Regional Park,51,1,02:00 PM,Medium,Weekend_holiday
Battle Creek Regional Park,51,1,04:00 PM,High,Weekday
Battle Creek Regional Park,51,1,04:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,1,06:00 PM,High,Weekday
Battle Creek Regional Park,51,1,06:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,2,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,2,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,2,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,2,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,2,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,2,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,2,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,2,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,2,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,2,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,2,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,2,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,3,08:00 AM,Medium,Weekday
Battle Creek Regional Park,51,3,08:00 AM,Medium,Weekend_holiday
Battle Creek Regional Park,51,3,10:00 AM,Medium,Weekday
Battle Creek Regional Park,51,3,10:00 AM,High,Weekend_holiday
Battle Creek Regional Park,51,3,12:00 PM,Medium,Weekday
Battle Creek Regional Park,51,3,12:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,3,02:00 PM,Medium,Weekday
Battle Creek Regional Park,51,3,02:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,3,04:00 PM,High,Weekday
Battle Creek Regional Park,51,3,04:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,3,06:00 PM,High,Weekday
Battle Creek Regional Park,51,3,06:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,4,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,4,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,4,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,4,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,4,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,4,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,4,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,4,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,4,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,4,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,4,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,4,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,5,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,5,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,5,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,5,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,5,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,5,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,5,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,5,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,5,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,5,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,5,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,5,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,6,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,6,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,6,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,6,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,6,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,6,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,6,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,6,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,6,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,6,04:00 PM,Low,Weekend_holiday
