Park_name,Park_id,Entrance,Start_time,Usage_class
Scott County Regional Trail,38,1,08:00 AM,Medium
Scott County Regional Trail,38,1,10:00 AM,Medium
Scott County Regional Trail,38,1,12:00 PM,Medium
Scott County Regional Trail,38,1,02:00 PM,Medium
Scott County Regional Trail,38,1,04:00 PM,Medium
Scott County Regional Trail,38,1,06:00 PM,Medium
Scott County Regional Trail,38,2,08:00 AM,Low
Scott County Regional Trail,38,2,10:00 AM,Low
Scott County Regional Trail,38,2,12:00 PM,Low
Scott County Regional Trail,38,2,02:00 PM,Low
Scott County Regional Trail,38,2,04:00 PM,Low
Scott County Regional Trail,38,2,06:00 PM,Low
Scott County Regional Trail,38,3,08:00 AM,Low
Scott County Regional Trail,38,3,10:00 AM,Low
Scott County Regional Trail,38,3,12:00 PM,Low
Scott County Regional Trail,38,3,02:00 PM,Low
Scott County Regional Trail,38,3,04:00 PM,Low
Scott County Regional Trail,38,3,06:00 PM,Low
Scott County Regional Trail,38,4,08:00 AM,Medium
Scott County Regional Trail,38,4,10:00 AM,Medium
Scott County Regional Trail,38,4,12:00 PM,Medium
Scott County Regional Trail,38,4,02:00 PM,Medium
Scott County Regional Trail,38,4,04:00 PM,Medium
Scott County Regional Trail,38,4,06:00 PM,Medium
Scott County Regional Trail,38,5,08:00 AM,Medium
Scott County Regional Trail,38,5,10:00 AM,Medium
Scott County Regional Trail,38,5,12:00 PM,Medium
Scott County Regional Trail,38,5,02:00 PM,Medium
Scott County Regional Trail,38,5,04:00 PM,Medium
Scott County Regional Trail,38,5,06:00 PM,Medium
Scott County Regional Trail,38,6,08:00 AM,Medium
Scott County Regional Trail,38,6,10:00 AM,Medium
Scott County Regional Trail,38,6,12:00 PM,Medium
Scott County Regional Trail,38,6,02:00 PM,Medium
Scott County Regional Trail,38,6,04:00 PM,Medium
Scott County Regional Trail,38,6,06:00 PM,Medium
Scott County Regional Trail,38,7,08:00 AM,Medium
Scott County Regional Trail,38,7,10:00 AM,Medium
Scott County Regional Trail,38,7,12:00 PM,Medium
Scott County Regional Trail,38,7,02:00 PM,Medium
Scott County Regional Trail,38,7,04:00 PM,Medium
Scott County Regional Trail,38,7,06:00 PM,Medium
Scott County Regional Trail,38,8,08:00 AM,High
Scott County Regional Trail,38,8,10:00 AM,High
Scott County Regional Trail,38,8,12:00 PM,High
Scott County Regional Trail,38,8,02:00 PM,High
Scott County Regional Trail,38,8,04:00 PM,High
Scott County Regional Trail,38,8,06:00 PM,High
Scott County Regional Trail,38,9,08:00 AM,High
Scott County Regional Trail,38,9,10:00 AM,High
Scott County Regional Trail,38,9,12:00 PM,High
Scott County Regional Trail,38,9,02:00 PM,High
Scott County Regional Trail,38,9,04:00 PM,High
Scott County Regional Trail,38,9,06:00 PM,High
Scott County Regional Trail,38,10,08:00 AM,Low
Scott County Regional Trail,38,10,10:00 AM,Low
Scott County Regional Trail,38,10,12:00 PM,Low
Scott County Regional Trail,38,10,02:00 PM,Low
Scott County Regional Trail,38,10,04:00 PM,Low
Scott County Regional Trail,38,10,06:00 PM,Low
Scott County Regional Trail,38,11,08:00 AM,Medium
Scott County Regional Trail,38,11,10:00 AM,Medium
Scott County Regional Trail,38,11,12:00 PM,Medium
Scott County Regional Trail,38,11,02:00 PM,Medium
Scott County Regional Trail,38,11,04:00 PM,Medium
Scott County Regional Trail,38,11,06:00 PM,Medium
Scott County Regional Trail,38,12,08:00 AM,Low
Scott County Regional Trail,38,12,10:00 AM,Low
Scott County Regional Trail,38,12,12:00 PM,Low
Scott County Regional Trail,38,12,02:00 PM,Low
Scott County Regional Trail,38,12,04:00 PM,Low
Scott County Regional Trail,38,12,06:00 PM,Low
Scott County Regional Trail,38,13,08:00 AM,Low
Scott County Regional Trail,38,13,10:00 AM,Low
Scott County Regional Trail,38,13,12:00 PM,Low
Scott County Regional Trail,38,13,02:00 PM,Low
Scott County Regional Trail,38,13,04:00 PM,Low
Scott County Regional Trail,38,13,06:00 PM,Low
Scott County Regional Trail,38,14,08:00 AM,Low
Scott County Regional Trail,38,14,10:00 AM,Low
Scott County Regional Trail,38,14,12:00 PM,Low
Scott County Regional Trail,38,14,02:00 PM,Low
Scott County Regional Trail,38,14,04:00 PM,Low
Scott County Regional Trail,38,14,06:00 PM,Low
Scott County Regional Trail,38,15,08:00 AM,Medium
Scott County Regional Trail,38,15,10:00 AM,Medium
Scott County Regional Trail,38,15,12:00 PM,Medium
Scott County Regional Trail,38,15,02:00 PM,Medium
Scott County Regional Trail,38,15,04:00 PM,Medium
Scott County Regional Trail,38,15,06:00 PM,Medium
Scott County Regional Trail,38,16,08:00 AM,Low
Scott County Regional Trail,38,16,10:00 AM,Low
Scott County Regional Trail,38,16,12:00 PM,Low
Scott County Regional Trail,38,16,02:00 PM,Low
Scott County Regional Trail,38,16,04:00 PM,Low
Scott County Regional Trail,38,16,06:00 PM,Low
Scott County Regional Trail,38,17,08:00 AM,Low
Scott County Regional Trail,38,17,10:00 AM,Low
Scott County Regional Trail,38,17,12:00 PM,Low
Scott County Regional Trail,38,17,02:00 PM,Low
Scott County Regional Trail,38,17,04:00 PM,Low
Scott County Regional Trail,38,17,06:00 PM,Low
Scott County Regional Trail,38,18,08:00 AM,Medium
Scott County Regional Trail,38,18,10:00 AM,Medium
Scott County Regional Trail,38,18,12:00 PM,Medium
Scott County Regional Trail,38,18,02:00 PM,Medium
Scott County Regional Trail,38,18,04:00 PM,Medium
Scott County Regional Trail,38,18,06:00 PM,Medium
Scott County Regional Trail,38,19,08:00 AM,Medium
Scott County Regional Trail,38,19,10:00 AM,Medium
Scott County Regional Trail,38,19,12:00 PM,Medium
Scott County Regional Trail,38,19,02:00 PM,Medium
Scott County Regional Trail,38,19,04:00 PM,Medium
Scott County Regional Trail,38,19,06:00 PM,Medium
Scott County Regional Trail,38,20,08:00 AM,Low
Scott County Regional Trail,38,20,10:00 AM,Low
Scott County Regional Trail,38,20,12:00 PM,Low
Scott County Regional Trail,38,20,02:00 PM,Low
Scott County Regional Trail,38,20,04:00 PM,Low
