Park_name,Park_id,Entrance,Start_time,Usage_class
Bruce Vento Regional Trail,62,1,08:00 AM,High
Bruce Vento Regional Trail,62,1,10:00 AM,High
Bruce Vento Regional Trail,62,1,12:00 PM,High
Bruce Vento Regional Trail,62,1,02:00 PM,High
Bruce Vento Regional Trail,62,1,04:00 PM,High
Bruce Vento Regional Trail,62,1,06:00 PM,High
Bruce Vento Regional Trail,62,3,08:00 AM,Low
Bruce Vento Regional Trail,62,3,10:00 AM,Low
Bruce Vento Regional Trail,62,3,12:00 PM,Low
Bruce Vento Regional Trail,62,3,02:00 PM,Low
Bruce Vento Regional Trail,62,3,04:00 PM,Low
Bruce Vento Regional Trail,62,3,06:00 PM,Low
Bruce Vento Regional Trail,62,5,08:00 AM,Medium
Bruce Vento Regional Trail,62,5,10:00 AM,High
Bruce Vento Regional Trail,62,5,12:00 PM,High
Bruce Vento Regional Trail,62,5,02:00 PM,High
Bruce Vento Regional Trail,62,5,04:00 PM,High
Bruce Vento Regional Trail,62,5,06:00 PM,High
Bruce Vento Regional Trail,62,6,08:00 AM,Medium
Bruce Vento Regional Trail,62,6,10:00 AM,High
Bruce Vento Regional Trail,62,6,12:00 PM,High
Bruce Vento Regional Trail,62,6,02:00 PM,High
Bruce Vento Regional Trail,62,6,04:00 PM,High
Bruce Vento Regional Trail,62,6,06:00 PM,High
Bruce Vento Regional Trail,62,7,08:00 AM,Medium
Bruce Vento Regional Trail,62,7,10:00 AM,Low
Bruce Vento Regional Trail,62,7,12:00 PM,Low
Bruce Vento Regional Trail,62,7,02:00 PM,Low
Bruce Vento Regional Trail,62,7,04:00 PM,Medium
Bruce Vento Regional Trail,62,7,06:00 PM,Medium
Bruce Vento Regional Trail,62,8,08:00 AM,Medium
Bruce Vento Regional Trail,62,8,10:00 AM,High
Bruce Vento Regional Trail,62,8,12:00 PM,High
Bruce Vento Regional Trail,62,8,02:00 PM,High
Bruce Vento Regional Trail,62,8,04:00 PM,High
Bruce Vento Regional Trail,62,8,06:00 PM,High
Cherokee Heights Regional Park,63,1,08:00 AM,Medium
Cherokee Heights Regional Park,63,1,10:00 AM,Medium
Cherokee Heights Regional Park,63,1,12:00 PM,High
Cherokee Heights Regional Park,63,1,02:00 PM,High
Cherokee Heights Regional Park,63,1,04:00 PM,High
Cherokee Heights Regional Park,63,1,06:00 PM,Medium
Cherokee Heights Regional Park,63,2,08:00 AM,Medium
Cherokee Heights Regional Park,63,2,10:00 AM,Medium
Cherokee Heights Regional Park,63,2,12:00 PM,High
Cherokee Heights Regional Park,63,2,02:00 PM,High
Cherokee Heights Regional Park,63,2,04:00 PM,High
Cherokee Heights Regional Park,63,2,06:00 PM,Medium
Cherokee Heights Regional Park,63,3,08:00 AM,Low
Cherokee Heights Regional Park,63,3,10:00 AM,Low
Cherokee Heights Regional Park,63,3,12:00 PM,Low
Cherokee Heights Regional Park,63,3,02:00 PM,Low
