Park_name,Park_id,Entrance,Start_time,Usage_class
Baker Park Reserve,21,1,08:00 AM,High
Baker Park Reserve,21,1,10:00 AM,High
Baker Park Reserve,21,1,12:00 PM,High
Baker Park Reserve,21,1,02:00 PM,High
Baker Park Reserve,21,1,04:00 PM,High
Baker Park Reserve,21,1,06:00 PM,High
Baker Park Reserve,21,2,08:00 AM,Low
Baker Park Reserve,21,2,10:00 AM,Low
Baker Park Reserve,21,2,12:00 PM,Low
Baker Park Reserve,21,2,02:00 PM,Low
Baker Park Reserve,21,2,04:00 PM,Low
Baker Park Reserve,21,2,06:00 PM,Low
Baker Park Reserve,21,3,08:00 AM,Low
Baker Park Reserve,21,3,10:00 AM,Low
Baker Park Reserve,21,3,12:00 PM,Low
Baker Park Reserve,21,3,02:00 PM,Low
Baker Park Reserve,21,3,04:00 PM,Low
Baker Park Reserve,21,3,06:00 PM,Low
Baker Park Reserve,21,4,08:00 AM,Medium
Baker Park Reserve,21,4,10:00 AM,Medium
Baker Park Reserve,21,4,12:00 PM,Medium
Baker Park Reserve,21,4,02:00 PM,Medium
Baker Park Reserve,21,4,04:00 PM,Medium
Baker Park Reserve,21,4,06:00 PM,Medium
Baker Park Reserve,21,5,08:00 AM,Low
Baker Park Reserve,21,5,10:00 AM,Low
Baker Park Reserve,21,5,12:00 PM,Low
Baker Park Reserve,21,5,02:00 PM,Low
Baker Park Reserve,21,5,04:00 PM,Low
Baker Park Reserve,21,5,06:00 PM,Low
Baker Park Reserve,21,6,08:00 AM,Medium
Baker Park Reserve,21,6,10:00 AM,Medium
Baker Park Reserve,21,6,12:00 PM,Medium
Baker Park Reserve,21,6,02:00 PM,Medium
Baker Park Reserve,21,6,04:00 PM,Medium
Baker Park Reserve,21,6,06:00 PM,Medium
Baker Park Reserve,21,7,08:00 AM,Medium
Baker Park Reserve,21,7,10:00 AM,Medium
Baker Park Reserve,21,7,12:00 PM,Medium
Baker Park Reserve,21,7,02:00 PM,Medium
Baker Park Reserve,21,7,04:00 PM,Medium
Baker Park Reserve,21,7,06:00 PM,Medium
Baker Park Reserve,21,8,08:00 AM,Low
Baker Park Reserve,21,8,10:00 AM,Low
Baker Park Reserve,21,8,12:00 PM,Low
Baker Park Reserve,21,8,02:00 PM,Low
Baker Park Reserve,21,8,04:00 PM,Low
Baker Park Reserve,21,8,06:00 PM,Low
Baker Park Reserve,21,9,08:00 AM,Low
Baker Park Reserve,21,9,10:00 AM,Low
Baker Park Reserve,21,9,12:00 PM,Low
Baker Park Reserve,21,9,02:00 PM,Low
Baker Park Reserve,21,9,04:00 PM,Low
Baker Park Reserve,21,9,06:00 PM,Low
Baker Park Reserve,21,10,08:00 AM,Low
Baker Park Reserve,21,10,10:00 AM,Low
Baker Park Reserve,21,10,12:00 PM,Low
Baker Park Reserve,21,10,02:00 PM,Low
Baker Park Reserve,21,10,04:00 PM,Low
Baker Park Reserve,21,10,06:00 PM,Low
Baker Park Reserve,21,11,08:00 AM,Low
Baker Park Reserve,21,11,10:00 AM,Low
Baker Park Reserve,21,11,12:00 PM,Low
Baker Park Reserve,21,11,02:00 PM,Low
Baker Park Reserve,21,11,04:00 PM,Low
Baker Park Reserve,21,11,06:00 PM,Low
Baker Park Reserve,21,12,08:00 AM,Low
Baker Park Reserve,21,12,10:00 AM,Low
Baker Park Reserve,21,12,12:00 PM,Low
Baker Park Reserve,21,12,02:00 PM,Low
