Park_trail,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,1,2,3,4,5,6,,,,,,
1,2,,1,2,3,4,,7,,,,,8,,,,,,
1,3,5,6,7,8,9,10,,,,,,,,,,,,
1,4,,,,,,,9,10,11,12,13,14,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail:,,,,,,,,,,,,,,,,,,,
#7,,,,,,,,,,,,,,,,,,,
7,1,1,2,3,4,5,6,,,,,,,,,,,,
7,2,,,,,,,1,2,3,4,5,6,,,,,,
7,3,,,,,,,,,,,,,1,2,3,4,5,6
7,4,,,,,,,,,,,,,7,8,9,10,11,12
7,5,,,,,,,,,,,,,13,14,15,16,17,18
7,6,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,19,20,21,22,23,24
7,8,,,,,,,,,,,,,25,26,27,28,29,30
7,9,,,,,,,,,,,,,31,32,33,34,35,36
7,10,,,,,,,7,8,9,10,11,12,,,,,,
7,11,,,,,,,13,14,15,16,17,18,,,,,,
7,12,,,,,,,,,,,,,37,38,39,40,41,42
7,13,,,,,,,19,20,21,22,23,24,,,,,,
7,14,,,,,,,25,26,27,28,29,30,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,6,,,,,,30,,,,,,42
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
110,1,1,2,,,3,4,,,1,2,,,,,,,,
110,2,,,,,,,,,,,3,4,1,2,3,4,,
110,3,5,6,,,7,8,,,5,6,,,,,,,,
110,4,,,,,,,7,8,9,10,11,12,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,8,,,,,,12,,,,,,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
108,1,,,,,,,,,,,,,1,2,3,4,5,6
108,2,,,,,,,,,,,1,2,7,8,9,10,,
108,3,1,2,,,3,4,,,3,4,,,,,,,,
108,4,5,6,7,8,9,10,,,,,,,,,,,,
108,5,,,,,,,5,6,7,8,9,10,,,,,,
108,6,,,,,,,,,,,,,11,12,13,14,15,16
108,7,,,,,,,,,,,,,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,1,2,3,4,5,6
2,2,,,,,,,,,,,,,7,8,9,10,11,12
2,3,,,,,,,1,2,3,4,5,6,,,,,,
2,4,,,,,,,7,8,9,10,11,12,,,,,,
2,5,,,,,,,,,,,,,13,14,15,16,17,18
2,6,1,2,3,4,5,6,,,,,,,,,,,,
2,7,,,,,,,,,,,,,19,20,21,22,23,24
2,8,,,,,,,,,,,,,25,26,27,28,29,30
