Park:,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
11,,,,,,,,,,,,,,,,,,,
11,1,,1,2,3,4,,1,,,,,2,,,,,,
11,2,,,,,,,3,4,5,6,7,8,,,,,,
11,3,,,,,,,,,,,,,1,2,3,4,5,6
11,4,,,,,5,6,9,10,11,12,,,,,,,,
11,5,,,,,,,,,,,,,7,8,9,10,11,12
11,6,,,,,,,,,,,,,13,14,15,16,17,18
11,7,,,,,,,13,14,15,16,17,18,,,,,,
11,8,,,,,,,,,,,,,19,20,21,22,23,24
11,9,,,,,,,19,20,21,22,23,24,,,,,,
11,10,,,,,,,25,26,27,28,29,30,,,,,,
11,11,,,,,,,,,,,,,25,26,27,28,29,30
11,12,,,,,,,31,32,33,34,35,36,,,,,,
Multipliers,,,,,,,6,,,,,,36,,,,,,30
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,
140,1,,,,,,,,,1,2,,,1,2,,,3,4
140,2,,,,,,,,,,,,,5,6,7,8,9,10
140,3,,1,2,3,,,3,,,,4,5,,,,,,
140,4,4,5,6,7,8,9,,,,,,,,,,,,
140,5,,,,,,,,6,7,8,9,,11,,,,,12
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,9,,,,,,9,,,,,,12
