Park:,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
12,BAY,High,,,,,,Medium,,,,,,Low,,,,,
12,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
12,1,,1,2,3,4,,1,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,4,,,,,,2,,,,,,0
,,,,,,,,,,,,,,,,,,,
Park:,LAKE WACONIA,,,,,,,,,,,,,,,,,,
,LAW,High,,,,,,Medium,,,,,,Low,,,,,
,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
14,1,,,1,2,3,4,1,2,,,,,,,,,,
14,2,,,,,,,3,4,5,6,7,8,,,,,,
14,3,,,,,,,,,,,,,1,2,3,4,5,6
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,4,,,,,,8,,,,,,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,Entrance #,,,,,,,,,,,,,,,,,,
13,,High,,,,,,Medium,,,,,,Low,,,,,
13,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
13,1,1,,,2,3,4,,1,2,,,,,,,,,
13,2,,,,,,,,,,,,,1,2,3,4,5,6
13,3,,,,,,,,,,,,,7,8,9,10,11,12
Multipliers,,,,,,,4,,,,,,2,,,,,,12
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,SAMPLE CLASS CHANGE 2018,,,,,,,,,,,,
Trail: ,Entrance #,,,,,(NEW TRAIL added in 2011),,,,Do Not Pair it with Lake Minnewashta RP,,,,,,,,,
104,,High,,,,,,Medium,,,,,,Low,,,,,
104,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
104,1,,,,,,,1,2,3,4,5,6,,,,,,
104,2,1,2,3,4,5,6,,,,,,,,,,,,
104,3,,,,,,,,,,,,,1,2,3,4,5,6
104,4,,,,,,,,,,,,,7,8,9,10,11,12
104,5,7,8,9,10,11,12,,,,,,,,,,,,
104,6,,,,,,,7,8,9,10,11,12,,,,,,
104,7,13,14,15,16,17,18,,,,,,,,,,,,
104,8,19,20,21,22,23,24,,,,,,,,,,,,
104,9,,,,,,,13,14,15,16,17,18,,,,,,
104,10,25,26,27,28,29,30,,,,,,,,,,,,
104,11,,,,,,,,,,,,,13,14,15,16,17,18
104,12,,,,,,,19,20,21,22,23,24,,,,,,
104,13,,,,,,,,,,,,,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,30,,,,,,24,,,,,,24
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,SAMPLE CLASS CHANGE 2018,,,,,,,,,,,,
Trail: ,MINNESOTA RIVER BLUFFS LRT-CARVER CO.,,,,,,,,,,,,,,,,,,
113,,High,,,,,,Medium,,,,,,Low,,,,,
113,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
113,1,1,,,,2,3,,1,2,3,,,,,,,,
113,2,4,,,,5,6,,4,5,6,,,,,,,,
113,3,,,,,,,7,8,9,10,11,12,,,,,,
113,4,,,,,,,,,,,,,1,2,3,4,5,6
113,5,,,,,,,,,,,,,7,8,9,10,11,12
113,6,7,8,9,10,11,12,,,,,,,,,,,,
113,7,,,,,,,,,,,,,13,14,15,16,17,18
113,8,13,14,15,16,17,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,18,,,,,,12,,,,,,18
,,,,,,,,,,,,,,,,,,,
Trail: ,SOUTHWEST RT ,,,,,,,,,,,,,,,,,,
116,,High,,,,,,Medium,,,,,,Low,,,,,
116,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
116,1,1,,,,2,3,,,,,,,,1,2,3,,
116,2,4,,,,5,6,,,,,,,,4,5,6,,
116,3,7,,,,8,9,,,,,,,,7,8,9,,
116,4,,,,,,,,,,,,,10,11,12,13,14,15
