Trail:,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
15,,High,,,,,,Medium,,,,,,Low,,,,,
15,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
15,1,,,1,2,3,4,1,2,,,,,,,,,,
15,2,,,,5,6,7,,,3,,,,1,2,,,,
15,3,,,,8,9,10,,,4,,,,3,4,,,,
15,4,,,11,12,13,14,5,6,,,,,,,,,,
15,5,,,,,15,,,,7,8,,9,5,6,,,,
15,6,,,,,16,,,,10,11,,,7,8,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,16,,,,,,11,,,,,,8
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,LEBANON HILLS,,,,,,,,,,,,,,,,,,
17,,High,,,,,,Medium,,,,,,Low,,,,,
17,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
17,1,,1,2,3,4,,1,,,,,2,,,,,,
17,2,,,,,,,3,4,5,6,7,8,,,,,,
17,3,,,,,,,9,10,11,12,13,14,,,,,,
17,4,,,,,,,,,,,,,,,,,,
17,5,,,,,,,15,16,17,18,19,20,,,,,,
17,6,,,,5,6,7,21,22,23,,,,,,,,,
17,7,,,,,8,,27,,,28,,30,,1,2,,,
17,8,,,,,,,31,,,,32,33,,3,4,5,,
17,9,,,,,,,,,,,,34,6,7,8,9,10,
17,10,,,,,,,,,,,,35,11,12,13,14,15,
17,11,,,,,,,,,,,,36,16,17,18,19,20,
Multipliers,,,,,,,8,,,,,,36,,,,,,20
,,,,,,,,,,,,,,,,,,,
Park:,SPRING LAKE,,,,,,,,,,,,,,,,,,
20,,High,,,,,,Medium,,,,,,Low,,,,,
20,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
20,1,,1,2,3,4,,1,,,,,2,,,,,,
20,2,,,,,,,3,4,5,6,7,8,,,,,,
20,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,4,,,,,,8,,,,,,0
,,,,,,,,,,,,,,,,,,,
Park:,LAKE BYLLESBY,,,,,,,,,,,,,,,,,,
16,,High,,,,,,Medium,,,,,,Low,,,,,
16,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
16,1,,1,2,3,4,,1,,,,,2,,,,,,
16,2,,,,,,,3,4,5,6,7,8,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,4,,,,,,8,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,MIESVILLE RAVINE,,,,,,,,,,,,,,,,,,
,MIR,High,,,,,,Medium,,,,,,Low,,,,,
,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
18,1,,1,2,3,,,1,,,,2,3,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,3,,,,,,3,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail:,RIVER TO RIVER GREENWAY (FORMERLY NORTH URBAN--CHANGED 2016) ,,,,,,,,,,,,,,,,,,
,NURT,High,,,,,,Medium,,,,,,Low,,,,,
,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
95,1,,,,1,2,3,1,2,3,,,,,,,,,
95,2,,,,4,5,6,4,5,6,,,,,,,,,
95,3,,,,7,8,9,7,8,9,,,,,,,,,
95,4,,,,10,11,12,10,11,12,,,,,,,,,
95,5,,,,,,,,,,,13,14,1,2,3,4,,
95,6,,,,,,,,,,,15,16,5,6,7,8,,
95,7,,,,,,,,,,,17,18,9,10,11,12,,
95,8,,,,,,,,,,,19,20,13,14,15,16,,
95,9,,,,,,,,,,,,,17,18,19,20,21,22
95,10,,,,,13,,,,,21,,22,23,24,25,,,
95,11,,,,,,,,,,,,,26,27,28,29,30,31
95,12,,,,,,,,,,,,23,32,33,34,35,36,
95,13,,,,,14,,,,,24,,25,37,38,39,,,
95,14,,,,,,,,,,,,,40,41,42,43,44,45
95,15,,,,,,,,,,,,,46,47,48,49,50,51
95,16,,,,,,,,,,,,,52,53,54,55,56,57
95,17,,,,,,,,,,,,,58,59,60,61,62,63
95,18,,,,,,,,,,,,,64,65,66,67,68,69
95,19,,,,,15,16,,,26,27,,,70,71,,,,
95,20,,,,,,,,,,,,,72,73,74,75,76,77
95,21,,,,,,,,,28,29,30,31,78,79,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,16,,,,,,31,,,,,,79
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail:,MISSISSIPPI RIVER ,,,,,,,,,,,,,,,,,,
,MRD,High,,,,,,Medium,,,,,,Low,,,,,
,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
19,1,,,,,,,1,2,3,4,5,6,,,,,,
19,2,,,,1,2,3,7,8,9,,,,,,,,,
19,3,,,,4,5,6,10,11,12,,,,,,,,,
19,4,,,,7,8,9,13,14,15,,,,,,,,,
19,5,,,,10,11,12,16,17,18,,,,,,,,,
19,6,,,,,13,,,,19,20,,21,1,2,,,,
19,7,,,,,,,,,,,,22,3,4,5,6,7,
19,8,,,,,,,,,,,,23,8,9,10,11,12,
19,9,,,,,,,,,,,,24,13,14,15,16,17,
19,10,,,,,,,,,,,25,26,18,19,20,21,,
19,11,,,14,15,16,17,27,28,,,,,,,,,,
19,12,,,,,,,,,,,29,30,22,23,24,25,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,17,,,,,,30,,,,,,25
,,,,,,,,,,,,,,,,,,,
Park:,WHITETAIL WOODS,,,,,,,,,,,,,,,,,,
,,High,,,,,,Medium,,,,,,Low,,,,,
,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
118,1,,1,2,3,4,5,1,,,,,,,,,,,
118,2,,,,,,,2,3,4,5,6,7,,,,,,
118,3,,,,,,,,,,,,,1,2,3,4,5,6
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,5,,,,,,7,,,,,,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail,MINNESOTA RIVER GREENWAY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
