Park:,Entrance,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
58,1,,,,,1,2,1,,,,,,,1,2,3,,
58,2,,,,,,,,,,,,,4,5,6,7,8,9
58,3,,,,,,,,,,,,,,,,,,
58,4,,,,,,,,,,,,,10,11,12,13,14,15
58,5,,,,,,,,,,,,,16,17,18,19,20,21
58,6,,,,,,,,,,,,,22,23,24,25,26,27
58,7,,,,,3,,,,,,,2,28,29,30,31,,
58,8,,,,,,,,,,,3,,32,33,34,35,,36
58,9,,,,,,,,,,,,,37,38,39,40,41,42
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,3,,,,,,3,,,,,,42
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,WEEKDAY,,,,,,,,,,
,,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
59,1,,1,2,,3,,,,,1,,2,1,,,,,
59,2,,,,,,,3,,,,,4,,2,3,4,5,
59,3,,,,,,,,,,,,,6,7,8,9,10,11
59,4,,,,,,,,,,,,,12,13,14,15,16,17
59,5,,,,,,,,,,,,,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,3,,,,,,4,,,,,,23
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
