Park:,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
#58,KEL,High,,,,,,Medium,,,,,,Low,,,,,
,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
58,1,,,,,1,2,1,2,,,,,,,1,2,,
58,2,,,,,,,,,,,,,3,4,5,6,7,8
58,3,,,,,,,,,,,,,,,,,,
58,4,,,,,,,,3,,,4,5,9,,10,11,,
58,5,,,,,,,,6,,,,,12,,13,14,15,16
58,6,,,,,,,,7,,,,,17,,18,19,20,21
58,7,,3,4,5,6,,8,,,,,9,,,,,,
58,8,,,,,,,10,,,,,,,22,23,24,25,26
58,9,,,,,,,11,12,13,14,15,16,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,LONG LAKE,,sample class change 2018,,,,,,WEEKENDS,,,,,,,,,,
,LOL,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
59,1,,1,2,,3,,,,,1,,2,1,,,,,
59,2,,,,,,,3,4,,,5,,,,2,3,,4
59,3,,,,,,,,,,,,,5,6,7,8,9,10
59,4,,,,,,,,,,,,,11,12,13,14,15,16
59,5,,,,,,,,,,,,,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,3,,,,,,5,,,,,,22
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail:,Rice Creek North,,,Sample class change 2018,,,,,WEEKEND,,,,,,,,,,
,RNR,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
61,1,1,,,2,,,,1,2,,3,4,,,,,,
61,2,3,4,,5,6,,,,5,,,,,,,,,1
61,3,,,,,,,,,,,,,2,3,4,5,6,7
61,4,,,,,,,,,,,,,8,9,10,11,12,13
61,5,,,,,,,,,,,,,14,15,16,17,18,19
61,6,,,,,,,,,,,,,20,21,22,23,24,25
61,7,,,,,,,,,,,,,26,27,28,29,30,31
61,8,,,,,,,,,,,,,32,33,34,35,36,37
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,6,,,,,,5,,,,,,37
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail:,Rice Creek West,,sample class change 2018,,,,,,WEEKEND & WEEKDAYS,,,,,,,,,,
,RCR,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
60,1,1,2,3,4,5,6,,,,,,,,,,,,
60,2,,,,,,,,,,,,,1,2,3,4,5,6
60,3,,,,,,,1,2,3,4,5,6,,,,,,
60,4,,,,,,,7,8,9,10,11,12,,,,,,
60,5,,,,,,,13,14,15,16,17,18,,,,,,
60,6,,,,,,,,,,,,,7,8,9,10,11,12
60,7,,,,,,,19,20,21,22,23,24,,,,,,
60,8,,,,,,,,,,,,,13,14,15,16,17,18
60,9,,,,,,,,,,,,,19,20,21,22,23,24
60,10,,,,,,,,,,,,,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,6,,,,,,24,,,,,,30
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,BATTLE CREEK,,,Sample class change 2018,,,,,WEEKEND,,,,,,,,,,
,BAC,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
51,1,,1,,,2,3,1,,2,3,,,,,,,,
51,2,,,,,,,,,,,,,1,2,3,4,5,6
51,3,,4,5,6,7,8,4,,,,,,,,,,,
51,4,,,,,,,,,,,,,7,8,9,10,11,12
51,5,,,,,,,,,,,,,13,14,15,16,17,18
51,6,,,,,,,,,,,,,19,20,21,22,23,24
51,7,,,,,,,,,,,,,25,26,27,28,29,30
51,8,,,,,,,,,,,,,31,32,33,34,35,36
51,9,,,,,,,,,,,,,37,38,39,40,41,42
51,10,9,10,11,12,13,14,,,,,,,,,,,,
51,11,,,,,,,,,,,,,43,44,45,46,47,48
51,12,,,,,,,,,,,,,49,50,51,52,53,54
51,13,,,,,,,,,,,,,55,56,57,58,59,60
51,14,,,,,,,,,,,,,61,62,63,64,65,66
51,15,,,,,,,,,,,,,67,68,69,70,71,72
51,16,,,,,,,,,,,,,73,74,75,76,77,78
51,17,,,,,,,,,,,,,79,80,81,82,83,84
51,18,,,,,,,,,,,,,85,86,87,88,89,90
51,19,,,,,,,,,,,,,91,92,93,94,95,96
51,20,,,,,,,,,,,,,97,98,99,100,101,102
51,21,,,,,,,,,,,,,103,104,105,106,107,108
51,22,,,,,,,,,,,,,109,110,111,112,113,114
51,23,,,,,,,,,,,,,115,116,117,118,119,120
51,24,,,,,,,,,,,,,121,122,123,124,125,126
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,14,,,,,,4,,,,,,126
