Park:,INDIAN MOUNDS,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
,INM,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
67,1,,,1,2,3,,,1,,,,2,1,,,,,
67,2,,,,,,,,,3,4,5,,2,3,,,,4
67,3,,,,,,,,,,,,,5,6,7,8,9,10
67,4,,,4,5,6,,,6,,,,7,11,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,6,,,,,,7,,,,,,11
,,,,,,,,,,,,,,,,,,,
Trail:,SAM MORGAN RT,,,,,,,,,,,,,,,,,,
,MRS,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
69,1,,,1,2,3,4,1,2,,,,,,,,,,
69,2,,,5,6,7,8,3,4,,,,,,,,,,
69,3,,,,,,,5,6,7,8,9,10,,,,,,
69,4,,,,,,,,,,,,,1,2,3,4,5,6
69,5,,,,,,,,,,,,,7,8,9,10,11,12
69,6,,,9,10,11,12,11,12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,12,,,,,,12,,,,,,12
,,,,,,,,,,,,,,,,,,,
Trail:,BRUCE VENTO RT,,,,,,,,,,,,,,,,,,
,BNS,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
62,1,1,2,3,4,5,6,,,,,,,,,,,,
62,2,,,,,,,,,,,,,,,,,,
62,3,,,,,,,,,,,,,1,2,3,4,5,6
62,4,,,,,,,,,,,,,,,,,,
62,5,,7,8,9,10,11,1,,,,,,,,,,,
62,6,,12,13,14,15,16,2,,,,,,,,,,,
62,7,,,,,,,3,,,,4,5,,7,8,9,,
62,8,,17,18,19,20,21,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,changed in 2008,,,,,,21,,,,,,6,,,,,,9
,,,,,,,,,,,,,,,,,,,
Park:,PHALEN,,,,,,,,,,,,,,,,,,
,PHA,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
70,1,,,1,2,3,4,1,2,,,,,,,,,,
70,2,,,,,,,,,,,,,1,2,3,4,5,6
70,3,,,5,6,7,8,3,4,,,,,,,,,,
70,4,,,,,,,,,,,,,7,8,9,10,11,12
70,5,,,,,,,,,,,,,13,14,15,16,17,18
70,6,,,9,10,11,12,5,6,,,,,,,,,,
70,7,,,,,,,,,,,,,19,20,21,22,23,24
70,8,,,13,14,15,16,7,8,,,,,,,,,,
70,9,,,17,18,19,20,9,10,,,,,,,,,,
70,10,,,21,22,23,24,11,12,,,,,,,,,,
70,11,,,25,26,27,28,13,14,,,,,,,,,,
70,12,,,,,,,,,,,,,25,26,27,28,29,30
70,13,,,,,,,,,15,16,,,31,32,,,33,34
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,28,,,,,,16,,,,,,34
,,,,,,,,,,,,,,,,,,,
Park:,HIDDEN FALLS-CROSBY,,,,,,,,,,,,,,,,,,
,HFC,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
66,1,,,1,2,,,,1,,,2,,1,,,,,2
66,2,,,3,4,,,,3,,,4,,3,,,,,4
66,3,,,5,6,,,,5,,,6,,5,,,,,6
66,4,,,7,8,9,,7,8,,,,9,,,,,,
66,5,,,,,,,,,,,,,7,8,9,10,11,12
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,9,,,,,,9,,,,,,12
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,MISSISSIPPI GORGE,,,,,,,,,,,,,,,,,,
,MGS,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
68,1,,,1,2,3,4,1,2,,,,,,,,,,
68,2,,,,,,,,,3,4,5,6,1,2,,,,
68,3,,,,,,,,,7,8,9,10,3,4,,,,
68,4,,,,,,,,,,,,,5,6,7,8,9,10
68,5,,,5,6,7,8,11,12,,,,,,,,,,
68,6,,,9,10,11,12,13,14,,,,,,,,,,
68,7,,,,,,,,,,,,,11,12,13,14,15,16
68,8,,,,,,,,,,,,,17,18,19,20,21,22
68,9,,,,,,,,,,,,,23,24,25,26,27,28
68,10,,,,,,,,,15,16,17,18,29,30,,,,
68,11,,,,,,,,,,,,,31,32,33,34,35,36
68,12,,,,,,,,,19,20,21,22,37,38,,,,
68,13,,,13,14,15,16,23,24,,,,,,,,,,
68,14,,,,,,,,,25,26,27,28,39,40,,,,
68,15,,,,,,,,,,,,,41,42,43,44,45,46
68,16,,,,,,,,,,,,,47,48,49,50,51,52
68,17,,,,,,,,,,,,,53,54,55,56,57,58
68,18,,,,,,,,,29,30,31,32,59,60,,,,
68,19,,,,,,,,,33,34,35,36,61,62,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,16,,,,,,36,,,,,,62
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,CHEROKEE HEIGHTS,,,,,,,,,,,,,,,,,,
,CHH,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
63,1,,,1,2,3,,1,2,,,,3,,,,,,
63,2,,,4,5,6,,4,5,,,,6,,,,,,
63,3,,,,,,,,,,,,,1,2,3,4,5,6
63,4,,7,8,9,10,11,7,,,,,,,,,,,
63,5,,,12,13,14,15,8,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,15,,,,,,9,,,,,,6
,,,,,,,,,,,,,,,,,,,
Park:,HARRIET ISLAND,,,,,,,,,,,,,,,,,,
,HAI,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
65,1,,1,2,3,4,,,,,,,1,1,,,,,
65,2,,5,6,7,8,,,,,,,2,2,,,,,
65,3,,,,,,,,,,,,,3,4,5,6,7,8
65,4,,,,,,,,,,,,,9,10,11,12,13,14
65,5,,,,,,,,,3,4,5,,15,16,,,,17
65,6,,,,,,,,,,,,,,,,,,
65,7,,,,,,,,,,,,,18,19,20,21,22,23
65,8,,,,,,,,6,7,8,9,10,24,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,8,,,,,,10,,,,,,24
,,,,,,,,,,,,,,,,,,,
Park:,COMO,,,,,,,,,,,,,,,,,,
,COM,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
64,1,,,,,,,,,1,2,3,4,1,2,,,,
64,2,,,,,,,,,5,6,7,8,3,4,,,,
64,3,,,,,,,,,9,10,11,12,5,6,,,,
64,4,,,,,,,,,,,,,,,,,,
64,5,,,,,,,,,,,,,7,8,9,10,11,12
64,6,,,,,,,,,13,14,,,1,2,,,3,4
64,7,,,,,,,,,15,16,,,5,6,,,7,8
64,8,,,1,2,,,17,18,,,19,20,,,,,,
64,9,,,3,4,,,21,22,,,23,24,,,,,,
64,10,,5,6,7,,,25,,,,26,27,,,,,,
64,11,,,,,,,,,,,,,,,,,,
64,12,,,,,,,,,,,,,,,,,,
64,13,,,8,9,,,28,29,,,30,31,,,,,,
64,14,,10,11,12,,,32,,,,33,34,,,,,,
64,15,,,,,,,,,,,,,,,,,,
64,16,,13,14,15,,,35,,,,36,37,,,,,,
64,17,,16,17,18,,,38,,,,39,40,,,,,,
64,18,,,19,20,,,41,42,,,43,44,,,,,,
64,19,,,21,22,,,45,46,,,47,48,,,,,,
64,20,,23,24,25,,,49,,,,50,51,,,,,,
64,21,,26,27,28,,,52,,,,53,54,,,,,,
64,22,,29,30,31,,,55,,,,56,57,,,,,,
64,23,,,32,33,34,35,58,59,,,,,,,,,,
64,24,,,36,37,,,60,61,,,62,63,,,,,,
64,25,,,,,,,,,,,,,,,,,,
64,26,,38,39,40,,,64,,,,65,66,,,,,,
64,27,,41,42,43,,,67,,,,68,69,,,,,,
,,,,,,,,,,,,,,,,,,,
Multipliers,,,,,,,43,,,,,,69,,,,,,20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,TROUT BROOK REGIONAL TRAIL  ,,,,,,,,,,,,,,,,,,
,HFC,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
130,1,1,2,3,4,5,6,,,,,,,,,,,,
130,2,,,,,,,1,2,3,4,5,6,,,,,,
130,3,,,,,,,,,,,,,1,2,3,4,5,6
