Trail:,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
,SCT,High,,,,,,Medium,,,,,,Low,,,,,
,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
38,1,,,,,,,1,2,3,4,5,6,,,,,,
38,2,,,,,,,,,,,,,1,2,3,4,5,6
38,3,,,,,,,,,,,,,7,8,9,10,11,12
38,4,,,,,,,7,8,9,10,11,12,,,,,,
38,5,,,,,,,13,14,15,16,17,18,,,,,,
38,6,,,,,,,19,20,21,22,23,24,,,,,,
38,7,,,,,,,25,26,27,28,29,30,,,,,,
38,8,1,2,3,4,5,6,,,,,,,,,,,,
38,9,7,8,9,10,11,12,,,,,,,,,,,,
38,10,,,,,,,,,,,,,13,14,15,16,17,18
38,11,,,,,,,31,32,33,34,35,36,,,,,,
38,12,,,,,,,,,,,,,19,20,21,22,23,24
38,13,,,,,,,,,,,,,25,26,27,28,29,30
38,14,,,,,,,,,,,,,31,32,33,34,35,36
38,15,,,,,,,37,38,39,40,41,42,,,,,,
38,16,,,,,,,,,,,,,37,38,39,40,41,42
38,17,,,,,,,,,,,,,43,44,45,46,47,48
38,18,,,,,,,43,44,45,46,47,48,,,,,,
38,19,,,,,,,49,50,51,52,53,54,,,,,,
38,20,,,,,,,,,,,,,49,50,51,52,53,54
38,21,,,,,,,,,,,,,55,56,57,58,59,60
38,22,,,,,,,,,,,,,61,62,63,64,65,66
38,23,,,,,,,,,,,,,67,68,69,70,71,72
38,24,,,,,,,,,,,,,73,74,75,76,77,78
38,25,,,,,,,55,56,57,58,59,60,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,12,,,,,,60,,,,,,78,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,SPRING LAKE RP,,,,,,,,,,,,,,,,,,
,,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
114,1,1,2,3,4,5,6,,,,,,,,,,,,
114,2,,,,,,,1,2,3,4,5,6,,,,,,
114,3,,,,,,,,,,,,,1,2,3,4,5,6
114,4,,,,,,,7,8,8,10,11,12,,,,,,
114,5,,,,,,,,,,,,,,,,,,
114,6,,,,,,,13,14,15,16,17,18,,,,,,
114,7,,,,,,,19,20,21,22,23,24,,,,,,
114,8,,,,,,,,,,,,,7,8,9,10,11,12
Multipliers,,,,,,0,,,,,,24,,,,,,12,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,CEDAR LAKE FARM,,sample class change 2018,,,,,,,,,,,,,,,,
,CLF,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
102,1,1,2,3,4,5,6,,,,,,,,,,,,
102,2,,,,,,,,,,,,,1,2,3,4,5,6
