Park:,Entrance #,High 8-10,High 10-12,High 12-2,High 2-4,High 4-6,High 6-8,Medium 8-10,Medium 10-12,Medium 12-2,Medium 2-4,Medium 4-6,Medium 6-8,Low 8-10,Low 10-12,Low 12-2,Low 2-4,Low 4-6,Low 6-8
,LAE,High,,,,,,Medium,,,,,,Low,,,,,
,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
72,1,,1,2,3,4,,1,,,,,2,,,,,,
Multipliers,,,,,,,4,,,,,,2,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,SQUARE LAKE,,,,,,,,,,,,,,,,,,
,SQL,High,,,,,,Medium,,,,,,Low,,,,,
Entrance #,,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
74,1,,1,2,3,4,,1,,,,,2,,,,,,
Multipliers,,,,,,,4,,,,,,2,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Park:,COTTAGE GROVE RAVINE,,,,SAMPLE CLASS CHANGE 2018,,,,,,,,,,,,,,
,CGR,High,,,,,,Medium,,,,,,Low,,,,,
,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
71,1,,1,2,3,,,1,,,,2,3,,,,,,
71,2,,,,,,,,,,,,,1,2,3,4,5,6
Multipliers,,,,,,,3,,,,,,3,,,,,,6
,,,,,,,,,,,,,,,,,,,
Park:,ST. CROIX BLUFFS,,,,,,,,,,,,,,,,,,
,SCB,High,,,,,,Medium,,,,,,Low,,,,,
,Entrance #,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun,10-Aug,12-Oct,2-Dec,4-Feb,6-Apr,8-Jun
73,1,,1,2,3,,,1,,,,2,3,,,,,,
Multipliers,,,,,,,3,,,,,,3,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trail:,Hardwood Creek Trail,,,,,,SAMPLE CLASS CHANGE 2018,,,,,,,,,,,,
,HCT,High,,,,,,Medium,,,,,,Low,,,,,
