Park_trail,Entrance,Usage_class,Start_time,Day_type
1,3,High,800,Weekend_holiday
1,3,High,800,Weekday
7,1,High,800,Weekend_holiday
7,1,High,800,Weekday
110,1,High,800,Weekend_holiday
110,1,High,800,Weekday
110,3,High,800,Weekend_holiday
110,3,High,800,Weekday
108,3,High,800,Weekend_holiday
108,3,High,800,Weekday
108,4,High,800,Weekend_holiday
108,4,High,800,Weekday
2,6,High,800,Weekend_holiday
2,6,High,800,Weekday
107,1,High,800,Weekend_holiday
107,1,High,800,Weekday
107,2,High,800,Weekend_holiday
107,2,High,800,Weekday
3,1,High,800,Weekend_holiday
3,1,High,800,Weekday
3,4,High,800,Weekend_holiday
3,4,High,800,Weekday
4,1,High,800,Weekend_holiday
4,1,High,800,Weekday
10,1,High,800,Weekend_holiday
10,1,High,800,Weekday
9,2,High,800,Weekend_holiday
9,2,High,800,Weekday
9,3,High,800,Weekend_holiday
9,3,High,800,Weekday
8,1,High,800,Weekend_holiday
8,1,High,800,Weekday
8,2,High,800,Weekend_holiday
8,2,High,800,Weekday
8,11,High,800,Weekend_holiday
8,11,High,800,Weekday
8,12,High,800,Weekend_holiday
8,12,High,800,Weekday
5,2,High,800,Weekend_holiday
5,2,High,800,Weekday
5,3,High,800,Weekend_holiday
5,3,High,800,Weekday
112,1,High,800,Weekend_holiday
112,1,High,800,Weekday
1,2,High,1000,Weekend_holiday
1,2,High,1000,Weekday
1,3,High,1000,Weekend_holiday
1,3,High,1000,Weekday
7,1,High,1000,Weekend_holiday
7,1,High,1000,Weekday
110,1,High,1000,Weekend_holiday
110,1,High,1000,Weekday
110,3,High,1000,Weekend_holiday
110,3,High,1000,Weekday
108,3,High,1000,Weekend_holiday
108,3,High,1000,Weekday
108,4,High,1000,Weekend_holiday
108,4,High,1000,Weekday
2,6,High,1000,Weekend_holiday
2,6,High,1000,Weekday
107,1,High,1000,Weekend_holiday
107,1,High,1000,Weekday
107,2,High,1000,Weekend_holiday
107,2,High,1000,Weekday
3,1,High,1000,Weekend_holiday
3,1,High,1000,Weekday
3,4,High,1000,Weekend_holiday
3,4,High,1000,Weekday
4,1,High,1000,Weekend_holiday
4,1,High,1000,Weekday
10,1,High,1000,Weekend_holiday
10,1,High,1000,Weekday
9,2,High,1000,Weekend_holiday
9,2,High,1000,Weekday
9,3,High,1000,Weekend_holiday
9,3,High,1000,Weekday
8,1,High,1000,Weekend_holiday
8,1,High,1000,Weekday
8,2,High,1000,Weekend_holiday
8,2,High,1000,Weekday
8,11,High,1000,Weekend_holiday
8,11,High,1000,Weekday
8,12,High,1000,Weekend_holiday
8,12,High,1000,Weekday
5,2,High,1000,Weekend_holiday
5,2,High,1000,Weekday
5,3,High,1000,Weekend_holiday
5,3,High,1000,Weekday
112,1,High,1000,Weekend_holiday
112,1,High,1000,Weekday
1,2,High,1200,Weekend_holiday
1,2,High,1200,Weekday
1,3,High,1200,Weekend_holiday
1,3,High,1200,Weekday
7,1,High,1200,Weekend_holiday
7,1,High,1200,Weekday
108,4,High,1200,Weekend_holiday
108,4,High,1200,Weekday
2,6,High,1200,Weekend_holiday
2,6,High,1200,Weekday
107,1,High,1200,Weekend_holiday
107,1,High,1200,Weekday
107,2,High,1200,Weekend_holiday
107,2,High,1200,Weekday
107,5,High,1200,Weekend_holiday
107,5,High,1200,Weekday
3,1,High,1200,Weekend_holiday
3,1,High,1200,Weekday
3,4,High,1200,Weekend_holiday
3,4,High,1200,Weekday
4,1,High,1200,Weekend_holiday
4,1,High,1200,Weekday
10,1,High,1200,Weekend_holiday
10,1,High,1200,Weekday
9,2,High,1200,Weekend_holiday
9,2,High,1200,Weekday
9,3,High,1200,Weekend_holiday
9,3,High,1200,Weekday
8,1,High,1200,Weekend_holiday
8,1,High,1200,Weekday
8,2,High,1200,Weekend_holiday
8,2,High,1200,Weekday
8,11,High,1200,Weekend_holiday
8,11,High,1200,Weekday
8,12,High,1200,Weekend_holiday
8,12,High,1200,Weekday
5,2,High,1200,Weekend_holiday
5,2,High,1200,Weekday
5,3,High,1200,Weekend_holiday
5,3,High,1200,Weekday
112,1,High,1200,Weekend_holiday
112,1,High,1200,Weekday
1,2,High,1400,Weekend_holiday
1,2,High,1400,Weekday
1,3,High,1400,Weekend_holiday
1,3,High,1400,Weekday
7,1,High,1400,Weekend_holiday
7,1,High,1400,Weekday
108,4,High,1400,Weekend_holiday
