Agency_name,Agency_id,Park_name,Park_trail_id,Entrance_id,Start_time,Day_type,Usage_class
Anoka County,1,Anoka County Riverfront Regional Park,1,1,8:00 AM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,8:00 AM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,10:00 AM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,10:00 AM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,12:00 PM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,12:00 PM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,2:00 PM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,2:00 PM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,4:00 PM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,4:00 PM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,6:00 PM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,1,6:00 PM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,2,8:00 AM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,2,8:00 AM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,2,10:00 AM,Weekend_holiday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,10:00 AM,Weekday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,12:00 PM,Weekend_holiday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,12:00 PM,Weekday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,2:00 PM,Weekend_holiday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,2:00 PM,Weekday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,4:00 PM,Weekend_holiday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,4:00 PM,Weekday,High
Anoka County,1,Anoka County Riverfront Regional Park,1,2,6:00 PM,Weekend_holiday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,2,6:00 PM,Weekday,Medium
Anoka County,1,Anoka County Riverfront Regional Park,1,3,8:00 AM,Weekend_holiday,High
