Agency_id,Park_trail_id,Entrance_id,Entrance_name
1,1,1,Islands of Peace Visitor Center
1,1,2,Main Entrance
1,1,3,Bike/hike trail at south end of park
1,1,4,Bike/hike trail at north end of park
1,2,1,Activity Center Lot
1,2,2,Parking lot at junction of Parkway A and campground road
1,2,3,South gatehouse
1,2,4,North gatehouse
1,2,5,Trail access off Prairie Road
1,2,6,Dog Park Complex (13315 Hanson Boulevard)
1,2,7,Blaine High School - near north parking lot
1,2,8,Bunker Lake Boulevard Tunnel Entrance
1,2,9,Access road entrance to picnic areas/overflow beach parking/Veterans Memorial
1,110,1,Lakeside Commons Park - City of Blaine
1,110,2,Blaine High School - behind football bleachers
1,110,3,Aqua Lane - behind Townhomes on north side of Aqua Lane
1,110,4,Elm Street near Centennial School
1,75,1,Coon Creek Boulevard/Bunker Lake Boulevard
1,75,2,Meadow Creek Church/Bunker Lake Boulevard
1,75,3,Highway 47/Bunker Lake Boulevard
1,75,4,Bunker Lake Boulevard/Sunfish Lake Boulevard
1,75,5,County Road 14 and 21st Avenue
1,107,1,Holiday Gas Station parking lot
1,107,2,Al Flynn Park - City of Coon Rapids
1,107,3,South of the intersection of 118th Avenue and Xeon Street
1,107,4,Sand Creek Drive and Olive Street
1,107,5,Foley Boulevard/Goldenrod Street
1,107,6,Foley Boulevard/121st
1,107,7,Foley Boulevard/123rd
1,107,8,Egret and Robinson
1,107,9,Meadow Lake Drive and Robinson
1,3,1,Main Entrance
1,3,3,Trail access at 86th Avenue and Mississippi River Boulevard
1,3,4,West end of Coon Rapids Dam Powerhouse
1,3,5,Egret and 99th
1,3,6,Mississippi Boulevard and Uplander Street
1,108,1,Lexington Avenue/121st Avenue Northeast
1,108,2,Lexington Avenue/Ball Road
1,108,3,Lexington Avenue/87th Avenue
1,108,4,Lexington Avenue/Lake Drive (County Road 23)
1,108,5,Lexington Avenue/North road
1,108,6,West Road and Village Parkway
1,108,7,Lexington Avenue and Woodland Road
1,4,1,Main Gate
1,4,3,East Trail Entrance
1,4,4,South Trail Entrance off of 216th
1,4,5,North Trail Entrance on 221st
1,5,1,Picnic Area
1,5,2,Boat Launch (Martin Lake)
1,5,3,Boat Launch (Linwood Lake)
1,5,4,Beach and trail at Island Lake
1,6,1,Trail access at 86th Avenue and Mississippi River Boulevard
1,6,2,Trail access at Riverview Heights Park in Fridley
1,6,3,Trail access at Island of Peace Visitor Center (Minnesota Recreation and Parks Association Headquarters)
1,6,4,Trail access on north side of I-694 bridge in Anoka County Riverfront Regional Park
1,6,5,East River Road/Hartman
1,6,6,Coon Rapids Boulevard and Mississippi Boulevard
1,6,7,East River Road and Osborne Road Northeast
1,6,8,East River Road (Coon Rapids Bouleavard) and 7th Avenue
1,6,9,Ferry Street and Benton Street
1,6,10,Mississippi River Community Park
1,6,11,Robinson Drive Northwest and Creek Meadow Drive Northwest
1,112,1,Boat Launch
1,112,2,Riverdale Drive Northwest and Ramsey Boulevard
1,8,1,Main Entrance
1,8,2,Peltier Access
1,8,5,Aqua Lane/Lake Drive
1,8,6,LaMotte Park
1,8,7,West Shadow Lake Drive
1,8,9,YMCA - Lino Lakes
1,8,10,Burch and West Shadow Lake Drive (where Rice Creek North Regional Trail enters the Park Reserve)
1,8,11,Centerville Boat Launch
1,8,12,Rice Creek Chain of Lakes Park Reserve Beach
1,9,1,County Road J/Lexington Avenue
1,9,2,Golden Lake Elementary School
1,9,3,City Park
1,9,4,Rice Lake Elementary School
1,9,6,Baldwin City Park
1,9,7,Robinhood Lane
1,7,1,Fridley Community Park
1,7,2,69th and University
1,7,3,Former Columbia Arena
1,7,4,Monroe Street
1,7,5,Highway 65
1,7,7,Old Central Avenue (County Road 35) and 69th Avenue Northeast
1,7,8,Parking Lot (69th Avenue Northeast)
1,7,9,Anoka Street North
1,7,10,Stinson Boulevard
1,7,11,Locke Park - Pavilion 1
1,7,12,Locke Park - Pavilion 2
1,7,13,East River Road/Hartman Circle
1,7,14,Banfill Locke Center for the Arts Parking Lot
1,10,1,Park Entrance
1,109,1,Rum River North Count Park - Pavilion 2 Parking Lot
1,109,2,Anoka High School - Parking lot next to the track
1,109,3,Northstar Commuter Lot - Johnson Street and 4th Avenue
1,109,4,City Hall - City of Anoka
1,109,5,Rum River Trail/The Ponds Golf Course
2,11,1,Bush Lake Beach
2,11,2,West Bush Lake - North
2,11,3,9148 West Bush Lake Road
2,11,4,Chalet Road Parking Area
2,11,5,West 85th Street Parking Lot
2,11,6,West 84th Street (opposite Normandale Office Park)
2,11,7,Normandale Road Bridge
2,11,8,Sandro Road/Normandale Lake Drive
2,11,9,West Bush Lake - South
2,11,10,East Bush Lake Road and 86th Street
2,11,11,Oregon Avenue South and East Bush Lake Road
2,12,1,East 84th Street/Old Cedar Avenue
2,12,2,Old Cedar Avenue/Old Shakopee Road
2,12,3,American Boulevard/12th Avenue
2,12,4,American Boulevard/Old Cedar Avenue
2,12,5,Easth 86th Street/Old Cedar Avenue
3,13,1,Main Entrance
3,13,2,Paved Multi-Use Trail
3,14,1,Main Entrance
3,14,2,Old Beach Road Lane Entrance
3,14,3,Informal Use Area Entrance
3,12,1,Main Entrance
3,104,1,Hidden Crossing Road Intersection
3,104,2,Mayer Trailhead at Trunk Highway 25 and County Road 30
3,104,3,Quartz Avenue Intersectoin
3,104,4,Goose Lake Drive Intersection
3,104,5,Highway 10 Trailhead/Intersection
3,104,6,North Shore Road #1 Intersection
3,104,7,North shore Road #2 Intersection ('S' in road)
3,104,8,County Road 155/Hennepin County Line Intersection
3,104,9,Adams Avenue South and County Road 30
3,104,10,New Germany Trailhead at County Road 33 and County Road 30
3,104,11,Union Avenue
3,104,12,Yale Avenue
3,104,13,Carver County and McLeod County Line
3,104,14,Intersection of Carver County and McLeod County lines (black top turns to gravel)
3,104,15,West
3,113,1,Athletic Park Trailhead in Chaska
3,113,2,Depot Park Trailhead in Carver
3,113,3,Ash Street in Downtown Carver
3,113,4,Main Street/County Road 40 in Southwest side of Carver proper/outskirts of town
3,113,5,Main Street East in Downtown Carver and Pedestrian Access Exchange between trail bridge overpass and roadway
3,113,6,Broadway Street/1st Street in Downtown Carver
3,113,7,Jorgerson Street/Levy Trail in Downtown Carver
3,113,8,Intersection or entry point of the Minnesota River Bluffs Regional Trail and Bluff Creek Drive
3,116,1,Kirchlachen Park in Victoria
3,116,2,Southwest Regional Trail/Lake Minnetonka LRT Regional Trail Trailhead facility in Victoria
3,116,3,Intersection of Engler Boulevard (Highway 10) and Audubon Road (Highway 15)
3,116,4,Intersection or entry point of the Minnesota River Bluffs Regional Trail and Flying Cloud Drive (County Road 61)
4,15,1,WPA Overlook
4,15,2,D Street in Mendota Heights and BRRT Intersection
4,15,3,Lilydale Yacht Club/BRRT Trailhead
4,15,4,Highway 13 and 494
4,15,5,Pilot Knob Entrance
4,15,6,Highway 55 Underpass
4,16,1,Beach/Non-Motorized Boat Launch
4,16,2,General Park Use Lot/Motorized Boat Launch Parking Lot
4,17,1,Visitor Center/Beach
4,17,2,Holland Lake
4,17,3,Jensen Lake
4,17,5,Horse Trailer Lot
4,17,6,West Trailhead
4,17,7,Galaxie Avenue
4,17,8,Sherwood Way
4,17,9,Parkridge Drive West
4,17,10,Parkridge Drive East
4,17,11,Dodd Road
4,18,1,Picnic/Canoe Launch
4,19,1,"Kaposia Landing, MRRT Trail Entrance"
4,19,2,DNR Boat Landing/Trail Access Parking Lot
