Park,ppb_multiplier,ppv_multiplier
1,26.3,2.67
10,26.3,2.67
100,0,0
101,0,0
102,39.73,2.22
103,0,0
104,0,0
105,39.73,2.75
107,0,0
108,0,0
109,0,0
11,72,2.93
110,0,0
111,0,0
112,26.3,2.67
113,0,0
114,39.73,2.22
115,0,0
117,39.73,2.22
118,60,2.69
12,59.42,2.99
121,0,0
124,0,0
13,59.42,2.99
130,0,0
131,0,0
132,0,0
135,10,2.52
137,0,0
14,59.42,2.99
15,1,1.62
16,60,2.69
17,60,2.69
18,25,2.69
19,0,0
2,22,2.67
20,60,2.69
21,46,2.75
22,19,2.75
23,39.73,2.75
24,49.83,2.75
25,15,2.75
26,39.73,2.75
27,39.73,2.75
28,40.88,2.75
29,0,0
3,26.3,2.67
30,39.73,2.75
31,72,2.75
32,46,2.75
33,39.73,2.75
34,39.73,2.75
35,0,0
36,59.42,2.75
37,39.73,2.75
38,0,0
39,0,0
4,60,2.67
40,0,0
41,0,0
42,68.28,2.52
43,66.26,2.52
44,1,2.19
45,10,2.52
46,0,0
47,59.42,2.52
48,66.26,2.52
49,66.26,2.52
5,26.3,2.67
50,1,2.19
51,59.42,2.47
52,59.42,2.47
53,0,0
54,0,0
55,59.42,2.47
56,0,0
57,1,1.62
58,59.42,2.47
59,59.42,2.47
6,1,1.76
60,0,0
61,1,1.62
62,1,1.86
63,36,2.21
64,9,2.21
65,36,2.21
66,64.18,2.21
67,59.42,2.21
68,1,1.86
69,1,1.86
7,1,1.76
70,64.18,2.21
71,70.38,2.58
72,70.38,2.58
73,70.38,2.58
74,70.38,2.58
75,0,0
76,0,0
77,0,0
78,39.73,2.75
79,0,0
8,26.3,2.67
80,46,2.75
81,0,0
82,70.38,2.58
83,70.38,2.58
84,26.3,2.75
85,26.3,2.67
86,26.3,2.67
87,26.3,2.67
88,0,0
89,0,0
9,0,0
90,1,2.19
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,59.42,2.47
