Park,Entrance,Class
2,9,2
3,1,1
3,3,2
3,5,2
3,6,3
4,3,3
4,4,2
4,5,3
6,1,3
6,2,2
6,3,3
6,4,2
6,5,2
6,6,2
6,7,3
6,8,3
6,9,3
6,10,2
6,11,3
7,1,1
7,2,2
7,3,3
7,4,3
7,5,3
7,7,3
7,8,3
7,9,3
7,10,3
7,11,2
7,12,3
7,13,2
8,1,1
8,2,1
8,5,3
8,6,2
8,7,2
8,9,3
8,10,3
8,11,1
8,12,1
9,1,2
9,2,1
9,3,1
9,4,2
9,6,3
9,7,3
11,11,3
11,12,2
13,2,3
14,3,3
19,1,2
21,4,2
21,6,2
21,10,3
21,11,3
21,12,3
21,13,3
22,4,2
24,3,3
24,5,3
26,3,1
26,6,2
27,2,1
28,24,3
28,25,2
28,26,3
28,27,3
29,18,3
29,19,3
29,20,3
29,22,3
29,23,3
29,31,3
29,37,1
29,38,3
29,39,3
29,40,3
29,41,3
29,42,3
29,43,3
29,44,1
29,45,3
29,46,2
29,47,3
29,48,3
29,49,3
29,50,3
29,51,3
29,52,3
29,53,3
29,54,2
29,55,3
29,56,3
29,57,3
30,5,2
30,6,3
31,8,3
31,9,3
31,10,3
31,11,2
33,2,3
33,3,3
33,5,3
35,10,3
35,11,3
35,12,2
35,40,2
35,41,3
35,42,3
35,43,3
35,44,3
35,45,3
35,46,3
38,18,2
39,25,3
39,26,2
39,27,2
39,28,1
39,29,2
39,30,2
39,31,3
39,32,3
39,33,3
39,34,2
39,35,3
39,36,3
40,16,3
40,17,3
40,18,3
40,19,3
40,20,2
40,21,3
40,22,3
41,1,2
41,2,3
41,10,2
41,11,3
42,14,2
42,15,3
42,16,3
42,22,3
42,23,3
42,24,3
42,28,3
43,56,3
43,58,3
46,39,3
46,41,3
47,7,1
47,11,3
47,12,3
65,3,3
65,4,3
68,7,3
68,8,3
68,9,3
68,15,3
68,16,3
68,17,3
70,4,3
70,5,3
70,12,3
75,4,3
75,5,3
77,1,2
77,3,1
77,6,1
77,7,1
77,8,2
77,9,2
77,10,2
77,11,3
77,12,3
77,13,3
77,14,2
77,15,3
77,16,3
77,17,2
77,18,2
78,4,3
79,3,2
79,10,2
79,11,3
79,12,3
79,13,3
80,2,2
81,1,1
81,3,3
81,2,1
81,4,3
81,5,3
81,6,3
81,7,3
81,8,3
81,9,3
81,10,3
81,11,3
81,12,3
81,13,3
81,14,3
81,15,1
81,16,3
84,3,2
89,15,3
89,19,1
89,20,2
89,21,3
89,22,2
89,23,2
89,24,3
89,25,3
89,26,2
89,27,3
89,28,3
89,29,1
89,30,3
89,31,3
89,32,2
89,33,2
90,10,2
90,11,3
90,12,3
90,13,3
90,14,3
94,1,1
94,2,3
94,6,3
94,10,3
95,9,3
95,11,3
95,14,3
95,15,3
95,16,3
95,17,3
95,18,3
95,20,3
96,1,1
96,2,3
96,3,2
96,4,3
96,5,3
96,6,3
96,7,2
96,8,2
96,9,3
96,10,3
96,11,3
96,12,2
96,13,3
96,14,2
96,15,3
96,16,3
96,17,3
96,18,2
96,19,3
96,20,1
96,21,3
96,22,1
96,23,3
96,24,3
97,1,1
97,2,3
97,3,3
97,4,2
97,6,2
97,7,2
97,8,3
97,9,3
97,10,2
97,11,2
97,12,3
97,13,2
97,14,2
100,1,1
100,6,2
100,7,2
100,8,3
101,1,1
101,2,1
104,1,2
104,2,1
104,3,3
104,4,3
104,5,1
104,6,1
104,7,1
104,8,1
104,9,2
104,10,1
104,11,3
104,12,2
107,6,2
107,7,2
107,8,2
107,9,3
108,4,1
108,5,2
108,6,3
108,7,3
109,3,3
109,4,2
109,5,3
110,4,2
114,1,1
114,2,2
114,3,3
114,4,2
114,6,2
114,7,2
114,8,3
115,17,2
115,19,3
115,20,2
115,21,2
115,22,2
115,23,3
115,24,2
115,25,2
117,1,1
118,2,2
118,3,3
130,1,1
130,2,2
130,3,3
131,1,1
131,2,3
131,3,3
131,4,1
131,5,1
131,6,1
131,7,1
131,8,3
131,9,3
131,10,3
131,11,3
131,12,3
131,13,3
131,14,2
131,15,2
131,16,3
131,17,3
131,18,3
131,19,2
131,20,2
131,21,3
131,22,3
131,23,3
131,24,3
131,25,3
132,1,2
132,2,2
132,3,2
132,4,2
132,5,1
132,6,3
132,7,2
132,8,3
132,9,3
132,10,3
132,11,3
132,12,2
132,13,2
132,14,1
135,12,3
51,9,3
51,10,1
51,11,3
51,12,3
51,13,3
51,14,3
51,15,3
51,16,3
51,17,3
51,18,3
51,19,3
51,20,3
51,21,3
51,22,3
51,23,3
54,4,3
54,8,3
54,13,3
54,14,3
54,15,3
54,16,2
55,7,3
55,8,3
56,1,3
59,4,3
60,1,1
60,2,3
60,3,2
60,4,2
60,5,2
60,6,3
60,7,2
60,8,3
61,3,3
61,4,3
61,5,3
61,6,3
61,7,3
137,1,1
137,2,3
137,3,3
137,4,3
137,5,3
137,6,3
137,7,3
137,8,3
137,9,1
