Park,Entrance,Start_time,Class
1,1,800,2
1,1,1000,2
1,1,1200,2
1,1,1400,2
1,1,1600,2
1,1,1800,2
1,2,800,2
1,2,1000,1
1,2,1200,1
1,2,1400,1
1,2,1600,1
1,2,1800,2
1,3,800,1
1,3,1000,1
1,3,1200,1
1,3,1400,1
1,3,1600,1
1,3,1800,1
1,4,800,2
1,4,1000,2
1,4,1200,2
1,4,1400,2
1,4,1600,2
1,4,1800,2
2,1,800,3
2,1,1000,3
2,1,1200,3
2,1,1400,3
2,1,1600,3
2,1,1800,3
2,2,800,3
2,2,1000,3
2,2,1200,3
2,2,1400,3
2,2,1600,3
2,2,1800,3
2,3,800,2
2,3,1000,2
2,3,1200,2
2,3,1400,2
2,3,1600,2
2,3,1800,2
2,4,800,2
2,4,1000,2
2,4,1200,2
2,4,1400,2
2,4,1600,2
2,4,1800,2
2,5,800,3
2,5,1000,3
2,5,1200,3
2,5,1400,3
2,5,1600,3
2,5,1800,3
2,6,800,1
2,6,1000,1
2,6,1200,1
2,6,1400,1
2,6,1600,1
2,6,1800,1
2,7,800,3
2,7,1000,3
2,7,1200,3
2,7,1400,3
2,7,1600,3
2,7,1800,3
3,4,800,2
3,4,1000,2
3,4,1200,1
3,4,1400,1
3,4,1600,1
3,4,1800,1
4,1,800,1
4,1,1000,1
4,1,1200,1
4,1,1400,1
4,1,1600,1
4,1,1800,2
5,1,800,3
5,1,1000,3
5,1,1200,3
5,1,1400,3
5,1,1600,3
5,1,1800,3
5,2,800,1
5,2,1000,1
5,2,1200,1
5,2,1400,1
5,2,1600,1
5,2,1800,1
5,3,800,1
5,3,1000,1
5,3,1200,1
5,3,1400,1
5,3,1600,1
5,3,1800,1
5,4,800,2
5,4,1000,2
5,4,1200,2
5,4,1400,2
5,4,1600,2
5,4,1800,2
7,14,800,2
7,14,1000,2
7,14,1200,2
7,14,1400,2
7,14,1600,2
7,14,1800,2
10,1,800,1
10,1,1000,1
10,1,1200,1
10,1,1400,1
10,1,1600,1
10,1,1800,1
11,1,800,2
11,1,1000,1
11,1,1200,1
11,1,1400,1
11,1,1600,1
11,1,1800,2
11,2,800,2
11,2,1000,2
11,2,1200,2
11,2,1400,2
11,2,1600,2
11,2,1800,2
11,3,800,3
11,3,1000,3
11,3,1200,3
11,3,1400,3
11,3,1600,3
11,3,1800,3
11,4,800,2
11,4,1000,2
11,4,1200,2
11,4,1400,2
11,4,1600,1
11,4,1800,1
11,5,800,3
11,5,1000,3
11,5,1200,3
11,5,1400,3
11,5,1600,3
11,5,1800,3
11,6,800,3
11,6,1000,3
11,6,1200,3
11,6,1400,3
11,6,1600,3
11,6,1800,3
11,7,800,2
11,7,1000,2
11,7,1200,2
11,7,1400,2
11,7,1600,2
11,7,1800,2
11,8,800,3
11,8,1000,3
11,8,1200,3
11,8,1400,3
11,8,1600,3
11,8,1800,3
11,9,800,2
11,9,1000,2
11,9,1200,2
11,9,1400,2
11,9,1600,2
11,9,1800,2
11,10,800,2
11,10,1000,2
11,10,1200,2
11,10,1400,2
11,10,1600,2
11,10,1800,2
12,1,800,2
12,1,1000,1
12,1,1200,1
12,1,1400,1
12,1,1600,1
12,1,1800,2
13,1,800,1
13,1,1000,2
13,1,1200,2
13,1,1400,1
13,1,1600,1
13,1,1800,1
14,1,800,2
14,1,1000,2
14,1,1200,1
14,1,1400,1
14,1,1600,1
14,1,1800,1
14,2,800,2
14,2,1000,2
14,2,1200,2
14,2,1400,2
14,2,1600,2
14,2,1800,2
15,1,800,2
15,1,1000,2
15,1,1200,1
15,1,1400,1
15,1,1600,1
15,1,1800,1
15,2,800,3
15,2,1000,3
15,2,1200,2
15,2,1400,1
15,2,1600,1
15,2,1800,1
15,3,800,3
15,3,1000,3
15,3,1200,2
15,3,1400,1
15,3,1600,1
15,3,1800,1
15,4,800,2
15,4,1000,2
15,4,1200,1
15,4,1400,1
15,4,1600,1
15,4,1800,1
15,5,800,3
15,5,1000,3
15,5,1200,2
15,5,1400,2
15,5,1600,1
15,5,1800,2
15,6,800,3
15,6,1000,3
15,6,1200,2
15,6,1400,2
15,6,1600,1
15,6,1800,1
16,1,800,2
16,1,1000,1
16,1,1200,1
16,1,1400,1
16,1,1600,1
16,1,1800,2
16,2,800,2
16,2,1000,2
16,2,1200,2
16,2,1400,2
16,2,1600,2
16,2,1800,2
17,1,800,2
17,1,1000,1
17,1,1200,1
17,1,1400,1
17,1,1600,1
17,1,1800,2
17,2,800,2
17,2,1000,2
17,2,1200,2
17,2,1400,2
17,2,1600,2
17,2,1800,2
17,3,800,2
17,3,1000,2
17,3,1200,2
17,3,1400,2
17,3,1600,2
17,3,1800,2
17,5,800,2
17,5,1000,2
17,5,1200,2
17,5,1400,2
17,5,1600,2
17,5,1800,2
17,6,800,2
17,6,1000,2
17,6,1200,2
17,6,1400,1
17,6,1600,1
17,6,1800,1
17,7,800,2
17,7,1000,3
17,7,1200,3
17,7,1400,2
17,7,1600,1
17,7,1800,2
17,8,800,2
17,8,1000,3
17,8,1200,3
17,8,1400,3
17,8,1600,2
17,8,1800,2
17,9,800,3
17,9,1000,3
17,9,1200,3
17,9,1400,3
17,9,1600,3
17,9,1800,2
17,10,800,3
