Park,Entrance,Start_time,Class,Day_type
51,1,800,2,1
51,1,1000,1,1
51,1,1200,2,1
51,1,1400,2,1
51,1,1600,1,1
51,1,1800,1,1
51,2,800,3,1
51,2,1000,3,1
51,2,1200,3,1
51,2,1400,3,1
51,2,1600,3,1
51,2,1800,3,1
51,3,800,2,1
51,3,1000,1,1
51,3,1200,1,1
51,3,1400,1,1
51,3,1600,1,1
51,3,1800,1,1
51,4,800,3,1
51,4,1000,3,1
51,4,1200,3,1
51,4,1400,3,1
51,4,1600,3,1
51,4,1800,3,1
51,5,800,3,1
51,5,1000,3,1
51,5,1200,3,1
51,5,1400,3,1
51,5,1600,3,1
51,5,1800,3,1
51,1,800,2,2
51,1,1000,2,2
51,1,1200,2,2
51,1,1400,2,2
51,1,1600,1,2
51,1,1800,1,2
51,3,800,2,2
51,3,1000,2,2
51,3,1200,2,2
51,3,1400,2,2
51,3,1600,1,2
51,3,1800,1,2
52,1,800,1,1
52,1,1000,2,1
52,1,1200,2,1
52,1,1400,2,1
52,1,1600,2,1
52,1,1800,3,1
52,2,800,1,1
52,2,1000,3,1
52,2,1200,3,1
52,2,1400,3,1
52,2,1600,2,1
52,2,1800,2,1
52,3,800,1,1
52,3,1000,2,1
52,3,1200,2,1
52,3,1400,1,1
52,3,1600,1,1
52,3,1800,1,1
52,1,800,1,2
52,1,1000,2,2
52,1,1200,2,2
52,1,1400,2,2
52,1,1600,1,2
52,1,1800,3,2
52,2,1000,3,2
52,2,1200,3,2
52,2,1600,2,2
52,2,1800,2,2
52,3,800,1,2
52,3,1000,2,2
52,3,1200,2,2
52,3,1400,1,2
52,3,1600,1,2
52,3,1800,1,2
53,1,800,1,1
53,1,1000,2,1
53,1,1200,2,1
53,1,1400,2,1
53,1,1600,2,1
53,1,1800,2,1
53,5,800,3,1
53,5,1000,3,1
53,5,1200,3,1
53,5,1400,3,1
53,5,1600,3,1
53,5,1800,3,1
53,1,800,1,2
53,1,1000,3,2
53,1,1200,3,2
53,1,1400,3,2
53,1,1600,1,2
53,1,1800,1,2
53,5,800,3,2
53,5,1000,3,2
53,5,1200,3,2
53,5,1400,3,2
53,5,1600,3,2
53,5,1800,3,2
55,1,800,3,1
55,1,1000,1,1
55,1,1200,1,1
55,1,1400,2,1
55,1,1600,1,1
55,1,1800,2,1
55,2,800,2,1
55,2,1000,1,1
55,2,1200,1,1
55,2,1400,2,1
55,2,1600,2,1
55,2,1800,2,1
55,11,800,3,1
55,11,1000,3,1
55,11,1200,3,1
55,11,1400,3,1
55,11,1600,3,1
55,11,1800,3,1
55,12,800,2,1
55,12,1000,2,1
55,12,1200,2,1
55,12,1400,2,1
55,12,1600,2,1
55,12,1800,2,1
55,13,800,3,1
55,13,1000,3,1
55,13,1200,3,1
55,13,1400,3,1
55,13,1600,3,1
55,13,1800,3,1
55,1,800,3,2
55,1,1000,1,2
55,1,1200,1,2
55,1,1400,2,2
55,1,1600,1,2
55,1,1800,2,2
55,2,800,2,2
55,2,1000,3,2
55,2,1200,3,2
55,2,1400,3,2
55,2,1600,2,2
55,2,1800,1,2
55,10,800,3,2
55,10,1000,3,2
55,10,1200,3,2
55,10,1400,3,2
55,10,1600,2,2
55,10,1800,2,2
55,11,800,3,2
55,11,1000,3,2
55,11,1200,3,2
55,11,1400,3,2
55,11,1600,3,2
55,11,1800,3,2
55,12,800,2,2
55,12,1000,2,2
55,12,1200,2,2
55,12,1400,2,2
55,12,1600,2,2
55,12,1800,2,2
55,13,800,3,2
55,13,1000,3,2
55,13,1200,3,2
55,13,1400,3,2
55,13,1600,3,2
55,13,1800,3,2
56,2,800,2,1
56,2,1000,2,1
56,2,1200,3,1
56,2,1400,3,1
56,2,1600,2,1
56,2,1800,2,1
56,3,800,1,1
56,3,1000,1,1
56,3,1200,2,1
56,3,1400,2,1
56,3,1600,1,1
56,3,1800,1,1
56,6,800,2,1
56,6,1000,2,1
56,6,1200,3,1
56,6,1400,3,1
56,6,1600,3,1
56,6,1800,3,1
56,8,800,1,1
56,8,1000,1,1
56,8,1200,3,1
56,8,1400,3,1
56,8,1600,3,1
56,8,1800,2,1
56,9,800,2,1
56,9,1000,2,1
56,9,1200,3,1
56,9,1400,3,1
56,9,1600,2,1
56,9,1800,2,1
56,10,800,2,1
56,10,1000,3,1
56,10,1200,3,1
56,10,1400,3,1
56,10,1600,3,1
56,10,1800,3,1
56,11,800,2,1
56,11,1000,2,1
56,11,1200,3,1
56,11,1400,3,1
56,11,1600,3,1
56,11,1800,3,1
56,12,800,2,1
56,12,1000,2,1
56,12,1200,3,1
56,12,1400,3,1
56,12,1600,3,1
56,12,1800,3,1
56,14,800,2,1
56,14,1000,2,1
56,14,1200,3,1
56,14,1400,3,1
56,14,1600,2,1
56,14,1800,3,1
56,2,800,2,2
56,2,1000,3,2
56,2,1200,3,2
56,2,1400,3,2
56,2,1600,1,2
56,2,1800,1,2
56,3,800,1,2
56,3,1000,2,2
56,3,1200,2,2
56,3,1400,2,2
56,3,1600,1,2
56,3,1800,1,2
56,6,800,2,2
56,6,1000,3,2
56,6,1200,3,2
56,6,1400,3,2
56,6,1600,2,2
56,6,1800,3,2
56,8,800,1,2
56,8,1000,3,2
56,8,1200,3,2
56,8,1400,3,2
56,8,1600,1,2
56,8,1800,2,2
56,9,800,2,2
56,9,1000,3,2
56,9,1200,3,2
56,9,1400,3,2
56,9,1600,2,2
56,9,1800,2,2
56,10,800,1,2
56,10,1000,3,2
56,10,1200,3,2
56,10,1400,3,2
56,10,1600,1,2
56,10,1800,3,2
56,11,800,2,2
56,11,1000,3,2
56,11,1200,3,2
56,11,1400,3,2
56,11,1600,2,2
56,11,1800,2,2
56,12,800,2,2
56,12,1000,3,2
56,12,1200,3,2
56,12,1400,3,2
56,12,1600,2,2
56,12,1800,2,2
56,14,800,1,2
56,14,1000,3,2
56,14,1200,3,2
56,14,1400,3,2
56,14,1600,1,2
56,14,1800,2,2
58,1,800,2,1
58,1,1000,2,1
58,1,1200,3,1
58,1,1400,3,1
58,1,1600,2,1
58,1,1800,2,1
58,4,800,3,1
58,4,1000,2,1
58,4,1200,3,1
58,4,1400,3,1
58,4,1600,2,1
58,4,1800,2,1
58,5,800,3,1
58,5,1000,2,1
58,5,1200,3,1
58,5,1400,3,1
58,5,1600,3,1
58,5,1800,3,1
58,6,800,3,1
58,6,1000,2,1
58,6,1200,3,1
58,6,1400,3,1
58,6,1600,3,1
58,6,1800,3,1
58,7,800,2,1
58,7,1000,1,1
58,7,1200,1,1
58,7,1400,1,1
58,7,1600,1,1
58,7,1800,2,1
58,8,800,2,1
58,8,1000,3,1
58,8,1200,3,1
58,8,1400,3,1
58,8,1600,3,1
58,9,1800,3,1
58,1,800,2,2
58,1,1000,3,2
58,1,1200,3,2
58,1,1400,3,2
58,1,1600,1,2
58,1,1800,1,2
58,7,800,3,2
58,7,1000,3,2
58,7,1200,3,2
58,7,1400,3,2
58,7,1600,1,2
58,7,1800,2,2
58,8,800,3,2
58,8,1000,3,2
58,8,1200,3,2
58,8,1400,3,2
58,8,1600,2,2
58,8,1800,3,2
59,1,800,3,1
59,1,1000,1,1
59,1,1200,1,1
59,1,1400,2,1
59,1,1600,1,1
59,1,1800,2,1
59,2,800,2,1
59,2,1000,2,1
59,2,1200,3,1
59,2,1400,3,1
59,2,1600,2,1
59,2,1800,3,1
59,1,800,3,2
59,1,1000,1,2
59,1,1200,1,2
59,1,1400,2,2
59,1,1600,1,2
59,1,1800,2,2
59,2,800,2,2
59,2,1000,3,2
59,2,1200,3,2
59,2,1400,3,2
59,2,1600,3,2
59,2,1800,2,2
61,1,800,1,1
61,1,1000,2,1
61,1,1200,2,1
61,1,1400,1,1
61,1,1600,2,1
61,1,1800,2,1
61,2,800,1,1
61,2,1000,1,1
61,2,1200,2,1
61,2,1400,1,1
61,2,1600,1,1
61,2,1800,3,1
61,1,800,2,2
61,1,1000,2,2
61,1,1200,2,2
61,1,1400,1,2
61,1,1600,1,2
61,1,1800,2,2
61,2,800,2,2
61,2,1000,3,2
61,2,1200,3,2
61,2,1400,1,2
61,2,1600,1,2
61,2,1800,1,2
98,1,800,2,1
98,1,1000,3,1
98,1,1200,3,1
98,1,1400,3,1
98,1,1600,3,1
98,1,1800,3,1
98,2,800,2,1
98,2,1000,2,1
98,2,1200,2,1
98,2,1400,2,1
98,2,1600,2,1
98,2,1800,3,1
98,3,800,2,1
98,3,1000,3,1
98,3,1200,3,1
98,3,1400,3,1
98,3,1600,3,1
98,3,1800,3,1
98,1,800,3,2
98,1,1000,3,2
98,1,1200,3,2
98,1,1400,3,2
98,1,1600,2,2
98,1,1800,3,2
98,2,800,2,2
98,2,1000,2,2
98,2,1200,2,2
98,2,1400,2,2
98,2,1600,1,2
98,2,1800,1,2
98,3,800,3,2
98,3,1000,3,2
98,3,1200,3,2
98,3,1400,3,2
98,3,1600,2,2
98,3,1800,3,2
99,1,800,1,1
99,1,1000,1,1
99,1,1200,1,1
99,1,1400,1,1
99,1,1600,1,1
99,1,1800,2,1
99,1,800,2,2
99,1,1000,2,2
99,1,1200,2,2
99,1,1400,2,2
99,1,1600,1,2
99,1,1800,2,2
52,4,800,3,1
52,4,1000,3,1
52,4,1200,3,1
52,4,1400,3,1
52,4,1600,3,1
52,4,1800,3,1
52,4,800,3,2
52,4,1000,3,2
52,4,1200,3,2
52,4,1400,3,2
