Park,Class,Exp_fact
1,1,10
1,2,14
1,3,0
2,1,6
2,2,12
2,3,18
3,1,12
3,2,12
3,3,6
4,1,6
4,2,6
4,3,12
5,1,12
5,2,6
5,3,6
6,1,0
6,2,30
6,3,34
7,1,6
7,2,30
7,3,42
8,1,24
8,2,12
8,3,18
9,1,12
9,2,12
9,3,12
10,1,6
10,2,0
10,3,0
11,1,6
11,2,24
11,3,24
12,1,4
12,2,2
12,3,0
13,1,4
13,2,2
13,3,6
14,1,4
14,2,8
14,3,6
15,1,16
15,2,11
15,3,8
16,1,4
16,2,8
16,3,0
17,1,8
17,2,35
17,3,20
18,1,3
18,2,3
18,3,0
19,1,17
19,2,30
19,3,25
20,1,4
20,2,8
20,3,0
21,1,6
21,2,18
21,3,54
22,1,6
22,2,6
22,3,12
23,1,12
23,2,12
23,3,18
24,1,6
24,2,12
24,3,12
25,1,6
25,2,6
25,3,18
26,1,12
26,2,6
26,3,6
27,1,6
27,2,6
27,3,18
28,1,6
28,2,48
28,3,90
29,1,36
29,2,48
29,3,210
30,1,6
30,2,12
30,3,18
31,1,6
31,2,24
31,3,36
32,1,6
32,2,6
32,3,30
33,1,6
33,2,6
33,3,24
34,1,6
34,2,18
34,3,24
35,1,12
35,2,18
35,3,96
36,1,6
36,2,6
36,3,0
37,1,6
37,2,0
37,3,0
38,1,24
38,2,36
38,3,30
39,1,18
39,2,78
39,3,120
40,1,18
40,2,18
40,3,90
41,1,19
41,2,35
41,3,18
42,1,37
42,2,68
42,3,47
43,1,74
43,2,98
43,3,179
44,1,32
44,2,32
44,3,68
45,1,27
45,2,35
45,3,23
46,1,41
46,2,73
46,3,132
47,1,25
47,2,11
47,3,19
48,1,28
48,2,45
48,3,65
49,1,9
49,2,19
49,3,26
50,1,16
50,2,95
50,3,81
54,1,6
54,2,29
54,3,61
60,1,6
60,2,24
60,3,18
62,1,17
62,2,6
62,3,9
63,1,15
63,2,9
63,3,6
64,1,43
64,2,69
64,3,20
65,1,8
65,2,10
65,3,24
66,1,9
66,2,9
66,3,12
67,1,6
67,2,7
67,3,11
68,1,16
68,2,36
68,3,64
69,1,12
69,2,12
69,3,12
70,1,28
70,2,16
70,3,34
71,1,0
71,2,0
71,3,0
72,1,4
72,2,2
72,3,0
73,1,3
73,2,3
73,3,0
74,1,4
74,2,2
74,3,0
75,1,6
75,2,6
75,3,18
76,1,12
76,2,30
76,3,36
77,1,18
77,2,36
77,3,54
78,1,6
78,2,12
78,3,6
79,1,12
79,2,30
79,3,36
80,1,6
80,2,6
80,3,0
81,1,18
81,2,0
81,3,72
82,1,3
82,2,3
82,3,0
83,1,8
83,2,4
83,3,0
84,1,6
84,2,12
84,3,0
88,1,42
88,2,42
88,3,78
89,1,24
89,2,42
89,3,72
90,1,16
90,2,23
90,3,39
91,1,8
91,2,16
91,3,12
92,1,8
92,2,7
92,3,3
93,1,12
93,2,14
93,3,4
94,1,5
94,2,18
94,3,25
95,1,16
95,2,31
95,3,79
96,1,18
96,2,36
96,3,84
97,1,6
97,2,48
97,3,30
100,1,9
100,2,28
100,3,17
101,1,12
101,2,0
101,3,0
102,1,6
102,2,0
102,3,6
103,1,14
103,2,23
103,3,11
104,1,30
104,2,24
104,3,18
105,1,3
105,2,3
105,3,0
107,1,20
107,2,24
107,3,10
108,1,10
108,2,10
108,3,22
109,1,0
109,2,18
109,3,12
110,1,8
110,2,12
110,3,4
111,1,6
111,2,24
111,3,36
112,1,6
112,2,6
112,3,0
113,1,6
113,2,6
113,3,0
114,1,6
114,2,24
114,3,12
115,1,18
115,2,54
115,3,54
117,1,6
118,1,5
118,2,7
118,3,6
121,1,9
121,2,0
121,3,15
124,1,5
124,2,4
124,3,3
130,1,6
130,2,6
130,3,6
131,1,30
131,2,20
131,3,90
132,1,12
132,2,42
132,3,30
135,1,13
135,2,16
135,3,40
137,1,12
137,2,0
137,3,42
