Q29,Q1,Q7,Q17,Q28,Q30,Q32,Q26,Q27,Q28_1,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Nd,Bloomington,Bush and Normandale Lakes Regional Park,4,June,3,2018,4:00-6:00 PM,Yes,NA,26,33,3,0,0,0
Nd,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,2,2018,4:00-6:00 PM,Yes,NA,15,12,0,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,July,21,2018,6:00-8:00 PM,Yes,NA,3,23,0,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,July,21,2018,6:00-8:00 PM,Yes,NA,3,23,0,0,0,0
Ej,Bloomington,Bush and Normandale Lakes Regional Park,4,July,14,2018,6:00-8:00 PM,Yes,NA,0,37,0,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,24,2018,4:00-6:00 PM,Yes,NA,8,8,0,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,24,2018,2:00-4:00 PM,Yes,NA,3,23,0,0,0,0
Sa,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,June,23,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
Ej,Bloomington,Bush and Normandale Lakes Regional Park,1,June,19,2018,12:00-2:00 PM,Yes,NA,0,1,4,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,18,2018,10:00-12:00 PM,Yes,NA,1,2,0,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,3,June,17,2018,2:00-4:00 PM,Yes,NA,8,11,0,0,0,0
Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,June,17,2018,12:00-2:00 PM,Yes,NA,5,0,0,0,0,0
