Q29,Q1,Q8,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q21_1,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
AW,Carver County,Minnesota River Bluffs Regional Trail,1,June,3,2018,12:00-2:00 PM,Yes,NA,16,4,0,0,0,0
AW,Carver County,Southwest Regional Trail,1,June,3,2018,10:00-12:00 PM,Yes,NA,7,10,0,0,0,0
AW,Carver County,Lake Minnewashta Regional Park,2,June,8,2018,2:00-4:00 PM,Yes,NA,0,10,0,0,0,0
AW,Carver County,Minnesota River Bluffs Regional Trail,6,June,8,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
AW,Carver County,Southwest Regional Trail,3,June,8,2018,8:00-10:00 AM,Yes,NA,2,1,0,0,0,0
AW,Carver County,Lake Minnewashta Regional Park,1,June,10,2018,4:00-6:00 PM,Yes,NA,0,0,52,0,0,0
AW,Carver County,Lake Minnewashta Regional Park,2,June,17,2018,8:00-10:00 AM,Yes,NA,0,0,0,0,0,0
AW,Carver County,Lake Minnewashta Regional Park,1,June,20,2018,10:00-12:00 PM,Yes,NA,0,0,44,0,0,0
AW,Carver County,Southwest Regional Trail,2,June,23,2018,2:00-4:00 PM,Yes,NA,19,11,0,0,0,0
