Q29,Q1,Q9,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
AM,Dakota County,Minnesota River Greenway,18,June,18,2018,10:00-12:00 PM,No,"6-25-18, 10-12pm",2,11,0,0,0,0
TL,Dakota County,Lebanon Hills Regional Park,9,June,18,2018,10:00-12:00 PM,No,"6-25-18, 10-12pm",0,0,0,0,0,0
AM,Dakota County,Spring Lake Park Reserve,2,June,18,2018,8:00-10:00 AM,No,"6-25-18, 8-10am",0,0,0,1,0,0
GJ,Dakota County,Big Rivers Regional Trail,3,June,17,2018,6:00-8:00 PM,No,"6-24-18, 6-8pm",1,0,0,0,0,0
CD,Dakota County,Minnesota River Greenway,1,June,17,2018,2:00-4:00 PM,No,"6-24-18, 2-4pm",5,5,0,0,0,0
TS,Dakota County,Big Rivers Regional Trail,2,June,16,2018,6:00-8:00 PM,No,"6-23-18, 6-8pm",2,7,0,0,0,0
GJ,Dakota County,Spring Lake Park Reserve,1,June,16,2018,4:00-6:00 PM,No,"6-23-18, 4-6pm",0,0,17,0,0,0
TL,Dakota County,River to River Greenway Regional Trail,19,June,14,2018,6:00-8:00 PM,No,"6-21-18, 6-8pm",2,8,0,0,0,0
TL,Dakota County,Mississippi River Regional Trail,12,June,14,2018,4:00-6:00 PM,No,"6-21-18, 4-6pm",13,17,0,0,0,0
ND,Dakota County,Minnesota River Greenway,1,June,17,2018,12:00-2:00 PM,Yes,NA,31,13,0,0,0,0
LM,Dakota County,River to River Greenway Regional Trail,19,June,16,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
NH,Dakota County,Mississippi River Regional Trail,11,June,9,2018,10:00-12:00 PM,No,"6-16-18, 10-12pm",5,1,0,0,0,0
AW,Dakota County,River to River Greenway Regional Trail,1,June,15,2018,6:00-8:00 PM,Yes,NA,0,1,0,0,0,0
GJ,Dakota County,Mississippi River Regional Trail,2,June,15,2018,4:00-6:00 PM,Yes,NA,0,7,0,0,0,0
ND,Dakota County,Whitetail Woods Regional Park,1,June,13,2018,8:00-10:00 AM,Yes,NA,0,2,4,0,0,0
TL,Dakota County,Big Rivers Regional Trail,2,June,12,2018,6:00-8:00 PM,Yes,NA,28,13,0,0,0,0
AR,Dakota County,Miesville Ravine Park Reserve,1,June,12,2018,4:00-6:00 PM,Yes,NA,0,0,2,0,0,0
ES,Dakota County,Lake Byllesby Regional Park,1,June,12,2018,8:00-10:00 AM,Yes,NA,7,1,10,0,0,0
AW,Dakota County,Whitetail Woods Regional Park,1,June,4,2018,6:00-8:00 PM,No,"6-11-18, 6-8pm",0,0,34,0,0,0
AW,Dakota County,River to River Greenway Regional Trail,1,June,16,2018,2:00-4:00 PM,No,"6-9-18, 2-4pm",0,2,0,0,0,0
SF,Dakota County,Whitetail Woods Regional Park,1,June,9,2018,12:00-2:00 PM,Yes,NA,0,0,27,0,0,0
MD,Dakota County,Mississippi River Regional Trail,11,July,9,2018,12:00-2:00 PM,Yes,NA,2,0,0,0,0,0
NB,Dakota County,Lake Byllesby Regional Park,1,June,8,2018,4:00-6:00 PM,Yes,NA,1,13,7,0,0,0
NB,Dakota County,Miesville Ravine Park Reserve,1,June,8,2018,2:00-4:00 PM,Yes,NA,0,0,1,0,0,0
NM,Dakota County,Spring Lake Park Reserve,1,June,8,2018,12:00-2:00 PM,Yes,NA,5,0,20,0,0,0
NM,Dakota County,Lebanon Hills Regional Park,1,June,8,2018,10:00-12:00 PM,Yes,NA,0,0,39,0,0,0
KO,Dakota County,Lebanon Hills Regional Park,5,June,7,2018,2:00-4:00 PM,Yes,NA,0,3,2,0,0,0
ES,Dakota County,Spring Lake Park Reserve,2,June,7,2018,12:00-2:00 PM,Yes,NA,7,0,3,0,0,0
AR,Dakota County,Lake Byllesby Regional Park,1,June,7,2018,12:00-2:00 PM,Yes,NA,5,10,21,2,0,0
AR,Dakota County,Miesville Ravine Park Reserve,1,June,7,2018,10:00-12:00 PM,Yes,NA,0,1,1,0,0,0
ND,Dakota County,Minnesota River Greenway,2,June,5,2018,4:00-6:00 PM,Yes,NA,13,15,0,0,0,0
GJ,Dakota County,Big Rivers Regional Trail,4,June,5,2018,4:00-6:00 PM,Yes,NA,12,2,0,0,0,0
GJ,Dakota County,Whitetail Woods Regional Park,3,June,5,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
SF,Dakota County,Spring Lake Park Reserve,1,June,10,2018,6:00-8:00 PM,No,"6-2-18, 6-8pm",1,0,28,0,0,0
ES,Dakota County,Lebanon Hills Regional Park,2,June,3,2018,4:00-6:00 PM,Yes,NA,4,8,61,0,0,0
AW,Dakota County,Whitetail Woods Regional Park,3,June,3,2018,10:00-12:00 PM,Yes,NA,0,1,0,0,0,0
CD,Dakota County,Mississippi River Regional Trail,4,June,2,2018,4:00-6:00 PM,Yes,NA,0,2,0,0,0,0
GJ,Dakota County,River to River Greenway Regional Trail,4,June,16,2018,2:00-4:00 PM,No,"6-2-18, 2-4pm",0,2,0,0,0,0
SF,Dakota County,Minnesota River Greenway,2,May,30,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
AW,Dakota County,Lake Byllesby Regional Park,1,June,5,2018,6:00-8:00 PM,No,"5-29-18, 6-8pm",0,3,12,0,0,0
BP,Dakota County,Miesville Ravine Park Reserve,1,June,5,2018,4:00-6:00 PM,No,"5-29-18, 4-6pm",0,0,0,0,0,0
GJ,Dakota County,Minnesota River Greenway,1,May,29,2018,12:00-2:00 PM,Yes,NA,2,8,0,0,0,0
CD,Dakota County,Whitetail Woods Regional Park,1,May,28,2018,2:00-4:00 PM,Yes,NA,0,0,8,0,0,0
AW,Dakota County,Mississippi River Regional Trail,4,July,21,2018,4:00-6:00 PM,Yes,NA,3,2,0,0,0,0
ND,Dakota County,Lake Byllesby Regional Park,1,July,21,2018,2:00-4:00 PM,Yes,NA,3,41,23,0,0,0
ND,Dakota County,Miesville Ravine Park Reserve,1,July,21,2018,12:00-2:00 PM,Yes,NA,0,0,6,0,0,0
AW,Dakota County,Lebanon Hills Regional Park,6,July,15,2018,4:00-6:00 PM,Yes,NA,10,3,36,0,0,0
AW,Dakota County,Spring Lake Park Reserve,1,July,15,2018,2:00-4:00 PM,Yes,NA,4,0,75,0,0,0
GJ,Dakota County,Lake Byllesby Regional Park,1,July,8,2018,2:00-4:00 PM,No,7-15-18 2-4,7,0,24,0,0,0
GJ,Dakota County,Miesville Ravine Park Reserve,1,July,8,2018,12:00-2:00 PM,No,7-15-18. 12-2,0,0,5,0,0,0
AR,Dakota County,Miesville Ravine Park Reserve,1,July,14,2018,4:00-6:00 PM,Yes,NA,0,0,4,0,0,0
ES,Dakota County,Lake Byllesby Regional Park,1,July,14,2018,8:00-10:00 AM,Yes,NA,7,8,6,0,0,0
CD,Dakota County,Whitetail Woods Regional Park,1,July,10,2018,6:00-8:00 PM,Yes,NA,4,0,18,0,0,0
GJ,Dakota County,River to River Greenway Regional Trail,10,July,3,2018,4:00-6:00 PM,No,7-10-18. 4-6,1,16,0,0,0,0
GJ,Dakota County,Mississippi River Regional Trail,11,July,3,2018,2:00-4:00 PM,No,7-10-18. 2-4,1,0,0,0,0,0
TS,Dakota County,River to River Greenway Regional Trail,7,July,9,2018,6:00-8:00 PM,Yes,NA,3,8,0,0,0,0
NM,Dakota County,Mississippi River Regional Trail,2,July,9,2018,8:00-10:00 AM,Yes,NA,2,8,0,0,0,0
MD,Dakota County,Lake Byllesby Regional Park,2,July,7,2018,2:00-4:00 PM,Yes,NA,0,0,27,0,0,0
AM,Dakota County,Big Rivers Regional Trail,4,July,7,2018,2:00-4:00 PM,Yes,NA,5,2,0,0,0,0
NB,Dakota County,Lebanon Hills Regional Park,11,June,30,2018,10:00-12:00 PM,No,7-7-18 10-12,0,10,0,0,0,0
NB,Dakota County,Spring Lake Park Reserve,2,June,30,2018,8:00-10:00 AM,No,7-7-18. 8-10,8,0,4,0,0,0
NM,Dakota County,Miesville Ravine Park Reserve,1,July,4,2018,6:00-8:00 PM,Yes,NA,0,0,4,1,0,0
AM,Dakota County,Big Rivers Regional Trail,3,July,4,2018,6:00-8:00 PM,Yes,NA,20,10,0,0,0,0
SF,Dakota County,Lake Byllesby Regional Park,2,July,14,2018,2:00-4:00 PM,No,7-4-18. 2-4,6,0,15,0,0,0
ES,Dakota County,Lebanon Hills Regional Park,6,June,25,2018,4:00-6:00 PM,No,7-2-18. 4-6,6,2,53,0,0,0
GJ,Dakota County,Spring Lake Park Reserve,1,July,2,2018,2:00-4:00 PM,Yes,NA,0,0,12,0,0,0
AR,Dakota County,Miesville Ravine Park Reserve,1,June,29,2018,4:00-6:00 PM,No,7-1-18. 4-6,0,2,4,0,0,0
ES,Dakota County,Whitetail Woods Regional Park,1,June,23,2018,4:00-6:00 PM,No,6-30-18. 4-6,1,0,19,0,0,0
MD,Dakota County,Big Rivers Regional Trail,5,June,23,2018,2:00-4:00 PM,No,6-30-18. 2-4,7,0,0,0,0,0
AM,Dakota County,Spring Lake Park Reserve,1,June,23,2018,12:00-2:00 PM,No,6-30-18. 12-2,4,0,37,0,0,0
ND,Dakota County,Miesville Ravine Park Reserve,1,June,30,2018,12:00-2:00 PM,Yes,NA,0,0,3,0,0,0
BP,Dakota County,Lebanon Hills Regional Park,1,June,30,2018,10:00-12:00 PM,Yes,NA,6,3,167,0,0,0
ND,Dakota County,Lake Byllesby Regional Park,1,June,30,2018,10:00-12:00 PM,Yes,NA,3,24,19,0,0,0
ES,Dakota County,Big Rivers Regional Trail,4,June,28,2018,8:00-10:00 AM,Yes,NA,4,1,0,0,0,0
ND,Dakota County,Big Rivers Regional Trail,5,June,27,2018,10:00-12:00 PM,Yes,NA,1,4,0,0,0,0
KO,Dakota County,Whitetail Woods Regional Park,2,May,28,2018,8:00-10:00 AM,Yes,NA,1,0,0,0,0,0
AW,Dakota County,Minnesota River Greenway,2,May,26,2018,4:00-6:00 PM,Yes,NA,5,15,0,0,0,0
AM,Dakota County,River to River Greenway Regional Trail,1,May,26,2018,2:00-4:00 PM,Yes,NA,1,2,0,0,0,0
AM,Dakota County,Mississippi River Regional Trail,11,May,26,2018,12:00-2:00 PM,Yes,NA,2,3,0,0,0,0
ES,Dakota County,Big Rivers Regional Trail,1,August,16,2018,8:00-10:00 AM,No,8-23-18. 8-10am,5,0,9,0,0,0
NM,Dakota County,Minnesota River Greenway,2,August,15,2018,12:00-2:00 PM,No,8-22-18. 12-2pm,7,3,3,0,0,0
TL,Dakota County,Lake Byllesby Regional Park,1,August,13,2018,6:00-8:00 PM,No,8-20-18. 6-8pm,2,7,4,0,0,0
TL,Dakota County,Miesville Ravine Park Reserve,1,August,13,2018,4:00-6:00 PM,No,8-13-18. 4-6pm,0,2,1,0,0,0
AR,Dakota County,Spring Lake Park Reserve,2,August,12,2018,4:00-6:00 PM,No,8-19-18. 4-6pm,0,2,0,0,0,0
AR,Dakota County,Lebanon Hills Regional Park,3,August,12,2018,2:00-4:00 PM,No,8-19-18. 2-4pm,1,10,71,0,0,0
NM,Dakota County,Whitetail Woods Regional Park,2,August,18,2018,6:00-8:00 PM,Yes,NA,0,0,3,0,0,0
NM,Dakota County,Big Rivers Regional Trail,5,August,18,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
ND,Dakota County,Spring Lake Park Reserve,2,August,11,2018,2:00-4:00 PM,No,8-18-18. 2-4pm,2,0,0,0,0,0
ES,Dakota County,Miesville Ravine Park Reserve,1,August,18,2018,2:00-4:00 PM,Yes,NA,2,2,7,0,0,0
