Q29,Q1,Q10,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Dan,Minneapolis Park and Recreation Board,Above the Falls Regional Park,11,May,30,2018,8:00-10:00 AM,Yes,NA,7,3,1,0,0,0
DM,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,18,May,29,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
DM,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,6,May,26,2018,6:00-8:00 PM,Yes,NA,18,36,13,0,0,0
DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,2,May,26,2018,4:00-6:00 PM,Yes,NA,0,3,0,0,0,0
DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,1,May,26,2018,2:00-4:00 PM,Yes,NA,29,9,0,0,0,0
DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,5,May,26,2018,8:00-10:00 AM,Yes,NA,3,19,0,0,0,0
DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,11,May,29,2018,4:00-6:00 PM,Yes,NA,4,7,9,0,0,0
KL,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,5,May,26,2018,6:00-8:00 PM,Yes,NA,29,6,0,0,0,0
SA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,23,May,26,2018,12:00-2:00 PM,Yes,NA,102,136,17,0,0,0
cho,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,2,May,26,2018,10:00-12:00 PM,Yes,NA,0,4,0,0,0,0
CS,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,5,May,26,2018,6:00-8:00 PM,Yes,NA,7,37,0,0,0,0
AA,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,9,May,31,2018,10:00-12:00 PM,Yes,NA,22,20,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Regional Park,1,May,29,2018,4:00-6:00 PM,Yes,NA,21,15,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,38,May,29,2018,2:00-4:00 PM,Yes,NA,2,7,0,0,0,0
AA,Minneapolis Park and Recreation Board,Luce Line Regional Trail,6,May,27,2018,2:00-4:00 PM,Yes,NA,20,19,0,0,0,0
AA,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,5,May,26,2018,4:00-6:00 PM,Yes,NA,10,28,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,45,May,26,2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0
DM,Minneapolis Park and Recreation Board,Luce Line Regional Trail,3,May,31,2018,10:00-12:00 PM,Yes,NA,0,3,0,0,0,0
DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,6,May,31,2018,8:00-10:00 AM,Yes,NA,1,3,1,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Regional Park,11,June,3,2018,6:00-8:00 PM,Yes,NA,49,19,0,0,0,0
AA,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,9,June,3,2018,4:00-6:00 PM,Yes,NA,8,14,2,0,0,0
AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,53,June,2,2018,2:00-4:00 PM,Yes,NA,27,67,6,0,0,0
AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,13,June,2,2018,12:00-2:00 PM,Yes,NA,14,27,0,0,0,0
AA,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,4,June,1,2018,6:00-8:00 PM,Yes,NA,6,19,0,0,0,0
AA,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,3,June,1,2018,4:00-6:00 PM,Yes,NA,6,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,8,June,4,2018,4:00-6:00 PM,Yes,NA,0,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,9,June,4,2018,2:00-4:00 PM,Yes,NA,5,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,4,June,3,2018,6:00-8:00 PM,Yes,NA,9,12,0,0,0,0
