Q29,Q1,Q11,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q20,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trails,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
GE,Ramsey County,Long Lake Regional Park,1,May,27,2018,2:00-4:00 PM,Yes,NA,1,3,198,0,0,0
GE,Ramsey County,Rice Creek West Regional Trail,1,May,27,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
GE,Ramsey County,Rice Creek North Regional Trail,2,May,27,2018,10:00-12:00 PM,Yes,NA,23,51,0,0,0,0
RL,Ramsey County,Keller Regional Park,1,May,27,2018,10:00-12:00 PM,Yes,NA,1,9,40,0,0,0
KL,Ramsey County,Lakes Link Regional Trail,6,May,27,2018,8:00-10:00 AM,Yes,NA,6,12,0,0,0,0
RL,Ramsey County,Birch Lake Regional Park,6,May,26,2018,8:00-10:00 AM,Yes,NA,1,3,0,0,0,0
RL,Ramsey County,Highway 96 Regional Trail,8,May,26,2018,10:00-12:00 PM,Yes,NA,6,2,0,0,0,0
GE,Ramsey County,Rice Creek North Regional Trail,1,May,29,2018,10:00-12:00 PM,Yes,NA,6,7,7,1,0,0
GE,Ramsey County,Rice Creek West Regional Trail,1,May,29,2018,8:00-10:00 AM,Yes,NA,1,0,0,0,0,0
GE,Ramsey County,Keller Regional Park,7,June,5,2018,12:00-2:00 PM,Yes,NA,0,0,17,0,0,0
GE,Ramsey County,Long Lake Regional Park,1,June,5,2018,10:00-12:00 PM,Yes,NA,6,6,63,2,0,0
GE,Ramsey County,Highway 96 Regional Trail,4,June,2,2018,2:00-4:00 PM,Yes,NA,1,0,0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,1,June,2,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,9,June,1,2018,10:00-12:00 PM,Yes,NA,13,21,0,0,0,0
GE,Ramsey County,Rice Creek North Regional Trail,1,May,31,2018,4:00-6:00 PM,Yes,NA,5,6,5,0,0,0
GE,Ramsey County,Rice Creek West Regional Trail,1,May,31,2018,2:00-4:00 PM,Yes,NA,12,1,0,0,0,0
GE,Ramsey County,Keller Regional Park,8,June,9,2018,12:00-2:00 PM,Yes,NA,11,6,0,0,0,0
GE,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,13,June,9,2018,10:00-12:00 PM,Yes,NA,0,0,5,0,0,0
