Q29,Q1,Q13,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
MAH,Saint Paul,Indian Mounds Regional Park,4,June,5,2018,2:00-4:00 PM,Yes,NA,6,19,42,0,0,0
MAH,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,May,29,2018,2:00-4:00 PM,Yes,NA,1,10,12,0,0,0
MAH,Saint Paul,Cherokee Heights Regional Park,3,May,26,2018,2:00-4:00 PM,Yes,NA,8,15,0,0,0,0
AP,Saint Paul,"Como Regional Park, Zoo, & Conservatory",10,June,3,2018,10:00-12:00 PM,Yes,NA,1,47,0,0,0,0
BS,Saint Paul,Indian Mounds Regional Park,1,June,12,2018,2:00-4:00 PM,Yes,NA,1,5,27,0,0,0
BaS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",14,May,31,2018,2:00-4:00 PM,Yes,NA,3,7,0,0,0,0
BaS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",22,June,6,2018,2:00-4:00 PM,Yes,NA,0,0,36,0,0,0
BaS,Saint Paul,Phalen Regional Park,9,June,7,2018,12:00-2:00 PM,Yes,NA,0,0,16,1,0,0
BDD,Saint Paul,Bruce Vento Regional Trail,6,June,3,2018,8:00-10:00 AM,Yes,NA,17,3,0,0,0,0
BDD,Saint Paul,Lilydale-Harriet Island Regional Park,2,May,26,2018,2:00-4:00 PM,Yes,NA,3,25,48,0,0,0
BDD,Saint Paul,Lilydale-Harriet Island Regional Park,7,May,27,2018,4:00-6:00 PM,Yes,NA,5,4,90,0,0,0
HG,Saint Paul,Lilydale-Harriet Island Regional Park,2,June,2,2018,12:00-2:00 PM,Yes,NA,1,9,2,0,0,0
HG,Saint Paul,Cherokee Heights Regional Park,5,June,2,2018,2:00-4:00 PM,Yes,NA,0,10,0,0,0,0
