Q29,Q1,Q14,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
JS,Scott County,Cedar Lake Farm Regional Park,2,June,21,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,5
JS,Scott County,Cedar Lake Farm Regional Park,2,May,26,2018,8:00-10:00 AM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Spring Lake Regional Park,1,June,4,2018,6:00-8:00 PM,Yes,NA,0,5,4,0,0,0
JS,Scott County,Spring Lake Regional Park,3,June,3,2018,4:00-6:00 PM,Yes,NA,0,6,0,0,0,0
JS,Scott County,Scott County Regional Trail,9,June,4,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Scott County Regional Trail,17,June,3,2018,2:00-4:00 PM,Yes,NA,3,1,0,0,0,0
JS,Scott County,Scott County Regional Trail,1,May,28,2018,10:00-12:00 PM,Yes,NA,1,33,21,0,0,0
JS,Scott County,Scott County Regional Trail,1,May,29,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Spring Lake Regional Park,7,May,29,2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Spring Lake Regional Park,7,June,19,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Cedar Lake Farm Regional Park,1,June,7,2018,8:00-10:00 AM,Yes,NA,0,9,1,1,0,0
JS,Scott County,Cedar Lake Farm Regional Park,1,June,17,2018,2:00-4:00 PM,Yes,NA,0,2,0,0,0,0
JS,Scott County,Scott County Regional Trail,19,June,19,2018,10:00-12:00 PM,Yes,NA,0,4,1,0,0,0
JS,Scott County,Scott County Regional Trail,8,June,13,2018,2:00-4:00 PM,Yes,NA,1,1,0,0,0,0
JS,Scott County,Scott County Regional Trail,20,June,13,2018,12:00-2:00 PM,Yes,NA,3,4,0,0,0,0
JS,Scott County,Spring Lake Regional Park,6,June,23,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Cedar Lake Farm Regional Park,1,July,5,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Spring Lake Regional Park,1,June,30,2018,2:00-4:00 PM,Yes,NA,1,0,0,0,0,0
JS,Scott County,Cedar Lake Farm Regional Park,2,July,8,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,2
JS,Scott County,Spring Lake Regional Park,1,July,5,2018,10:00-12:00 PM,Yes,NA,0,5,3,0,0,0
JS,Scott County,Scott County Regional Trail,8,July,1,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Spring Lake Regional Park,1,July,1,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Scott County Regional Trail,19,June,23,2018,2:00-4:00 PM,Yes,NA,5,1,0,0,0,0
JS,Scott County,Cedar Lake Farm Regional Park,1,July,14,2018,10:00-12:00 PM,No,7/7/18 10-12 pm,5,1,22,0,0,0
JS,Scott County,Cedar Lake Farm Regional Park,1,July,25,2018,10:00-12:00 PM,Yes,NA,0,0,2,0,0,0
JS,Scott County,Cedar Lake Farm Regional Park,2,July,24,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
JS,Scott County,Scott County Regional Trail,9,July,26,2018,12:00-2:00 PM,No,6/30/18 12-2pm,0,0,0,0,0,0
JS,Scott County,Spring Lake Regional Park,8,July,29,2018,4:00-6:00 PM,Yes,NA,1,0,0,0,0,0
JS,Scott County,Scott County Regional Trail,3,August,5,2018,6:00-8:00 PM,No,7/29/18 6-8pm,0,1,0,0,0,0
