Q29,Q1,Q15,Q17,Q17_1,Q21,Q19,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
JS,Three Rivers Park District,North Mississippi Regional Park,1,May,26,2018,8:00-10:00 AM,Yes,NA,36,11,1,0,0,0
JS,Three Rivers Park District,Twin Lakes Regional Trail,11,May,26,2018,10:00-12:00 PM,Yes,NA,1,10,0,0,0,0
JS,Three Rivers Park District,Twin Lakes Regional Trail,13,May,26,2018,12:00-2:00 PM,Yes,NA,1,17,0,0,0,0
JS,Three Rivers Park District,Lake Minnetonka Regional Park,4,May,27,2018,8:00-10:00 AM,Yes,NA,0,0,0,0,0,3
JS,Three Rivers Park District,Elm Creek Park Reserve,1,May,28,2018,8:00-10:00 AM,Yes,NA,12,8,426,0,0,0
JS,Three Rivers Park District,Rush Creek Regional Trail,9,May,28,2018,10:00-12:00 PM,Yes,NA,71,2,0,0,0,0
JS,Three Rivers Park District,Shingle Creek Regional Trail,13,May,28,2018,12:00-2:00 PM,Yes,NA,8,0,0,0,0,0
JS,Three Rivers Park District,Silverwood Special Recreation Feature,2,May,26,2018,4:00-6:00 PM,Yes,NA,1,14,0,0,0,0
JS,Three Rivers Park District,Northeast Diagonal Regional Trail,1,May,26,2018,6:00-8:00 PM,Yes,NA,11,3,0,0,0,0
JS,Three Rivers Park District,Hyland Lake Park Reserve,6,May,29,2018,4:00-6:00 PM,Yes,NA,23,1,0,0,0,0
JS,Three Rivers Park District,Nine Mile Creek Regional Trail,26,May,29,2018,6:00-8:00 PM,Yes,NA,3,0,0,0,0,0
JS,Three Rivers Park District,Cedar Lake LRT Regional Trail,9,May,27,2018,6:00-8:00 PM,Yes,NA,5,1,0,0,0,0
JS,Three Rivers Park District,North Cedar Lake Regional Trail,4,May,27,2018,4:00-6:00 PM,Yes,NA,6,6,0,0,0,0
JS,Three Rivers Park District,Luce Line Regional Trail,16,May,26,2018,4:00-6:00 PM,Yes,NA,14,7,0,0,0,0
JS,Three Rivers Park District,Clifton French Regional Park,1,May,26,2018,6:00-8:00 PM,Yes,NA,2,2,104,0,0,0
JS,Three Rivers Park District,Coon Rapids Dam Regional Park,3,May,28,2018,10:00-12:00 PM,Yes,NA,118,93,0,0,0,0
JS,Three Rivers Park District,Crystal Lake Regional Trail,19,May,31,2018,10:00-12:00 PM,Yes,NA,1,2,0,0,0,0
JS,Three Rivers Park District,Lake Minnetonka LRT Regional Trail,27,May,26,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
JS,Three Rivers Park District,Twin Lakes Regional Trail,11,June,2,2018,8:00-10:00 AM,Yes,NA,4,12,0,0,0,0
JS,Three Rivers Park District,Carver Park Reserve,2,May,26,2018,4:00-6:00 PM,Yes,NA,6,7,7,0,0,0
JS,Three Rivers Park District,North Mississippi Regional Park,1,June,2,2018,10:00-12:00 PM,Yes,NA,3,9,2,0,0,0
JS,Three Rivers Park District,Noerenberg Gardens Special Recreation Feature,1,June,3,2018,12:00-2:00 PM,Yes,NA,0,0,4,0,0,0
JS,Three Rivers Park District,Lake Minnetonka Regional Park,1,June,3,2018,2:00-4:00 PM,Yes,NA,0,0,58,0,0,0
JS,Three Rivers Park District,Noerenberg Gardens Special Recreation Feature,1,June,7,2018,10:00-12:00 PM,Yes,NA,2,0,4,0,0,0
JS,Three Rivers Park District,Lake Independence Regional Trail,7,May,29,2018,4:00-6:00 PM,No,06/05/2018 4-6 pm,2,0,0,0,0,0
JS,Three Rivers Park District,Baker Park Reserve,1,May,29,2018,2:00-4:00 PM,No,06/05/2018 2-4pm,0,0,21,0,0,0
JS,Three Rivers Park District,Rush Creek Regional Trail,1,June,3,2018,10:00-12:00 PM,Yes,NA,19,6,0,0,0,0
JS,Three Rivers Park District,Elm Creek Park Reserve,1,June,3,2018,12:00-2:00 PM,Yes,NA,10,1,147,0,0,0
