StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q7,Q17,Q28,Q30,Q32,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
2018-07-26 14:37:15,2018-07-26 14:38:56,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:13,R_iJfKzQvGOeriRQM,,,,,44.826705932617,-93.313201904297,,EN,Nd,Bloomington,Bush and Normandale Lakes Regional Park,4,June,3,2018,4:00-6:00 PM,Yes,,26,33,3,0,0,0
2018-07-26 14:33:18,2018-07-26 14:36:43,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:14,R_l4Dmo6fDWsNu9SR,,,,,44.826705932617,-93.313201904297,,EN,Nd,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,2,2018,4:00-6:00 PM,Yes,,15,12,0,0,0,0
2018-07-26 14:30:24,2018-07-26 14:31:34,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:15,R_kBd0O4cpz2HSLRJ,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,July,21,2018,6:00-8:00 PM,Yes,,3,23,0,0,0,0
2018-07-26 14:29:07,2018-07-26 14:30:00,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:15,R_6LireXjloFALRHh,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,July,21,2018,6:00-8:00 PM,Yes,,3,23,0,0,0,0
2018-07-26 14:26:21,2018-07-26 14:28:51,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:17,R_kYi5gnPWPDm8ZhS,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Bush and Normandale Lakes Regional Park,4,July,14,2018,6:00-8:00 PM,Yes,,0,37,0,0,0,0
2018-07-26 14:23:34,2018-07-26 14:26:19,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:18,R_lDN2o4lScOSGDde,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,24,2018,4:00-6:00 PM,Yes,,8,8,0,0,0,0
2018-07-26 14:22:04,2018-07-26 14:23:31,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:19,R_7eLlFm0e4w76tJL,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,24,2018,2:00-4:00 PM,Yes,,3,23,0,0,0,0
2018-07-26 14:20:11,2018-07-26 14:21:42,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:20,R_jL8prW1aLXUlZCE,,,,,44.826705932617,-93.313201904297,,EN,Sa,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,June,23,2018,10:00-12:00 PM,Yes,,0,0,0,0,0,0
2018-07-26 14:18:16,2018-07-26 14:19:46,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:21,R_bPFMBbO3lpiyVEl,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Bush and Normandale Lakes Regional Park,1,June,19,2018,12:00-2:00 PM,Yes,,0,1,4,0,0,0
2018-07-26 14:17:01,2018-07-26 14:18:06,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:23,R_aIsRpquNOl05BDl,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,18,2018,10:00-12:00 PM,Yes,,1,2,0,0,0,0
2018-07-26 14:15:25,2018-07-26 14:16:57,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:23,R_baCg0TYUj6XPBUd,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,3,June,17,2018,2:00-4:00 PM,Yes,,8,11,0,0,0,0
2018-07-26 14:13:05,2018-07-26 14:15:22,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:24,R_ad4K0iYl1SIHBxS,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,June,17,2018,12:00-2:00 PM,Yes,,5,0,0,0,0,0
2018-07-26 14:10:27,2018-07-26 14:12:15,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:25,R_dADXWRyBDM497t8,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,June,17,2018,12:00-2:00 PM,Yes,,8,10,0,0,0,0
2018-07-26 14:09:14,2018-07-26 14:10:24,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:26,R_gR6S2yNhw3kWTyt,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Bush and Normandale Lakes Regional Park,3,June,13,2018,4:00-6:00 PM,Yes,,5,5,0,0,0,0
2018-07-26 14:08:14,2018-07-26 14:09:11,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:27,R_aYCScTdBbvmSh6r,,,,,44.826705932617,-93.313201904297,,EN,Bh,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,2,June,13,2018,4:00-6:00 PM,Yes,,0,2,0,0,0,0
2018-07-26 14:06:02,2018-07-26 14:07:16,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:27,R_6kBNomBUUGcmXeQ,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,5,June,12,2018,2:00-4:00 PM,Yes,,4,4,0,0,0,0
2018-07-26 14:04:24,2018-07-26 14:05:18,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:28,R_2xDryITQ1bNTD6U,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,11,2018,12:00-2:00 PM,Yes,,0,6,0,0,0,0
2018-07-26 14:02:45,2018-07-26 14:04:02,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:29,R_36ib4Bops5wI1o7,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Bush and Normandale Lakes Regional Park,1,June,10,2018,4:00-6:00 PM,Yes,,16,5,28,0,0,0
2018-07-26 14:01:25,2018-07-26 14:02:22,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:31,R_1j3L1chRLZAfNgF,,,,,44.826705932617,-93.313201904297,,EN,Sa,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,June,9,2018,6:00-8:00 PM,Yes,,0,1,0,0,0,0
2018-07-26 13:58:48,2018-07-26 14:01:06,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:32,R_hdyoXNANbJ6gsDx,,,,,44.826705932617,-93.313201904297,,EN,Sa,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,6,2018,12:00-2:00 PM,Yes,,1,4,0,0,0,0
2018-07-26 13:57:42,2018-07-26 13:58:44,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:33,R_irqbBcb00dy7VHt,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,5,2018,4:00-6:00 PM,Yes,,3,13,0,0,0,0
2018-07-26 13:56:08,2018-07-26 13:57:38,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:33,R_4laHEUiGgQe3TD3,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,5,2018,12:00-2:00 PM,Yes,,0,7,0,0,0,0
2018-07-26 13:54:20,2018-07-26 13:55:51,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:35,R_7GY8Vmj9Ucd0SXO,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,3,June,4,2018,10:00-12:00 PM,Yes,,7,8,0,0,0,0
2018-07-26 13:50:49,2018-07-26 13:54:17,Offline,65.117.121.64,100,1,True,2018-07-26 14:44:36,R_esEp7eOfj847K0x,,,,,44.826705932617,-93.313201904297,,EN,Sa,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,June,3,2018,4:00-6:00 PM,Yes,,3,8,0,0,0,0
2018-07-26 13:49:31,2018-07-26 13:50:46,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:37,R_iXm3FvV7O9IYE5j,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,1,May,30,2018,4:00-6:00 PM,Yes,,1,1,0,0,0,0
2018-07-26 13:40:32,2018-07-26 13:43:18,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:37,R_igjM2xagRVrI2an,,,,,44.826705932617,-93.313201904297,,EN,Sa,Bloomington,Bush and Normandale Lakes Regional Park,2,May,29,2018,6:00-8:00 PM,Yes,,0,9,9,0,0,0
2018-07-26 13:38:35,2018-07-26 13:40:27,Offline,65.117.121.64,100,0,True,2018-07-26 14:44:39,R_6ykAT8DlpUI3NrX,,,,,44.826705932617,-93.313201904297,,EN,Ej,Bloomington,Nokomis-Minnesota River Bluffs Regional Trail,4,May,26,2018,10:00-12:00 PM,Yes,,0,8,0,0,0,0
