StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q10,Q17,Q17,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
5/30/2018 10:29,5/30/2018 10:31,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:02,R_eL31RaPrEYJWRme,,,,,44.98429871,-93.26540375,,EN,Dan,Minneapolis Park and Recreation Board,Above the Falls Regional Park,11,May,30,2018,8:00-10:00 AM,Yes,,7,3,1,0,0,0
5/30/2018 10:28,5/30/2018 10:29,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:02,R_h5aGWTHSzaaHELN,,,,,44.98429871,-93.26540375,,EN,DM,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,18,May,29,2018,6:00-8:00 PM,Yes,,0,0,0,0,0,0
5/29/2018 11:03,5/29/2018 11:04,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:02,R_jJwBF6CmB9N7bJW,,,,,44.98429871,-93.26540375,,EN,DM,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,6,May,26,2018,6:00-8:00 PM,Yes,,18,36,13,0,0,0
5/29/2018 11:01,5/29/2018 11:02,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:02,R_1xeDEJkSN074qjz,,,,,44.98429871,-93.26540375,,EN,DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,2,May,26,2018,4:00-6:00 PM,Yes,,0,3,0,0,0,0
5/29/2018 10:05,5/29/2018 10:07,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:02,R_5JPXgrScy94m819,,,,,44.98429871,-93.26540375,,EN,DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,1,May,26,2018,2:00-4:00 PM,Yes,,29,8,0,0,0,0
5/29/2018 10:02,5/29/2018 10:05,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:02,R_bMqpnwKSPlJUF2z,,,,,44.98429871,-93.26540375,,EN,DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,5,May,26,2018,8:00-10:00 AM,Yes,,3,19,0,0,0,0
5/30/2018 13:02,5/30/2018 13:03,Offline,73.94.152.127,100,0,TRUE,5/30/2018 13:03,R_70sHwhVnZqQfg2u,,,,,44.98429871,-93.26540375,,EN,DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,11,May,29,2018,4:00-6:00 PM,Yes,,4,7,9,0,0,0
5/31/2018 10:22,5/31/2018 10:23,IP Address,208.87.233.201,100,95,TRUE,5/31/2018 10:23,R_eG9T7Rhrbl18sTL,,,,,34.05439758,-118.2440033,anonymous,EN,KL,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,5,May,26,2018,6:00-8:00 PM,Yes,,29,6,0,0,0,0
5/31/2018 10:23,5/31/2018 10:26,IP Address,208.87.233.201,100,164,TRUE,5/31/2018 10:26,R_3fDdUPFxnqiSwjw,,,,,34.05439758,-118.2440033,anonymous,EN,SA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,23,May,26,2018,12:00-2:00 PM,Yes,,102,136,17,0,0,0
5/31/2018 10:26,5/31/2018 10:27,IP Address,208.87.233.201,100,83,TRUE,5/31/2018 10:27,R_BJN9e8hEEO6vbBn,,,,,34.05439758,-118.2440033,anonymous,EN,cho,Minneapolis Park and Recreation Board,Ridgway Parkway Regional Trail,2,May,26,2018,10:00-12:00 PM,Yes,,0,4,0,0,0,0
5/31/2018 13:53,5/31/2018 13:54,IP Address,208.87.233.201,100,73,TRUE,5/31/2018 13:54,R_2DTeDUiIiksLVjC,,,,,34.05439758,-118.2440033,anonymous,EN,CS,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,5,May,26,2018,6:00-8:00 PM,Yes,,7,37,0,0,0,0
5/31/2018 14:02,5/31/2018 14:03,Offline,73.94.152.127,100,0,TRUE,5/31/2018 14:07,R_0isMXzwEuvhhjgO,,,,,44.98429871,-93.26540375,,EN,AA,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,9,May,31,2018,10:00-12:00 PM,Yes,,22,20,0,0,0,0
5/31/2018 14:00,5/31/2018 14:02,Offline,73.94.152.127,100,0,TRUE,5/31/2018 14:07,R_eouxd7Zo5bTrEGC,,,,,44.98429871,-93.26540375,,EN,AA,Minneapolis Park and Recreation Board,Minnehaha Regional Park,1,May,29,2018,4:00-6:00 PM,Yes,,21,15,0,0,0,0
5/31/2018 13:58,5/31/2018 14:00,Offline,73.94.152.127,100,0,TRUE,5/31/2018 14:07,R_jkJBrbyeYVxbiGO,,,,,44.98429871,-93.26540375,,EN,AA,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,38,May,29,2018,2:00-4:00 PM,Yes,,2,7,0,0,0,0
5/29/2018 12:00,5/29/2018 12:01,Offline,73.94.152.127,100,0,TRUE,5/31/2018 14:07,R_on5AXlJO78qEq48,,,,,44.98429871,-93.26540375,,EN,AA,Minneapolis Park and Recreation Board,Luce Line Regional Trail,6,May,27,2018,2:00-4:00 PM,Yes,,20,19,0,0,0,0
5/29/2018 11:58,5/29/2018 11:59,Offline,73.94.152.127,100,0,TRUE,5/31/2018 14:07,R_3Ebm86gmG9ucEjf,,,,,44.98429871,-93.26540375,,EN,AA,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,5,May,26,2018,4:00-6:00 PM,Yes,,10,28,0,0,0,0
5/29/2018 11:56,5/29/2018 11:57,Offline,73.94.152.127,100,0,TRUE,5/31/2018 14:07,R_aLXFXUr5zkYA5TW,,,,,44.98429871,-93.26540375,,EN,AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,45,May,26,2018,2:00-4:00 PM,Yes,,0,0,0,0,0,0
6/1/2018 9:14,6/1/2018 9:15,Offline,73.94.152.127,100,0,TRUE,6/1/2018 9:16,R_4p3GAAY4znFtGnE,,,,,45.001284,-93.278121,,EN,DM,Minneapolis Park and Recreation Board,Luce Line Regional Trail,3,May,31,2018,10:00-12:00 PM,Yes,,0,3,0,0,0,0
5/30/2018 15:01,6/1/2018 9:14,Offline,73.94.152.127,100,0,TRUE,6/1/2018 9:16,R_4qigg4CeakfEdsU,,,,,45.001286,-93.278114,,EN,DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,6,May,31,2018,8:00-10:00 AM,Yes,,1,3,1,0,0,0
6/4/2018 9:57,6/4/2018 9:58,Offline,73.94.152.127,100,0,TRUE,6/4/2018 10:00,R_bBZPtQhJPkR7iyL,,,,,45.001276,-93.277998,,EN,AA,Minneapolis Park and Recreation Board,Minnehaha Regional Park,11,June,3,2018,6:00-8:00 PM,Yes,,49,19,0,0,0,0
6/4/2018 9:55,6/4/2018 9:57,Offline,73.94.152.127,100,0,TRUE,6/4/2018 10:00,R_coDhu3T4aH5mnGG,,,,,45.001281,-93.277973,,EN,AA,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,9,June,3,2018,4:00-6:00 PM,Yes,,8,14,2,0,0,0
6/4/2018 9:52,6/4/2018 9:54,Offline,73.94.152.127,100,0,TRUE,6/4/2018 10:00,R_kbaqE0wLxuzOT0X,,,,,45.001285,-93.277981,,EN,AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,53,June,2,2018,2:00-4:00 PM,Yes,,27,67,6,0,0,0
6/4/2018 9:50,6/4/2018 9:52,Offline,73.94.152.127,100,0,TRUE,6/4/2018 10:00,R_8Pi8eRsX9Dux1z7,,,,,45.001312,-93.277951,,EN,AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,13,June,2,2018,12:00-2:00 PM,Yes,,14,27,0,0,0,0
6/4/2018 9:49,6/4/2018 9:50,Offline,73.94.152.127,100,0,TRUE,6/4/2018 10:00,R_jtB27btPGRmKpRO,,,,,45.001287,-93.277902,,EN,AA,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,4,June,1,2018,6:00-8:00 PM,Yes,,6,19,0,0,0,0
6/4/2018 9:48,6/4/2018 9:49,Offline,73.94.152.127,100,0,TRUE,6/4/2018 10:00,R_4TailufqsRXfTu0,,,,,45.001257,-93.27798,,EN,AA,Minneapolis Park and Recreation Board,Ridgway Parkway Regional Trail,3,June,1,2018,4:00-6:00 PM,Yes,,6,5,0,0,0,0
6/5/2018 13:17,6/5/2018 13:19,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:20,R_5MWaa0wdZv8a67V,,,,,45.001272,-93.277998,,EN,DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,8,June,4,2018,4:00-6:00 PM,Yes,,0,5,0,0,0,0
6/5/2018 13:16,6/5/2018 13:17,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:20,R_1EQRQvioE6dz5PB,,,,,45.001244,-93.278002,,EN,DM,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,9,June,4,2018,2:00-4:00 PM,Yes,,5,1,0,0,0,0
6/5/2018 13:13,6/5/2018 13:16,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:21,R_9ODNqAFRaxtKzWN,,,,,45.001291,-93.277907,,EN,DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,4,June,3,2018,6:00-8:00 PM,Yes,,9,12,0,0,0,0
6/5/2018 13:12,6/5/2018 13:13,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:21,R_n76m9XJlnClWXjI,,,,,45.001269,-93.278126,,EN,DM,Minneapolis Park and Recreation Board,Ridgway Parkway Regional Trail,3,June,3,2018,4:00-6:00 PM,Yes,,2,3,0,0,0,0
6/5/2018 13:11,6/5/2018 13:12,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:21,R_0ISXORnXEo9ga8b,,,,,45.00129,-93.277883,,EN,DM,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,6,June,2,2018,6:00-8:00 PM,Yes,,7,3,0,0,0,0
6/5/2018 13:09,6/5/2018 13:11,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:21,R_dzqFIaQah15XLDh,,,,,45.001272,-93.277997,,EN,DM,Minneapolis Park and Recreation Board,North Mississippi Regional Park,9,June,2,2018,4:00-6:00 PM,Yes,,2,2,4,0,0,0
6/5/2018 13:08,6/5/2018 13:09,Offline,73.94.152.127,100,0,TRUE,6/5/2018 13:21,R_2oxJnwtqLzidoL4,,,,,45.001272,-93.277997,,EN,DM,Minneapolis Park and Recreation Board,Luce Line Regional Trail,4,June,1,2018,4:00-6:00 PM,Yes,,12,1,0,0,0,0
