StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q13,Q17,Q17,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
6/19/2018 9:31,6/19/2018 9:31,IP Address,156.99.75.2,100,53,TRUE,6/19/2018 9:31,R_2B9iFLzj8Z24VEW,,,,,44.92779541,-93.11620331,anonymous,EN,BDD,Saint Paul,Lilydale-Harriet Island Regional Park,2,May,26,2018,2:00-4:00 PM,Yes,,3,25,48,0,0,0
6/13/2018 10:13,6/13/2018 10:13,IP Address,156.99.75.2,100,54,TRUE,6/13/2018 10:13,R_pmxN9wGK0uA0avT,,,,,44.95550537,-93.16699982,anonymous,EN,MAH,Saint Paul,Cherokee Heights Regional Park,3,May,26,2018,2:00-4:00 PM,Yes,,8,15,0,0,0,0
6/19/2018 9:32,6/19/2018 9:32,IP Address,156.99.75.2,100,43,TRUE,6/19/2018 9:32,R_bIt64bEaNPLVM2t,,,,,44.92779541,-93.11620331,anonymous,EN,BDD,Saint Paul,Lilydale-Harriet Island Regional Park,7,May,27,2018,4:00-6:00 PM,Yes,,5,4,90,0,0,0
6/13/2018 10:12,6/13/2018 10:12,IP Address,156.99.75.2,100,52,TRUE,6/13/2018 10:12,R_3Ofhyaw2bktTqTs,,,,,44.95550537,-93.16699982,anonymous,EN,MAH,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,May,29,2018,2:00-4:00 PM,Yes,,1,10,12,0,0,0
6/22/2018 8:33,6/22/2018 8:34,IP Address,156.99.75.2,100,67,TRUE,6/22/2018 8:34,R_3mdGk2dQ8qkvecI,,,,,44.92779541,-93.11620331,anonymous,EN,PD,Saint Paul,Phalen Regional Park,13,May,29,2018,10:00-12:00 PM,Yes,,0,0,0,0,0,0
6/19/2018 9:26,6/19/2018 9:27,IP Address,156.99.75.2,100,59,TRUE,6/19/2018 9:27,R_XXHa4sr2D3hRMo9,,,,,44.92779541,-93.11620331,anonymous,EN,BaS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",14,May,31,2018,2:00-4:00 PM,Yes,,3,7,0,0,0,0
6/22/2018 8:21,6/22/2018 8:22,IP Address,156.99.75.2,100,78,TRUE,6/22/2018 8:22,R_zcGvXYzzGQWJV7j,,,,,44.92779541,-93.11620331,anonymous,EN,HG,Saint Paul,Lilydale-Harriet Island Regional Park,2,June,2,2018,12:00-2:00 PM,Yes,,1,9,2,0,0,0
6/22/2018 8:23,6/22/2018 8:24,IP Address,156.99.75.2,100,100,TRUE,6/22/2018 8:24,R_9EolwpZicfNRu9P,,,,,44.92779541,-93.11620331,anonymous,EN,HG,Saint Paul,Cherokee Heights Regional Park,5,June,2,2018,2:00-4:00 PM,Yes,,0,10,0,0,0,0
6/13/2018 10:14,6/13/2018 10:16,IP Address,156.99.75.2,100,120,TRUE,6/13/2018 10:16,R_8jfPHR1pCae4djj,,,,,44.95550537,-93.16699982,anonymous,EN,AP,Saint Paul,"Como Regional Park, Zoo, & Conservatory",10,June,3,2018,10:00-12:00 PM,Yes,,1,47,0,0,0,0
6/19/2018 9:30,6/19/2018 9:30,IP Address,156.99.75.2,100,44,TRUE,6/19/2018 9:30,R_1q4yyhW2SaV9c4n,,,,,44.92779541,-93.11620331,anonymous,EN,BDD,Saint Paul,Bruce Vento Regional Trail,6,June,3,2018,8:00-10:00 AM,Yes,,17,3,0,0,0,0
6/22/2018 8:32,6/22/2018 8:33,IP Address,156.99.75.2,100,75,TRUE,6/22/2018 8:33,R_3HiWYyCCpbe3sVb,,,,,44.92779541,-93.11620331,anonymous,EN,PD,Saint Paul,Phalen Regional Park,1,June,3,2018,10:00-12:00 PM,Yes,,27,59,9,0,0,0
6/13/2018 10:10,6/13/2018 10:11,IP Address,156.99.75.2,100,83,TRUE,6/13/2018 10:11,R_3flAUu75yMNYQKI,,,,,44.95550537,-93.16699982,anonymous,EN,MAH,Saint Paul,Indian Mounds Regional Park,4,June,5,2018,2:00-4:00 PM,Yes,,6,19,42,0,0,0
6/22/2018 8:25,6/22/2018 8:26,IP Address,156.99.75.2,100,83,TRUE,6/22/2018 8:26,R_1g78P94f6QDlJ05,,,,,44.92779541,-93.11620331,anonymous,EN,NG,Saint Paul,Trout Brook Regional Trail,1,June,5,2018,6:00-8:00 PM,Yes,,10,2,4,0,0,0
6/22/2018 8:30,6/22/2018 8:31,IP Address,156.99.75.2,100,54,TRUE,6/22/2018 8:31,R_1JXVCdGbRzACSFl,,,,,44.92779541,-93.11620331,anonymous,EN,PD,Saint Paul,Sam Morgan Regional Trail,2,June,5,2018,4:00-6:00 PM,Yes,,41,8,0,0,0,0
6/19/2018 9:27,6/19/2018 9:28,IP Address,156.99.75.2,100,58,TRUE,6/19/2018 9:28,R_rkdX8vwhEIolj57,,,,,44.92779541,-93.11620331,anonymous,EN,BaS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",22,June,6,2018,2:00-4:00 PM,Yes,,0,0,36,0,0,0
6/19/2018 9:29,6/19/2018 9:29,IP Address,156.99.75.2,100,51,TRUE,6/19/2018 9:29,R_3iPjg2KS4WA45Zu,,,,,44.92779541,-93.11620331,anonymous,EN,BaS,Saint Paul,Phalen Regional Park,9,June,7,2018,12:00-2:00 PM,Yes,,0,0,16,1,0,0
7/27/2018 9:17,7/27/2018 9:18,IP Address,156.99.75.2,100,45,TRUE,7/27/2018 9:18,R_2TLfEITNXkOlD9g,,,,,44.93580627,-93.1631012,anonymous,EN,MAH,Saint Paul,Bruce Vento Regional Trail,6,June,7,2018,10:00-12:00 PM,Yes,,16,34,0,0,0,0
7/27/2018 9:18,7/27/2018 9:19,IP Address,156.99.75.2,100,58,TRUE,7/27/2018 9:19,R_22xjvonb6PZXxKA,,,,,44.93580627,-93.1631012,anonymous,EN,MAH,Saint Paul,Mississippi Gorge Regional Park,13,June,7,2018,12:00-2:00 PM,Yes,,41,15,5,0,0,0
