StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q15,Q17,Q17,Q21,Q19,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID45""}","{""ImportId"":""QID43""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
6/18/2018 13:23,6/18/2018 13:24,Survey Preview,,100,95,TRUE,6/18/2018 13:24,R_2UWrF5NLHnzBDWX,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,North Mississippi Regional Park,1,May,26,2018,8:00-10:00 AM,Yes,,36,11,1,0,0,0
6/18/2018 13:26,6/18/2018 13:28,Survey Preview,,100,95,TRUE,6/18/2018 13:28,R_WBQxiZRfcT1t3TX,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Twin Lakes Regional Trail,11,May,26,2018,10:00-12:00 PM,Yes,,1,10,0,0,0,0
6/18/2018 13:28,6/18/2018 13:32,Survey Preview,,100,224,TRUE,6/18/2018 13:32,R_3EKewiR4PxeR1JL,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Twin Lakes Regional Trail,13,May,26,2018,12:00-2:00 PM,Yes,,1,17,0,0,0,0
6/18/2018 13:32,6/18/2018 13:34,Survey Preview,,100,119,TRUE,6/18/2018 13:34,R_2xQ60P7781zK456,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Lake Minnetonka Regional Park,4,May,27,2018,8:00-10:00 AM,Yes,,0,0,0,0,0,3
6/18/2018 13:34,6/18/2018 13:36,Survey Preview,,100,97,TRUE,6/18/2018 13:36,R_2wcPHtyvRhKZaG5,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Elm Creek Park Reserve,1,May,28,2018,8:00-10:00 AM,Yes,,12,8,426,0,0,0
6/18/2018 13:36,6/18/2018 13:37,Survey Preview,,100,78,TRUE,6/18/2018 13:37,R_2tFkVnzRFVguRRY,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Rush Creek Regional Trail,9,May,28,2018,10:00-12:00 PM,Yes,,71,2,0,0,0,0
6/18/2018 13:37,6/18/2018 13:38,Survey Preview,,100,56,TRUE,6/18/2018 13:38,R_1g8yohZLcmWd2OU,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Shingle Creek Regional Trail,13,May,28,2018,12:00-2:00 PM,Yes,,8,0,0,0,0,0
6/18/2018 13:38,6/18/2018 13:39,Survey Preview,,100,94,TRUE,6/18/2018 13:39,R_6sS6d95mFUzeN6F,,,,,45.00590515,-93.43049622,preview,EN,JS,Three Rivers Park District,Silverwood Special Recreation Feature,2,May,26,2018,4:00-6:00 PM,Yes,,1,14,0,0,0,0
