StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q16,Q17,Q17,Q19,Q21,Q26,Q27,Q28,Q21,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
6/5/2018 12:00,6/5/2018 12:01,Survey Preview,,100,49,TRUE,6/5/2018 12:01,R_31vdmenCprZmipY,,,,,44.80540466,-93.62480164,preview,EN,GK,Washington County,St. Croix Bluffs Regional Park,1,May,26,2018,2:00-4:00 PM,Yes,NA,5,1,37,0,0,0
6/5/2018 12:01,6/5/2018 12:02,Survey Preview,,100,48,TRUE,6/5/2018 12:02,R_1QbiZo3lPrZp4A3,,,,,44.80540466,-93.62480164,preview,EN,jj,Washington County,Point Douglas Regional Trail,1,May,26,2018,12:00-2:00 PM,Yes,NA,5,2,0,0,0,0
6/5/2018 12:03,6/5/2018 12:03,Survey Preview,,100,35,TRUE,6/5/2018 12:03,R_3h4w8oqnbf8enTg,,,,,44.80540466,-93.62480164,preview,EN,jj,Washington County,Point Douglas Regional Trail,1,May,26,2018,10:00-12:00 PM,Yes,NA,9,4,0,0,0,0
6/17/2018 18:16,6/17/2018 18:17,Survey Preview,,100,76,TRUE,6/17/2018 18:17,R_7P8UStUp1z3h3KF,,,,,44.80540466,-93.62480164,preview,EN,lg,Washington County,Big Marine Park Reserve,1,May,26,2018,12:00-2:00 PM,Yes,NA,0,0,54,0,0,0
6/5/2018 12:02,6/5/2018 12:03,Survey Preview,,100,42,TRUE,6/5/2018 12:03,R_2ZK24bnsFwJILYh,,,,,44.80540466,-93.62480164,preview,EN,jj,Washington County,Point Douglas Regional Trail,1,May,27,2018,12:00-2:00 PM,Yes,NA,3,8,0,0,0,0
6/5/2018 11:58,6/5/2018 11:58,Survey Preview,,100,43,TRUE,6/5/2018 11:58,R_2SwdwxQDQCzsTe8,,,,,44.80540466,-93.62480164,preview,EN,mh,Washington County,Point Douglas Regional Trail,1,May,28,2018,12:00-2:00 PM,Yes,NA,2,15,0,0,0,0
6/5/2018 12:00,6/5/2018 12:00,Survey Preview,,100,34,TRUE,6/5/2018 12:00,R_1OwwES9m8GtvhbZ,,,,,44.80540466,-93.62480164,preview,EN,sh,Washington County,Point Douglas Regional Trail,1,May,29,2018,10:00-12:00 PM,Yes,NA,0,4,0,0,0,0
6/5/2018 11:59,6/5/2018 11:59,Survey Preview,,100,53,TRUE,6/5/2018 11:59,R_3hzrjGdtObtceNO,,,,,44.80540466,-93.62480164,preview,EN,sh,Washington County,Point Douglas Regional Trail,1,May,31,2018,6:00-8:00 PM,Yes,NA,7,6,0,0,0,0
