Agency_name,Park_name,Event_visitors,Camping_visitors
Anoka County,Anoka County Riverfront Regional Park,0,0
Anoka County,Bunker Hills Regional Park,199.5,38.46
Anoka County,Bunker Hills Regional Trail,0,0
Anoka County,Central Anoka County Regional Trail,0,0
Anoka County,Coon Creek Regional Trail,0,0
Anoka County,Coon Rapids Dam Regional Park,10.8,0
Anoka County,East Anoka County Regional Trail,0,0
Anoka County,Lake George Regional Park,3.8,0
Anoka County,Martin-Island-Linwood Regional Park,3.2,0
Anoka County,Mississippi River Regional Trail,0,0
Anoka County,Mississippi West Regional Park,0,0
Anoka County,Rice Creek Chain of Lakes Park Reserve,48.15,31.058
Anoka County,Rice Creek North Regional Trail,0.3,0
Anoka County,Rice Creek West Regional Trail,0.7,0
Anoka County,Rum River Regional Trail,0,0
Anoka County,Rum River Central Regional Park,0.6,0
