Agency_name,Park_name,Event_visitors
Ramsey County,Bald Eagle-Otter Lake Regional Park,138.4
Ramsey County,Birch Lake Regional Park,0
Ramsey County,Battle Creek Regional Park,12.6
Ramsey County,Bruce Vento Regional Trail,6
Ramsey County,Highway 96 Regional Trail,0
Ramsey County,Keller Regional Park,1.1
Ramsey County,Lakes Link Regional Trail,1.6
Ramsey County,Long Lake Regional Park,51
Ramsey County,Rice Creek North Regional Trail,0
Ramsey County,Rice Creek West Regional Trail,0
Ramsey County,Tony Schmidt Regional Park,0
Ramsey County,Trout Brook Regional Trail,0
Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1.3
