Year,Park_id,Agency_id,Entrance,Expanded_total,Usage_class,Day_type,Total_visitors,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Expansion_factor,ppv_multiplier,ppb_multiplier,Total_days_by_type,Park_name,Agency_name,Date_year,Timeslot,Scheduled_count,Scheduled_date,Date_object
2015,1,1,1,0,Medium,Weekday,0,0,0,0,0,0,0,08:00 AM,2015-05-01,1,14,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,1,0,Medium,Weekday,0,0,0,0,0,0,0,08:00 AM,2015-05-02,1,14,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,4,0,Medium,Weekday,0,0,0,0,0,0,0,12:00 PM,2015-08-19,2,14,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,4,3920,Medium,Weekend_holiday,8,6,2,0,0,0,0,10:00 AM,2015-09-06,2,14,3.19,26.3,35,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,5440,High,Weekday,8,6,2,0,0,0,0,02:00 PM,2015-07-13,1,10,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,1,7722.4,Medium,Weekend_holiday,15.76,3,0,4,0,0,0,10:00 AM,2015-07-04,1,14,3.19,26.3,35,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,8160,High,Weekday,12,7,5,0,0,0,0,08:00 AM,2015-08-31,2,10,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,8840,High,Weekday,13,9,4,0,0,0,0,12:00 PM,2015-08-10,2,10,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,9100,High,Weekend_holiday,26,26,0,0,0,0,0,12:00 PM,2015-08-09,2,10,3.19,26.3,35,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,4,9310,Medium,Weekend_holiday,19,19,0,0,0,0,0,02:00 PM,2015-07-19,2,14,3.19,26.3,35,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,4,9520,Medium,Weekday,10,7,3,0,0,0,0,08:00 AM,2015-05-28,1,14,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,15640,High,Weekday,23,17,6,0,0,0,0,04:00 PM,2015-07-29,2,10,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,17e3,High,Weekday,25,14,11,0,0,0,0,08:00 AM,2015-08-10,2,10,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,3,19720,High,Weekday,29,17,12,0,0,0,0,12:00 PM,2015-06-25,1,10,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,2,22263.5,High,Weekend_holiday,63.61,3,0,19,0,0,0,02:00 PM,2015-06-20,1,10,3.19,26.3,35,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,1,1,4,34272,Medium,Weekday,36,19,17,0,0,0,0,06:00 PM,2015-08-12,2,14,3.19,26.3,68,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
