Park_id,Park_name,Agency_name,Agency_id,Year,Estimate
1,Anoka County Riverfront Regional Park,Anoka County,1,2018,85862.93115686275
2,Bunker Hills Regional Park,Anoka County,1,2018,190785.4150812325
3,Coon Rapids Dam Regional Park,Anoka County,1,2018,205986.19766917292
4,Lake George Regional Park,Anoka County,1,2018,117978.87771428571
5,Martin-Island-Linwood Regional Park,Anoka County,1,2018,74205.5546625923
6,Mississippi River Regional Trail,Anoka County,1,2018,81130.76660839161
7,Rice Creek West Regional Trail,Anoka County,1,2018,118407.84197994988
8,Rice Creek Chain of Lakes Park Reserve,Anoka County,1,2018,234577.02416666667
9,Rice Creek North Regional Trail,Anoka County,1,2018,82936.92063492064
10,Rum River Central Regional Park,Anoka County,1,2018,53790.48
11,Bush and Normandale Lakes Regional Park,Bloomington,2,2018,288647.6866883117
12,Baylor Regional Park,Carver County,3,2018,17992.40487394958
13,Lake Minnewashta Regional Park,Carver County,3,2018,77595.15608441559
14,Lake Waconia Regional Park,Carver County,3,2018,46477.89882783883
15,Big Rivers Regional Trail,Dakota County,4,2018,55897.203434343435
16,Lake Byllesby Regional Park,Dakota County,4,2018,51423.53956776557
17,Lebanon Hills Regional Park,Dakota County,4,2018,307943.2019427191
18,Miesville Ravine Park Reserve,Dakota County,4,2018,11121.02899404762
19,Mississippi River Regional Trail,Dakota County,4,2018,76840.99047619048
20,Spring Lake Park Reserve,Dakota County,4,2018,38781.622
21,Baker Park Reserve,Three Rivers Park District,9,2018,142103.8279464286
22,Bryant Lake Regional Park,Three Rivers Park District,9,2018,193456.9823997248
23,Carver Park Reserve,Three Rivers Park District,9,2018,122756.51815789474
24,Clifton French Regional Park,Three Rivers Park District,9,2018,202546.64196078433
25,Cleary Lake Regional Park (Scott County),Three Rivers Park District,9,2018,124118.04023809524
26,Coon Rapids Dam Regional Park,Three Rivers Park District,9,2018,148370.04833333334
27,Crow-Hassan Park Reserve,Three Rivers Park District,9,2018,35324.326515151515
28,Elm Creek Park Reserve,Three Rivers Park District,9,2018,432667.7154519141
29,Medicine Lake Regional Trail,Three Rivers Park District,9,2018,249709.03020594965
30,Fish Lake Regional Park,Three Rivers Park District,9,2018,137197.22581349206
31,Hyland Lake Park Reserve,Three Rivers Park District,9,2018,280067.83305555553
32,Lake Rebecca Park Reserve,Three Rivers Park District,9,2018,80594.56305555555
33,Lake Minnetonka Regional Park,Three Rivers Park District,9,2018,102858.59987468673
34,Murphy-Hanrehan Park Reserve (Scott County),Three Rivers Park District,9,2018,39483.57703216374
35,Rush Creek Regional Trail,Three Rivers Park District,9,2018,103594.86868686868
36,North Mississippi Regional Park,Three Rivers Park District,9,2018,26715.48242105263
37,Noerenberg Gardens Special Recreation Feature,Three Rivers Park District,9,2018,29625.92576426799
38,Scott County Regional Trail,Scott County,8,2018,57096.4531024531
39,Lake Minnetonka LRT Regional Trail,Three Rivers Park District,9,2018,199552.25
40,Minnesota River Bluffs Regional Trail,Three Rivers Park District,9,2018,84607.13235294117
41,Cedar Lake Regional Trail,Minneapolis Park and Recreation Board,5,2018,178191.00877192983
42,Central Mississippi Riverfront Regional Park,Minneapolis Park and Recreation Board,5,2018,932962.7603174603
43,Minneapolis Chain of Lakes Regional Park,Minneapolis Park and Recreation Board,5,2018,2546158.176883117
44,Mississippi Gorge Regional Park,Minneapolis Park and Recreation Board,5,2018,428786.9264848485
45,Minnehaha Regional Park,Minneapolis Park and Recreation Board,5,2018,769811.592012987
46,Minnehaha Parkway Regional Trail,Minneapolis Park and Recreation Board,5,2018,483179.4656354515
47,North Mississippi Regional Park,Minneapolis Park and Recreation Board,5,2018,139376.23766233766
48,Nokomis-Hiawatha Regional Park,Minneapolis Park and Recreation Board,5,2018,590906.8866889632
49,Theodore Wirth Regional Park,Minneapolis Park and Recreation Board,5,2018,225597.59912605042
50,Victory (Wirth) Memorial Parkway Regional Trail,Minneapolis Park and Recreation Board,5,2018,176360.89688253967
51,Battle Creek Regional Park,Ramsey County,6,2018,243301.942
52,Bald Eagle-Otter Lake Regional Park,Ramsey County,6,2018,100961.02447619048
53,Birch Lake Regional Park,Ramsey County,6,2018,20621.674019607843
54,Bruce Vento Regional Trail,Ramsey County,6,2018,96596.20406698564
55,Grass-Vadnais-Snail Lake Regional Park,Ramsey County,6,2018,281287.21166666667
56,Highway 96 Regional Trail,Ramsey County,6,2018,108190.76282051283
58,Keller Regional Park,Ramsey County,6,2018,220759.7993269231
59,Long Lake Regional Park,Ramsey County,6,2018,171322.25344979297
60,Rice Creek West Regional Trail,Ramsey County,6,2018,63287.08235294118
61,Rice Creek North Regional Trail,Ramsey County,6,2018,99631.06135912698
62,Bruce Vento Regional Trail,Saint Paul,7,2018,95840.6681439394
63,Cherokee Heights Regional Park,Saint Paul,7,2018,135800.05396008404
64,"Como Regional Park, Zoo, & Conservatory",Saint Paul,7,2018,1568125.8910703463
65,Lilydale-Harriet Island Regional Park,Saint Paul,7,2018,360108.8758181818
66,Hidden Falls-Crosby Farm Regional Park,Saint Paul,7,2018,161370.69260093168
67,Indian Mounds Regional Park,Saint Paul,7,2018,138151.35173245613
68,Mississippi Gorge Regional Park,Saint Paul,7,2018,467696.4777432712
69,Sam Morgan Regional Trail,Saint Paul,7,2018,169926.52945454547
