Agency_percentage_for_summer,Agency_id,Agency_name,Summer_total_by_agency,Summer_total,Year
7.647366499452812,1,Anoka County,1529198.0454341234,19996400.66346423,2018
1.6145728926120502,2,Bloomington,322856.4646103896,19996400.66346423,2018
1.2326960827822193,3,Carver County,246494.8476759613,19996400.66346423,2018
3.3593690444181563,4,Dakota County,671752.8938862442,19996400.66346423,2018
21.080218562507536,9,Three Rivers Park District,4215284.964492966,19996400.66346423,2018
0.5577704090528226,8,Scott County,111534.00577644577,19996400.66346423,2018
35.53488799694942,5,Minneapolis Park and Recreation Board,7105698.579183265,19996400.66346423,2018
8.248366068209807,6,Ramsey County,1649376.3271884639,19996400.66346423,2018
17.853004481241165,7,Saint Paul,3569958.3065352067,19996400.66346423,2018
2.8717479627740103,10,Washington County,574246.2286811627,19996400.66346423,2018
6.88626096292142,1,Anoka County,1348382.73,19580767.23,2017
1.4415710410342282,2,Bloomington,282270.67,19580767.23,2017
1.1840661669517225,3,Carver County,231849.24,19580767.23,2017
3.0670000462489537,4,Dakota County,600542.14,19580767.23,2017
21.089517389661548,9,Three Rivers Park District,4129489.31,19580767.23,2017
0.6373522984778365,8,Scott County,124798.47,19580767.23,2017
35.595013965139714,5,Minneapolis Park and Recreation Board,6969776.83,19580767.23,2017
7.613489872429273,6,Ramsey County,1490779.73,19580767.23,2017
19.737864786414704,7,Saint Paul,3864825.3600000003,19580767.23,2017
2.7478634707206004,10,Washington County,538052.75,19580767.23,2017
6.78161158121368,1,Anoka County,1320411.78,19470471.94,2016
1.6506455569766736,2,Bloomington,321388.48,19470471.94,2016
1.1530058474792162,3,Carver County,224495.68,19470471.94,2016
2.7128586385975395,4,Dakota County,528206.38,19470471.94,2016
21.108514537629638,9,Three Rivers Park District,4109927.4,19470471.94,2016
0.6343825685408631,8,Scott County,123517.28,19470471.94,2016
36.32061411655746,5,Minneapolis Park and Recreation Board,7071794.9799999995,19470471.94,2016
7.572502220508579,6,Ramsey County,1474401.92,19470471.94,2016
19.093722799612838,7,Saint Paul,3717637.94,19470471.94,2016
2.972142132883503,10,Washington County,578690.1,19470471.94,2016
6.570132562990634,1,Anoka County,1261816.74,19205346.74,2015
1.4514173254650649,2,Bloomington,278749.73,19205346.74,2015
1.1721790970382657,3,Carver County,225121.06,19205346.74,2015
2.339340268531908,4,Dakota County,449278.41,19205346.74,2015
21.41723388640053,9,Three Rivers Park District,4113254.03,19205346.74,2015
0.7083319652681261,8,Scott County,136037.61,19205346.74,2015
35.39920315960929,5,Minneapolis Park and Recreation Board,6798539.71,19205346.74,2015
8.403206106342864,6,Ramsey County,1613864.87,19205346.74,2015
19.425352275623638,7,Saint Paul,3730706.2600000002,19205346.74,2015
3.1136033527296783,10,Washington County,597978.32,19205346.74,2015
6.1310804968898855,1,Anoka County,1203769.63,19633890.48,2014
1.527198444472529,2,Bloomington,299848.47,19633890.48,2014
1.1448472743034268,3,Carver County,224778.06,19633890.48,2014
2.2694600973449046,4,Dakota County,445583.31,19633890.48,2014
20.80687113010727,9,Three Rivers Park District,4085198.29,19633890.48,2014
0.7050589904278615,8,Scott County,138430.51,19633890.48,2014
35.22939402685311,5,Minneapolis Park and Recreation Board,6916900.640000001,19633890.48,2014
9.603588712694092,6,Ramsey County,1885558.09,19633890.48,2014
19.29447540648602,7,Saint Paul,3788256.17,19633890.48,2014
3.2880254204209045,10,Washington County,645567.3099999999,19633890.48,2014
5.967572978819701,1,Anoka County,1152385.64,19310792.580000002,2013
1.6560861428920177,2,Bloomington,319803.36,19310792.580000002,2013
1.0481386984065466,3,Carver County,202403.88999999998,19310792.580000002,2013
2.1166165930616607,4,Dakota County,408735.44,19310792.580000002,2013
20.420812991819727,9,Three Rivers Park District,3943420.84,19310792.580000002,2013
0.7565590039598468,8,Scott County,146097.54,19310792.580000002,2013
34.34489026032509,5,Minneapolis Park and Recreation Board,6632270.5200000005,19310792.580000002,2013
10.236982152909645,6,Ramsey County,1976842.3900000001,19310792.580000002,2013
20.02885155529955,7,Saint Paul,3867729.98,19310792.580000002,2013
3.4234896225062137,10,Washington County,661102.98,19310792.580000002,2013
